id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJxT7ECHgzWpMRLc20VY3dqLA;Brasília/DF;Heliponto - Águas Claras - SIHQ;Águas Claras, Brasília;False;OPERATIONAL;-15.8275313;-48.0231491;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -15.82616381970849, 'lng': -48.02217419999999}, 'southwest': {'lat': -15.8288617802915, 'lng': -48.02607379999999}}
ChIJyfuaZ7czWpMRXKDHQKLRZkU;Brasília/DF;Mais Seg Soluções em Serviços Auxiliares de Transporte Aéreo LTDA;Rua 25 Sul - Águas Claras, Brasília;False;OPERATIONAL;-15.8438473;-48.0297199;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -15.8425792197085, 'lng': -48.0283491197085}, 'southwest': {'lat': -15.8452771802915, 'lng': -48.0310470802915}}
ChIJCydVxWszWpMRps9dwZzvNT0;Brasília/DF;Batalhão de Aviação Operacional - PMDF;AE 10 - Guará, Brasília;False;OPERATIONAL;-15.8427813;-47.9648073;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -15.8413442197085, 'lng': -47.9634636197085}, 'southwest': {'lat': -15.8440421802915, 'lng': -47.9661615802915}}
ChIJbdeNn0YxWpMRE5DIamel8yM;Brasília/DF;Heringuer aviação;Setor Leste - de hangares, Brasília;False;OPERATIONAL;-15.7826946;-47.9890526;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -15.7813160197085, 'lng': -47.9876929697085}, 'southwest': {'lat': -15.7840139802915, 'lng': -47.9903909302915}}
ChIJ94ZVmtgyWpMRn1jSqf7P4RY;Brasília/DF;Heliponto - Hospital Anchieta - SJDF;Setor C Norte Qnc 15 Qnc Ae 10 15 - Taguatinga, Brasília;False;OPERATIONAL;-15.8241022;-48.0672515;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -15.8228653697085, 'lng': -48.0658637697085}, 'southwest': {'lat': -15.82556333029151, 'lng': -48.06856173029149}}
ChIJFRmYKAA1WpMRf_E5WZfKC4Q;Brasília/DF;Aeroclube Motofly;6XG8+5Q - Taguatinga, Brasília;False;OPERATIONAL;-15.774521;-48.033039;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -15.7731530197085, 'lng': -48.03105701970851}, 'southwest': {'lat': -15.7758509802915, 'lng': -48.0337549802915}}
ChIJUwqkZrsxWpMRfluYyPRW7I4;Brasília/DF;Heliponto - HFA;Setor Sudoeste - Cruzeiro / Sudoeste / Octogonal, Brasília;False;OPERATIONAL;-15.8036837;-47.93706880000001;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -15.8025260197085, 'lng': -47.9355742697085}, 'southwest': {'lat': -15.8052239802915, 'lng': -47.9382722302915}}
ChIJv16_xfYvWpMRgSkrG5WApnU;Brasília/DF;Pista de Aeromodelismo;Brasília;False;OPERATIONAL;-15.8402433;-47.9260695;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -15.8388968697085, 'lng': -47.9245201197085}, 'southwest': {'lat': -15.8415948302915, 'lng': -47.9272180802915}}
ChIJJ4a1e80uWpMRLEeMM9FMy38;Brasília/DF;Heliponto - Parkway - SJWY;Park Way Q 26 Conjunto 1 - Núcleo Bandeirante, Brasília;False;OPERATIONAL;-15.9116874;-47.9717637;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -15.9105200697085, 'lng': -47.9700067197085}, 'southwest': {'lat': -15.9132180302915, 'lng': -47.9727046802915}}
ChIJNcp2ZwwvWpMRrXGZmh4TkHY;Brasília/DF;Terminal Executivo - Aeroporto de Brasília;Aeroporto JK 20 - Lago Sul, Brasília;True;OPERATIONAL;-15.8696223;-47.9303043;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -15.8683350697085, 'lng': -47.9289505697085}, 'southwest': {'lat': -15.8710330302915, 'lng': -47.9316485302915}}
