id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ7UXMnZM7WpMRIlCL1ZROTLM;Brasília/DF;Dra. Leilane Maria Quaresma da Silva, Fisioterapeuta;SCN Quadra 1 - Brasília;False;OPERATIONAL;-15.7893896;-47.8823357;"[""Não disponível""]";"[""doctor"", ""health"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -15.7880708197085, 'lng': -47.8809939197085}, 'southwest': {'lat': -15.7907687802915, 'lng': -47.8836918802915}}
ChIJbZ2DeCI7WpMRBaVxgxMR2io;Brasília/DF;Flay Brand;SCN Quadra 1 BL D Loja 37 - Asa Norte, Brasília;True;OPERATIONAL;-15.7893893;-47.88233460000001;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""clothing_store"", ""store"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -15.7880403197085, 'lng': -47.88098561970852}, 'southwest': {'lat': -15.7907382802915, 'lng': -47.88368358029152}}
ChIJ5Z0A7qM7WpMRzJtW3vPjfw0;Brasília/DF;BRDE Brasília;Edifício Number One, SCN Q 1 Bloco A S/N, 17 andar, Brasília;True;OPERATIONAL;-15.7893893;-47.88233460000001;"[""segunda-feira: 10:00 – 18:00"", ""terça-feira: 10:00 – 18:00"", ""quarta-feira: 10:00 – 18:00"", ""quinta-feira: 10:00 – 18:00"", ""sexta-feira: 10:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -15.7880403197085, 'lng': -47.88098561970852}, 'southwest': {'lat': -15.7907382802915, 'lng': -47.88368358029152}}
ChIJDdhTyEA7WpMRpJ7rrZBw7JA;Brasília/DF;Clínica Astéri Reabilitação Oral;SCN Quadra 1 Bl F America Office Tower - Asa Norte, Brasília;True;OPERATIONAL;-15.7893893;-47.88233460000001;"[""segunda-feira: 08:30 – 18:00"", ""terça-feira: 08:30 – 18:00"", ""quarta-feira: 08:30 – 18:00"", ""quinta-feira: 08:30 – 18:00"", ""sexta-feira: 08:30 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -15.7880403197085, 'lng': -47.88098561970852}, 'southwest': {'lat': -15.7907382802915, 'lng': -47.88368358029152}}
ChIJ41unCqYlWpMRbWwmgWEtd88;Brasília/DF;FABIANO, FÁBIO & FABIANO ADVOGADOS ASSOCIADOS SS;SCN Quadra 1 Bloco E, Ed. Central Park salas 411/13 - Asa Norte, Brasília;True;OPERATIONAL;-15.7893893;-47.88233460000001;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -15.7880403197085, 'lng': -47.88098561970852}, 'southwest': {'lat': -15.7907382802915, 'lng': -47.88368358029152}}
ChIJuyc96nc7WpMRGPcU2hcPr2s;Brasília/DF;Myrian Bastos Psicóloga;SCN Quadra 1 Bloco C, 85 sala 181 - Asa Norte, Brasília;True;OPERATIONAL;-15.7893893;-47.88233460000001;"[""segunda-feira: 07:00 – 21:00"", ""terça-feira: 07:00 – 21:00"", ""quarta-feira: 07:00 – 21:00"", ""quinta-feira: 07:00 – 21:00"", ""sexta-feira: 07:00 – 21:00"", ""sábado: 09:00 – 14:00"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -15.7880403197085, 'lng': -47.88098561970852}, 'southwest': {'lat': -15.7907382802915, 'lng': -47.88368358029152}}
ChIJFYyOs6I7WpMRhHi_fgFa3TI;Brasília/DF;Ray Açai;SCN Quadra 1 - Brasília;True;OPERATIONAL;-15.7893893;-47.88233460000001;"[""segunda-feira: 07:00 – 18:00"", ""terça-feira: 07:00 – 18:00"", ""quarta-feira: 07:00 – 18:00"", ""quinta-feira: 07:00 – 18:00"", ""sexta-feira: 07:00 – 18:00"", ""sábado: 07:00 – 18:00"", ""domingo: Fechado""]";"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -15.7880403197085, 'lng': -47.88098561970852}, 'southwest': {'lat': -15.7907382802915, 'lng': -47.88368358029152}}
ChIJi85pquI6WpMRVnGr89fIfxk;Brasília/DF;LIDERIT;SCN Quadra 1 Block C Ed. Brasília Trade Center 030 Room 902 - Asa Norte, Brasília;False;OPERATIONAL;-15.7893893;-47.88233460000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -15.7880403197085, 'lng': -47.88098561970852}, 'southwest': {'lat': -15.7907382802915, 'lng': -47.88368358029152}}
ChIJX3INZnA7WpMRk1dnbmE1DdI;Brasília/DF;Cezar&Cazzola;SCN Quadra 1 - Brasília;False;OPERATIONAL;-15.7893893;-47.88233460000001;"[""Não disponível""]";"[""lodging"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -15.7880403197085, 'lng': -47.88098561970852}, 'southwest': {'lat': -15.7907382802915, 'lng': -47.88368358029152}}
ChIJi85pquI6WpMRzGtHModpL14;Brasília/DF;The German-Brazilian Energy Partnership;SCN Quadra 1 Bloco C - Asa Norte, Brasília;False;OPERATIONAL;-15.7893893;-47.88233460000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -15.7880403197085, 'lng': -47.88098561970852}, 'southwest': {'lat': -15.7907382802915, 'lng': -47.88368358029152}}
ChIJc_vsUVQ7WpMRmUFQF4_2HRI;Brasília/DF;BALI CORRETORA DE SEGUROS;SCN Quadra 1 ED TRADE CENTER SALA 906 - Asa Norte, Brasília;True;OPERATIONAL;-15.7893893;-47.88233460000001;"[""segunda-feira: 08:30 – 17:30"", ""terça-feira: 08:30 – 17:30"", ""quarta-feira: 08:30 – 17:30"", ""quinta-feira: 08:30 – 17:30"", ""sexta-feira: 08:30 – 17:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""insurance_agency"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -15.7880403197085, 'lng': -47.88098561970852}, 'southwest': {'lat': -15.7907382802915, 'lng': -47.88368358029152}}
