id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJOXjSv2bphpQRCizD03AoPoA;Campo Grande/MS;Lesaga Pratas;Rua Caconde, 408 - Santa Fe, Campo Grande;True;OPERATIONAL;-20.4486467;-54.590226;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: 09:00 – 12:00"", ""domingo: Fechado""]";"[""store"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.4472115697085, 'lng': -54.58889506970851}, 'southwest': {'lat': -20.4499095302915, 'lng': -54.59159303029151}}
ChIJN9_BeI3ohpQRds9ANvqIbfI;Campo Grande/MS;Baís Mujica & Nogueira Advocacia;Rua Caconde, 416 - Santa Fe, Campo Grande;True;OPERATIONAL;-20.4486161;-54.59011359999999;"[""segunda-feira: 08:00 – 12:00, 13:00 – 18:00"", ""terça-feira: 08:00 – 12:00, 13:00 – 18:00"", ""quarta-feira: 08:00 – 12:00, 13:00 – 18:00"", ""quinta-feira: 08:00 – 12:00, 13:00 – 18:00"", ""sexta-feira: 08:00 – 12:00, 13:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.4471857197085, 'lng': -54.5887816697085}, 'southwest': {'lat': -20.4498836802915, 'lng': -54.59147963029149}}
ChIJ_37GZ5PohpQRDF_2wilYOPM;Campo Grande/MS;J Arquitetura;Rua Roncador, 436, Campo Grande;False;OPERATIONAL;-20.4484418;-54.5901455;"[""Não disponível""]";"[""general_contractor"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.4470726197085, 'lng': -54.5888008197085}, 'southwest': {'lat': -20.4497705802915, 'lng': -54.5914987802915}}
ChIJfQSASZvohpQR0O82iNnjf8Q;Campo Grande/MS;Stof Clean I Lavanderia Exclusiva de Tapetes I Limpeza de Tapetes I Higienização de Tapetes em Campo Grande MS;Rua Caconde, 361 - Santa Fe, Campo Grande;True;OPERATIONAL;-20.4484452;-54.5904968;"[""segunda-feira: 07:30 – 17:00"", ""terça-feira: 07:30 – 17:00"", ""quarta-feira: 07:30 – 17:00"", ""quinta-feira: 07:30 – 17:00"", ""sexta-feira: 07:30 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""laundry"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.44713106970849, 'lng': -54.5891405197085}, 'southwest': {'lat': -20.4498290302915, 'lng': -54.5918384802915}}
ChIJrf07mr7phpQRAtkEwcSP5_0;Campo Grande/MS;Coordenadoria Psicossocial SEMED/MS - Programa Valorização da vida;Rua Hermelita de Oliveira Gomes, 1044 - Jardim Autonomista, Campo Grande;False;OPERATIONAL;-20.4488821;-54.5897702;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.4475502697085, 'lng': -54.5885043697085}, 'southwest': {'lat': -20.4502482302915, 'lng': -54.5912023302915}}
ChIJdbjbeY3ohpQRB68BAfFkMT8;Campo Grande/MS;Mayke Jiu-Jitsu;Rua Hermelita de Oliveira Gomes, 1069 - Santa Fe, Campo Grande;False;OPERATIONAL;-20.4482505;-54.5901653;"[""Não disponível""]";"[""health"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.4468948197085, 'lng': -54.58877606970851}, 'southwest': {'lat': -20.4495927802915, 'lng': -54.5914740302915}}
ChIJsYYHZ57phpQRqcNMlOulfF8;Campo Grande/MS;Serralheria Maxsoldas;Rua das Garças - Santa Fe, Campo Grande;True;OPERATIONAL;-20.4490724;-54.5898999;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.44772341970849, 'lng': -54.5885509197085}, 'southwest': {'lat': -20.4504213802915, 'lng': -54.5912488802915}}
ChIJN6qChI3ohpQRFskFkB6ScQ0;Campo Grande/MS;Catarina Hair;Rua Caconde, 372 - Santa Fe, Campo Grande;False;OPERATIONAL;-20.4484652;-54.59064869999999;"[""Não disponível""]";"[""hair_care"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.4471549197085, 'lng': -54.5892916197085}, 'southwest': {'lat': -20.4498528802915, 'lng': -54.59198958029149}}
ChIJey9KNK3phpQR4peE-RnRU3k;Campo Grande/MS;Estância Cerrado;Rua Caconde, 379 - Santa Fe, Campo Grande;False;OPERATIONAL;-20.4484448;-54.5906531;"[""Não disponível""]";"[""grocery_or_supermarket"", ""food"", ""store"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.4471447197085, 'lng': -54.5892938697085}, 'southwest': {'lat': -20.4498426802915, 'lng': -54.5919918302915}}
ChIJAWt_gBPphpQRmn-YwWGE2vY;Campo Grande/MS;Gabriela Bigarella Odontologia Estética;Rua Hermelita de Oliveira Gomes, 959 - Sala 1 - Santa Fe, Campo Grande;True;OPERATIONAL;-20.4492035;-54.5900013;"[""segunda-feira: 08:30 – 17:30"", ""terça-feira: 08:30 – 17:30"", ""quarta-feira: 08:30 – 17:30"", ""quinta-feira: 08:30 – 17:30"", ""sexta-feira: 08:30 – 17:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""dentist"", ""health"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.4478430197085, 'lng': -54.5885902197085}, 'southwest': {'lat': -20.4505409802915, 'lng': -54.5912881802915}}
ChIJKSTkX1LphpQRtgHq_Mh1TDU;Campo Grande/MS;Adriana Quevedo Harmonização Orofacial;Rua Hermelita de Oliveira Gomes, 959 - Santa Fe, Campo Grande;True;OPERATIONAL;-20.4492035;-54.5900013;"[""segunda-feira: 10:00 – 19:00"", ""terça-feira: 10:00 – 19:00"", ""quarta-feira: 10:00 – 19:00"", ""quinta-feira: 10:00 – 19:00"", ""sexta-feira: 10:00 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""store"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.4478430197085, 'lng': -54.5885902197085}, 'southwest': {'lat': -20.4505409802915, 'lng': -54.5912881802915}}
ChIJrU5Gor_ohpQRER4dQKNADks;Campo Grande/MS;Bigarella Ortodontia;Rua Hermelita de Oliveira Gomes, 959 - Santa Fe, Campo Grande;True;OPERATIONAL;-20.4492035;-54.5900013;"[""segunda-feira: 08:30 – 17:30"", ""terça-feira: 08:30 – 17:30"", ""quarta-feira: 08:30 – 17:30"", ""quinta-feira: 08:30 – 17:30"", ""sexta-feira: 08:30 – 17:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""dentist"", ""health"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.4478430197085, 'lng': -54.5885902197085}, 'southwest': {'lat': -20.4505409802915, 'lng': -54.5912881802915}}
ChIJIT56aJPohpQRIDKgce-cnV0;Campo Grande/MS;Espaço Engenharia;Rua Hermelita de Oliveira Gomes, 959 - Santa Fe, Campo Grande;False;OPERATIONAL;-20.44920219999999;-54.5899927;"[""Não disponível""]";"[""general_contractor"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.44784246970849, 'lng': -54.5885858697085}, 'southwest': {'lat': -20.4505404302915, 'lng': -54.5912838302915}}
ChIJRWSmhpLohpQRpycp8pn6u1U;Campo Grande/MS;Consultor Rogério de Medeiros;Rua Hermelita de Oliveira Gomes, 959 - Santa Fe, Campo Grande;True;OPERATIONAL;-20.44920219999999;-54.5899927;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 11:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.44784246970849, 'lng': -54.5885858697085}, 'southwest': {'lat': -20.4505404302915, 'lng': -54.5912838302915}}
ChIJ6UzMUOPphpQRX_wm8pC4fMo;Campo Grande/MS;Beauty Espaço CG;Rua Caconde, 379 - Santa Fe, Campo Grande;True;OPERATIONAL;-20.4483944;-54.59072519999999;"[""segunda-feira: Fechado"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 18:00"", ""domingo: Fechado""]";"[""beauty_salon"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.4471249697085, 'lng': -54.58935951970849}, 'southwest': {'lat': -20.4498229302915, 'lng': -54.59205748029149}}
ChIJE2BAVxjphpQR5uC0Fwz8Y1c;Campo Grande/MS;Angelo's Studio;Rua Caconde, 379 - sala 2 - Santa Fe, Campo Grande;True;OPERATIONAL;-20.448342;-54.59069599999999;"[""segunda-feira: Fechado"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: 09:00 – 17:00"", ""domingo: Fechado""]";"[""beauty_salon"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.44709521970849, 'lng': -54.5893255697085}, 'southwest': {'lat': -20.4497931802915, 'lng': -54.5920235302915}}
ChIJ6-PTse7phpQRar-F--nFmik;Campo Grande/MS;Sapataria Santa Fé;Rua das Garças, 2416 - Santa Fe, Campo Grande;True;OPERATIONAL;-20.4493068;-54.5902658;"[""segunda-feira: 07:00 – 11:00, 13:30 – 18:00"", ""terça-feira: 07:00 – 11:00, 13:30 – 18:00"", ""quarta-feira: 07:00 – 11:00, 13:30 – 18:00"", ""quinta-feira: 07:00 – 11:00, 13:30 – 18:00"", ""sexta-feira: 07:00 – 11:00, 13:30 – 18:00"", ""sábado: 07:00 – 11:00, 13:30 – 18:00"", ""domingo: 07:00 – 11:00, 13:30 – 18:00""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.4478700197085, 'lng': -54.5889316697085}, 'southwest': {'lat': -20.4505679802915, 'lng': -54.5916296302915}}
ChIJz6Y1P5LohpQR8PqLpvpCUno;Campo Grande/MS;Studio Talita Frassetto;Rua das Garças, 2387 - Santa Fe, Campo Grande;True;OPERATIONAL;-20.449031;-54.5907553;"[""segunda-feira: Fechado"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:30"", ""sábado: 08:00 – 13:30"", ""domingo: Fechado""]";"[""beauty_salon"", ""doctor"", ""health"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.4477644697085, 'lng': -54.5893910197085}, 'southwest': {'lat': -20.4504624302915, 'lng': -54.5920889802915}}
ChIJ1TjM89_phpQR3IepWvBirro;Campo Grande/MS;Denise Portella Beauty;Rua das Garças, 2387 - Santa Fe, Campo Grande;True;OPERATIONAL;-20.4491442;-54.5907119;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.4478122697085, 'lng': -54.5893597697085}, 'southwest': {'lat': -20.4505102302915, 'lng': -54.5920577302915}}
ChIJ12areZLohpQRN6hqhcsGu_A;Campo Grande/MS;LH Studio Design;Rua das Garças, 2381 - Santa Fe, Campo Grande;True;OPERATIONAL;-20.4490867;-54.59076519999999;"[""segunda-feira: 08:00 – 17:30"", ""terça-feira: 08:00 – 17:30"", ""quarta-feira: 08:00 – 17:30"", ""quinta-feira: 08:00 – 17:30"", ""sexta-feira: 08:00 – 17:30"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.4477939197085, 'lng': -54.5894057697085}, 'southwest': {'lat': -20.4504918802915, 'lng': -54.5921037302915}}
