id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJhf2UztflhpQRC9e62dttum0;Campo Grande/MS;IGREJA DE NOSSO SENHOR JESUS CRISTO - GUANANDI;Rua Javarí, 195 - Guanandi, Campo Grande;False;OPERATIONAL;-20.4932883;-54.6447227;"[""Não disponível""]";"[""church"", ""place_of_worship"", ""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -20.4919114197085, 'lng': -54.6434094197085}, 'southwest': {'lat': -20.4946093802915, 'lng': -54.6461073802915}}
ChIJndKGY4TlhpQRE-t_3IvEWlI;Campo Grande/MS;Studio Dai Shimizu;Rua Airton Bachi de Araújo, 411 - Guanandi, Campo Grande;True;OPERATIONAL;-20.4931607;-54.64538340000001;"[""segunda-feira: Fechado"", ""terça-feira: 13:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: 09:00 – 16:00"", ""domingo: Fechado""]";"[""beauty_salon"", ""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -20.4917310197085, 'lng': -54.6439703697085}, 'southwest': {'lat': -20.4944289802915, 'lng': -54.6466683302915}}
ChIJSX-OvmjlhpQRXlDS9UeO8_Q;Campo Grande/MS;Entre Elas Espaço de Beleza;Rua Airton Bachi de Araújo, 411 - Guanandi, Campo Grande;False;OPERATIONAL;-20.4931607;-54.64538340000001;"[""Não disponível""]";"[""beauty_salon"", ""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -20.4917310197085, 'lng': -54.6439703697085}, 'southwest': {'lat': -20.4944289802915, 'lng': -54.6466683302915}}
ChIJ6zpkStblhpQRCk9_jHDzslA;Campo Grande/MS;Rua Javarí, 338-408;Brazil;False;OPERATIONAL;-20.4938998;-54.645346;"[""Não disponível""]";"[""transit_station"", ""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -20.4925436197085, 'lng': -54.6440072197085}, 'southwest': {'lat': -20.49524158029151, 'lng': -54.64670518029149}}
ChIJwwEcS9blhpQRuYfcWyoJCL8;Campo Grande/MS;Mov Car Auto Capas E Tapeçaria;Rua José Lacava, 353 - Guanandi, Campo Grande;False;OPERATIONAL;-20.4940006;-54.64525279999999;"[""Não disponível""]";"[""car_repair"", ""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -20.4926082197085, 'lng': -54.64386991970849}, 'southwest': {'lat': -20.4953061802915, 'lng': -54.64656788029149}}
ChIJTxWKStblhpQR9V6e351OisM;Campo Grande/MS;MASSOCLIN - Clínica de Massoterapia;Rua Javarí, 302 - Guanandi, Campo Grande;True;OPERATIONAL;-20.4938774;-54.6454837;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: Atendimento 24 horas"", ""sábado: 08:00 – 18:00"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""store"", ""establishment""]";health_center;{'northeast': {'lat': -20.4925694197085, 'lng': -54.6440769197085}, 'southwest': {'lat': -20.4952673802915, 'lng': -54.6467748802915}}
ChIJRwq3ss3lhpQRdJhrOQK5298;Campo Grande/MS;Guedão centro automotivo;Rua Javari 301, Guanandi 2, Campo Grande;True;OPERATIONAL;-20.4940036;-54.6452561;"[""segunda-feira: 07:30 – 17:30"", ""terça-feira: 07:30 – 17:30"", ""quarta-feira: 07:30 – 17:30"", ""quinta-feira: 07:30 – 17:30"", ""sexta-feira: 07:30 – 17:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""car_repair"", ""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -20.49262131970849, 'lng': -54.6439540697085}, 'southwest': {'lat': -20.4953192802915, 'lng': -54.6466520302915}}
ChIJQ622K9HlhpQR70oNaYvujOc;Campo Grande/MS;Studio Rose Ledesmo;Rua Javarí, 311 - Guanandi, Campo Grande;True;OPERATIONAL;-20.4940416;-54.6452527;"[""segunda-feira: Fechado"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: 09:00 – 17:00"", ""domingo: Fechado""]";"[""beauty_salon"", ""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -20.4926516197085, 'lng': -54.6439615197085}, 'southwest': {'lat': -20.4953495802915, 'lng': -54.6466594802915}}
ChIJR6S5vtflhpQRx9fBNEiZtnA;Campo Grande/MS;E.M. Governador Harry Amorim Costa;Rua Airton Bachi de Araújo, 293 - Guanandi, Campo Grande;True;OPERATIONAL;-20.4937949;-54.64451260000001;"[""segunda-feira: 07:00 – 17:00"", ""terça-feira: 07:00 – 17:00"", ""quarta-feira: 07:00 – 17:00"", ""quinta-feira: 07:00 – 17:00"", ""sexta-feira: 07:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -20.4923625197085, 'lng': -54.6430962697085}, 'southwest': {'lat': -20.4950604802915, 'lng': -54.6457942302915}}
ChIJE-mkCQDlhpQRBcbze8aGNcY;Campo Grande/MS;ECIME;Rua Airton Bachi de Araújo, 293 - Guanandi, Campo Grande;False;OPERATIONAL;-20.4938517;-54.6444467;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -20.4924161197085, 'lng': -54.6430277697085}, 'southwest': {'lat': -20.4951140802915, 'lng': -54.6457257302915}}
