id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ84kzH6UxWpMRAeikEUMmDEQ;Brasília/DF;Inca Salone;SAAN Quadra 1, SAA, Brasília;False;OPERATIONAL;-15.7632578;-47.9377908;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -15.7619188697085, 'lng': -47.93641081970851}, 'southwest': {'lat': -15.7646168302915, 'lng': -47.93910878029151}}
ChIJ961W-7gwWpMRKICMedL5ZrQ;Brasília/DF;Health Care Pessoas que Cuidam de Pessoas;Saa Q 1 120, Brasília;True;OPERATIONAL;-15.7680645;-47.9395423;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -15.7667314697085, 'lng': -47.93819856970849}, 'southwest': {'lat': -15.7694294302915, 'lng': -47.94089653029149}}
ChIJ3dYtVx8xWpMRgfMUZmqf2nc;Brasília/DF;Futuro HMAB;DF-010, Regimento de Cavalaria e Guarda, Brasília;False;OPERATIONAL;-15.757865;-47.93905849999999;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -15.7561282697085, 'lng': -47.93784296970849}, 'southwest': {'lat': -15.7588262302915, 'lng': -47.94054093029149}}
ChIJo7zfVwAxWpMRno9TIOS9SKs;Brasília/DF;FuSEx HMAB;SMU - Brasília;False;OPERATIONAL;-15.7711496;-47.9304844;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -15.7698754197085, 'lng': -47.92916011970851}, 'southwest': {'lat': -15.7725733802915, 'lng': -47.9318580802915}}
ChIJ2W3EnaIwWpMRxryt9B9WR9M;Brasília/DF;Fusex- Divisão de Contas Médicas;SMU - Brasília;True;OPERATIONAL;-15.7722976;-47.92996139999999;"[""segunda-feira: 09:00 – 17:00"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -15.7708511697085, 'lng': -47.9285784197085}, 'southwest': {'lat': -15.7735491302915, 'lng': -47.93127638029149}}
ChIJn2ceeJgwWpMRn2tvASTKoig;Brasília/DF;Divisão Odontológica;SMU - Brasília;False;OPERATIONAL;-15.7722976;-47.92996139999999;"[""Não disponível""]";"[""dentist"", ""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -15.7708511697085, 'lng': -47.9285784197085}, 'southwest': {'lat': -15.7735491302915, 'lng': -47.93127638029149}}
ChIJnxPMMVUlWpMRK6pxphem_5A;Brasília/DF;Hospital Militar de Área de Brasília;S/n, Setor Militar Urbano, Brasília;True;OPERATIONAL;-15.7725751;-47.93002440000001;"[""segunda-feira: 07:00 – 22:00"", ""terça-feira: 07:00 – 22:00"", ""quarta-feira: 07:00 – 22:00"", ""quinta-feira: 07:00 – 22:00"", ""sexta-feira: 07:00 – 22:00"", ""sábado: 07:00 – 12:00"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -15.77186285, 'lng': -47.92570709999999}, 'southwest': {'lat': -15.77471185, 'lng': -47.93150470000001}}
ChIJc8jbBAAxWpMRfvAaeE3Pdn4;Brasília/DF;Farmácia HMab;SMU 102 - Brasília;False;OPERATIONAL;-15.7725259;-47.92987369999999;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -15.77098726970849, 'lng': -47.92846331970849}, 'southwest': {'lat': -15.7736852302915, 'lng': -47.93116128029149}}
ChIJC_V-nqIwWpMR4Plp_CiOSuY;Brasília/DF;Serviço de Radiologia;SMU - Brasília;False;OPERATIONAL;-15.7730725;-47.93015949999999;"[""Não disponível""]";"[""hospital"", ""doctor"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -15.7716021697085, 'lng': -47.9292002197085}, 'southwest': {'lat': -15.7743001302915, 'lng': -47.9318981802915}}
ChIJk979ZAAxWpMRjrWi09Ufb6s;Brasília/DF;Hospital Militar de Área de Brasília - Entrada;QRO Conjunto 4 104 - Brasília;False;OPERATIONAL;-15.7729615;-47.9299523;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -15.7717827197085, 'lng': -47.9283626197085}, 'southwest': {'lat': -15.7744806802915, 'lng': -47.93106058029149}}
ChIJM9JLFZ4xWpMRWJVgLXR5MKo;Brasília/DF;Central de Regulação do HMAB;SMU, Brasília;True;OPERATIONAL;-15.7728847;-47.9290801;"[""segunda-feira: 07:00 – 19:00"", ""terça-feira: 07:00 – 19:00"", ""quarta-feira: 07:00 – 19:00"", ""quinta-feira: 07:00 – 19:00"", ""sexta-feira: 07:00 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -15.7715084197085, 'lng': -47.92782336970851}, 'southwest': {'lat': -15.7742063802915, 'lng': -47.9305213302915}}
ChIJCcFVXH8_WpMRlL0wYgJ8kww;Brasília/DF;Clínica De Nefrologia;5, Quadra 4 Conjunto A 1, Brasília;False;OPERATIONAL;-15.7508014;-47.92461309999999;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -15.7493877697085, 'lng': -47.92322246970849}, 'southwest': {'lat': -15.7520857302915, 'lng': -47.92592043029149}}
ChIJr6fQEwY6WpMRKK1aDZLC95Q;Brasília/DF;Busto de José Alencar;SHCNW - Brasília;True;OPERATIONAL;-15.7591303;-47.91772549999999;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -15.7577993197085, 'lng': -47.91633076970849}, 'southwest': {'lat': -15.7604972802915, 'lng': -47.91902873029149}}
