id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJT8sXHE7nhpQRMJf5mOg6aTM;Campo Grande/MS;Carol Bogalho Doula;Campo Grande;True;OPERATIONAL;-20.4697105;-54.62012110000001;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -20.4683602197085, 'lng': -54.6187721197085}, 'southwest': {'lat': -20.4710581802915, 'lng': -54.62147008029149}}
ChIJF2On3hnmhpQR0MdeopfwfXk;Campo Grande/MS;Acc;Centro, Campo Grande;False;OPERATIONAL;-20.4697189;-54.6201275;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -20.4683604197085, 'lng': -54.61877871970849}, 'southwest': {'lat': -20.4710583802915, 'lng': -54.62147668029149}}
ChIJfxqiE2_nhpQRLeMIYjJbI3I;Campo Grande/MS;Casa Mágica Moda Infantil, bebê e Teen;Rua 15 de Novembro, 253 - Sala 01 - Centro, Campo Grande;True;OPERATIONAL;-20.4655439;-54.617922;"[""segunda-feira: 08:00 – 17:30"", ""terça-feira: 08:00 – 17:30"", ""quarta-feira: 08:00 – 17:30"", ""quinta-feira: 08:00 – 17:30"", ""sexta-feira: 08:00 – 17:30"", ""sábado: 08:00 – 13:00"", ""domingo: Fechado""]";"[""hospital"", ""doctor"", ""school"", ""health"", ""point_of_interest"", ""clothing_store"", ""store"", ""establishment""]";hospital;{'northeast': {'lat': -20.4641816697085, 'lng': -54.6165751197085}, 'southwest': {'lat': -20.4668796302915, 'lng': -54.6192730802915}}
ChIJDTzUuBjmhpQR9V7KZ7uE4xw;Campo Grande/MS;Clínica Meu Médico;Rua Sete de Setembro, 453 - Centro, Campo Grande;True;OPERATIONAL;-20.46625389999999;-54.6160239;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""hospital"", ""doctor"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -20.4649389697085, 'lng': -54.6146689697085}, 'southwest': {'lat': -20.4676369302915, 'lng': -54.6173669302915}}
ChIJX0gFTj7mhpQRjD_S6DN7Vds;Campo Grande/MS;Hospital Infantil São Lucas;Avenida Afonso Pena, 944 - Amambai, Campo Grande;True;OPERATIONAL;-20.4660331;-54.6269698;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -20.4646094197085, 'lng': -54.6256374197085}, 'southwest': {'lat': -20.4673073802915, 'lng': -54.6283353802915}}
ChIJXfR6xCHmhpQRex9pA0B3piE;Campo Grande/MS;Yotz Medical;Avenida Afonso Pena, 2440 - Centro, Campo Grande;True;OPERATIONAL;-20.463913;-54.61304;"[""segunda-feira: 08:00 – 17:30"", ""terça-feira: 08:00 – 17:30"", ""quarta-feira: 08:00 – 17:30"", ""quinta-feira: 08:00 – 17:30"", ""sexta-feira: 08:00 – 17:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -20.46236396970849, 'lng': -54.6117309697085}, 'southwest': {'lat': -20.4650619302915, 'lng': -54.6144289302915}}
ChIJvdfqyeTnhpQRaUwnOmkeFOE;Campo Grande/MS;Odonto FORYOU;Rua Rui Barbosa, 2646 - Centro, Campo Grande;False;OPERATIONAL;-20.462608;-54.61407579999999;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -20.4612678197085, 'lng': -54.61278161970849}, 'southwest': {'lat': -20.4639657802915, 'lng': -54.61547958029149}}
ChIJG-j2syTmhpQRQf2B1P5b9LU;Campo Grande/MS;GROUP;Avenida Calógeras, 2521 - Centro, Campo Grande;True;OPERATIONAL;-20.4600467;-54.62017669999999;"[""segunda-feira: 08:00 – 00:00"", ""terça-feira: Fechado"", ""quarta-feira: 08:00 – 00:00"", ""quinta-feira: Fechado"", ""sexta-feira: 08:00 – 00:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -20.4586763697085, 'lng': -54.6187041197085}, 'southwest': {'lat': -20.4613743302915, 'lng': -54.6214020802915}}
ChIJo636Mq_nhpQRGAY9X89kUj4;Campo Grande/MS;Alfredo Abrão;Rua Marechal Rondon, 1053 - Centro, Campo Grande;False;OPERATIONAL;-20.4600547;-54.6216407;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -20.4588381697085, 'lng': -54.62035126970851}, 'southwest': {'lat': -20.4615361302915, 'lng': -54.62304923029151}}
ChIJG45FYCTmhpQR8YXIbCwJcyE;Campo Grande/MS;DINDA BABY KIDS - SEMPRE COM AMOR...;Rua 14 de Julho, 2320 - Centro, Campo Grande;True;OPERATIONAL;-20.4601924;-54.6176638;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: 08:00 – 18:00"", ""domingo: Fechado""]";"[""hospital"", ""furniture_store"", ""home_goods_store"", ""health"", ""point_of_interest"", ""clothing_store"", ""store"", ""establishment""]";hospital;{'northeast': {'lat': -20.4588551197085, 'lng': -54.6163850697085}, 'southwest': {'lat': -20.4615530802915, 'lng': -54.6190830302915}}
