id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJJ89_IwAlWpMRfBUwKWLcPUM;Brasília/DF;São paolo;SHCS SQS 314 0 - Asa Sul, Brasília;False;OPERATIONAL;-15.8267;-47.9218;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -15.8252332197085, 'lng': -47.9203546197085}, 'southwest': {'lat': -15.8279311802915, 'lng': -47.92305258029149}}
ChIJ5yQHv3IlWpMRmATSKbC9XI0;Brasília/DF;Maraa calcados;Rua 21 21 - Vila nova, Brasília;True;OPERATIONAL;-15.826691;-47.92181999999999;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""shoe_store"", ""store"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -15.8252210697085, 'lng': -47.9205520197085}, 'southwest': {'lat': -15.8279190302915, 'lng': -47.9232499802915}}
ChIJdwag46wvWpMREZKBTxymwVY;Brasília/DF;lavajatogustavo;TAGUATINGA NORTE QNL 21 BLOCO C - Brasília;True;OPERATIONAL;-15.826691;-47.92182039999999;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 18:00"", ""domingo: Fechado""]";"[""car_wash"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -15.8252211697085, 'lng': -47.9205523697085}, 'southwest': {'lat': -15.8279191302915, 'lng': -47.92325033029149}}
ChIJ1w_CtHEvWpMRlWjV0MZ9e1Y;Brasília/DF;Revenda Ultragaz;V Lt. 07 S N Condominio Portal Do Amanhecer - Taguatinga, Brasília;True;OPERATIONAL;-15.826691;-47.92182039999999;"[""segunda-feira: 08:00 – 20:00"", ""terça-feira: 08:00 – 20:00"", ""quarta-feira: 08:00 – 20:00"", ""quinta-feira: 08:00 – 20:00"", ""sexta-feira: 08:00 – 20:00"", ""sábado: 08:00 – 20:00"", ""domingo: 08:00 – 14:00""]";"[""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -15.8252211697085, 'lng': -47.9205523697085}, 'southwest': {'lat': -15.8279191302915, 'lng': -47.92325033029149}}
ChIJh60LUgAvWpMRMyV2IyQk6vc;Brasília/DF;Planaltina DF;Quarda 7 lote 24 - núcleo de, Taquara;False;OPERATIONAL;-15.826691;-47.92182039999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -15.8252211697085, 'lng': -47.9205523697085}, 'southwest': {'lat': -15.8279191302915, 'lng': -47.92325033029149}}
ChIJXZXSMY0vWpMRHLXaZL2Zq1g;Brasília/DF;TO NA ESQUINA PUB;Setor Habitacional Mestre D'Armas Estancia - Brasília;False;OPERATIONAL;-15.826691;-47.92182039999999;"[""segunda-feira: 16:00 – 00:00"", ""terça-feira: 16:00 – 00:00"", ""quarta-feira: 16:00 – 00:00"", ""quinta-feira: 16:00 – 00:00"", ""sexta-feira: 16:00 – 00:00"", ""sábado: 16:00 – 00:00"", ""domingo: 15:00 – 23:00""]";"[""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -15.8252211697085, 'lng': -47.9205523697085}, 'southwest': {'lat': -15.8279191302915, 'lng': -47.92325033029149}}
ChIJS2q7f5wvWpMR71YzsN5c0Yc;Brasília/DF;Polo Estácio EAD;ED. VARSÓVIA C - 03, 3 - 4, 12 Loja 02 - Brasília;False;OPERATIONAL;-15.826691;-47.92182039999999;"[""segunda-feira: 09:00 – 12:00, 13:00 – 18:00"", ""terça-feira: 09:00 – 12:00, 13:00 – 18:00"", ""quarta-feira: 09:00 – 12:00, 13:00 – 18:00"", ""quinta-feira: 09:00 – 12:00, 13:00 – 18:00"", ""sexta-feira: 09:00 – 12:00, 13:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -15.8252211697085, 'lng': -47.9205523697085}, 'southwest': {'lat': -15.8279191302915, 'lng': -47.92325033029149}}
ChIJ44FqfQAvWpMRC4-NzpcXvDw;Brasília/DF;Distrito manduca;Brasília;False;OPERATIONAL;-15.826691;-47.92182039999999;"[""Não disponível""]";"[""church"", ""place_of_worship"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -15.8252211697085, 'lng': -47.9205523697085}, 'southwest': {'lat': -15.8279191302915, 'lng': -47.92325033029149}}
ChIJVXu4cz4vWpMRgU-4DTFUjO4;Brasília/DF;CONSULTÓRIO DR. CRISTIANO DOS SANTOS GUEDES;Brasília;False;OPERATIONAL;-15.826691;-47.92182039999999;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -15.8252211697085, 'lng': -47.9205523697085}, 'southwest': {'lat': -15.8279191302915, 'lng': -47.92325033029149}}
ChIJ______8vWpMRQohbRiaHjFA;Brasília/DF;Protetto Toldos e Cobertura;Bloco B 2 - Tag. Norte, Brasília;True;OPERATIONAL;-15.826691;-47.92182039999999;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 10:00 – 14:00"", ""domingo: Fechado""]";"[""roofing_contractor"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -15.8252211697085, 'lng': -47.9205523697085}, 'southwest': {'lat': -15.8279191302915, 'lng': -47.92325033029149}}
