id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJq95S-EUlWpMRx6S167oHtdc;Brasília/DF;Solares Filmes;SQS 413 BL N - Asa Sul, Brasília;False;OPERATIONAL;-15.8322567;-47.91269519999999;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -15.8308538197085, 'lng': -47.91138816970849}, 'southwest': {'lat': -15.8335517802915, 'lng': -47.91408613029149}}
ChIJEXY2L-07WpMRGx1GVVG3w5Y;Brasília/DF;Festival de Brasília;Cine - Brasília;False;OPERATIONAL;-15.8137239;-47.8998994;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -15.8124566197085, 'lng': -47.8984794197085}, 'southwest': {'lat': -15.8151545802915, 'lng': -47.9011773802915}}
ChIJ9XgRAck6WpMRh-k9dIy3uSY;Brasília/DF;Cine Brasília;EQS 106/107 - Brasília;True;OPERATIONAL;-15.8141525;-47.8994811;"[""segunda-feira: 13:00 – 22:00"", ""terça-feira: 13:00 – 22:00"", ""quarta-feira: 09:00 – 21:00"", ""quinta-feira: 09:00 – 21:00"", ""sexta-feira: 09:00 – 21:00"", ""sábado: 09:00 – 21:00"", ""domingo: 09:00 – 21:00""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -15.8128325697085, 'lng': -47.89802101970849}, 'southwest': {'lat': -15.8155305302915, 'lng': -47.90071898029149}}
ChIJq-gautkvWpMRcil8m3jGfvI;Brasília/DF;Capela Filmes;Conj. A - 03 Bloco A Sala 402, Trecho 3, Brasília;True;OPERATIONAL;-15.836465;-47.949998;"[""segunda-feira: 10:00 – 18:00"", ""terça-feira: 10:00 – 18:00"", ""quarta-feira: 10:00 – 18:00"", ""quinta-feira: 10:00 – 18:00"", ""sexta-feira: Fechado"", ""sábado: 09:00 – 14:00"", ""domingo: Fechado""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -15.8351020197085, 'lng': -47.9487496697085}, 'southwest': {'lat': -15.8377999802915, 'lng': -47.9514476302915}}
ChIJPzMFqbsxWpMRGSYc80o9oPg;Brasília/DF;Terraço Shopping;SHC AOS Entrequadras 2/8 lote 5, Octogonal - Sul, Brasília;True;OPERATIONAL;-15.8035862;-47.9403387;"[""segunda-feira: 10:00 – 22:00"", ""terça-feira: 10:00 – 22:00"", ""quarta-feira: 10:00 – 22:00"", ""quinta-feira: 10:00 – 22:00"", ""sexta-feira: 10:00 – 22:00"", ""sábado: 10:00 – 22:00"", ""domingo: 12:00 – 22:00""]";"[""shopping_mall"", ""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -15.8021986197085, 'lng': -47.9388420197085}, 'southwest': {'lat': -15.8048965802915, 'lng': -47.9415399802915}}
ChIJ__8jOQEwWpMR8nXiM8uKI68;Brasília/DF;Cinesystem Caixa (Casa Park);SGCV Sul 22 Shopping Casa Park - Guará, Brasília;False;OPERATIONAL;-15.8269727;-47.95354529999999;"[""segunda-feira: 13:00 – 22:00"", ""terça-feira: 13:00 – 22:00"", ""quarta-feira: 13:00 – 22:00"", ""quinta-feira: 13:00 – 22:00"", ""sexta-feira: 13:00 – 22:00"", ""sábado: 13:00 – 22:00"", ""domingo: 13:00 – 22:00""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -15.8255638697085, 'lng': -47.9523557697085}, 'southwest': {'lat': -15.8282618302915, 'lng': -47.9550537302915}}
ChIJ0yjCyK8xWpMRTlleSBidH9k;Brasília/DF;Kinoplex Platinum;Brasília;False;OPERATIONAL;-15.8337871;-47.9547164;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -15.83192695, 'lng': -47.9533174697085}, 'southwest': {'lat': -15.83491555, 'lng': -47.9560154302915}}
ChIJH7_OVgAxWpMRMJTlyYH9lnY;Brasília/DF;ParkShopping;Park Sul Park Studios - Brasília;False;OPERATIONAL;-15.8319659;-47.9556354;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -15.8306383697085, 'lng': -47.9542900697085}, 'southwest': {'lat': -15.8333363302915, 'lng': -47.9569880302915}}
ChIJAQAAkCkwWpMR2FvTNUHPUhs;Brasília/DF;Kinoplex ParkShopping;SAI/SUDO área, 6580 - Guará, Brasília;False;OPERATIONAL;-15.8324773;-47.9556855;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -15.8311721697085, 'lng': -47.9542043197085}, 'southwest': {'lat': -15.8338701302915, 'lng': -47.95690228029149}}
ChIJdzrGYYElWpMRVyeX5idew9M;Brasília/DF;Cine Infra;Setor de Habitações Individuais Sul QI 15 - Lago Sul, Brasília;False;OPERATIONAL;-15.8490925;-47.88579049999999;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -15.8476696197085, 'lng': -47.8845412197085}, 'southwest': {'lat': -15.8503675802915, 'lng': -47.88723918029149}}
