id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJW8HIR2YxWpMRPalIeNxEvj0;Brasília/DF;Memorial e Espaço Cultural Alfredo Lopes da Silva;Qd 8 Bloco J - Brasília;False;OPERATIONAL;-15.7853736;-47.932488;"[""segunda-feira: Fechado"", ""terça-feira: Fechado"", ""quarta-feira: Fechado"", ""quinta-feira: Fechado"", ""sexta-feira: Fechado"", ""sábado: 09:00 – 16:00"", ""domingo: 09:00 – 16:00""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -15.7840518697085, 'lng': -47.9310431697085}, 'southwest': {'lat': -15.7867498302915, 'lng': -47.93374113029149}}
ChIJNQ7Yd103WpMResZXDZqDIQs;Brasília/DF;Centro de Visitantes - Parque Nacional de Brasília;Parque Nacional de Brasilia - Torto, Brasília;True;OPERATIONAL;-15.735318;-47.92924329999999;"[""segunda-feira: 08:00 – 16:00"", ""terça-feira: 08:00 – 16:00"", ""quarta-feira: 08:00 – 16:00"", ""quinta-feira: 08:00 – 16:00"", ""sexta-feira: 08:00 – 16:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""museum"", ""park"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -15.7341620197085, 'lng': -47.9279037197085}, 'southwest': {'lat': -15.7368599802915, 'lng': -47.9306016802915}}
ChIJ6SPSmuY7WpMRq5jf4IbFTB0;Brasília/DF;VMUG Brasilia;SQNW 102 Bloco B, Brasília;False;OPERATIONAL;-15.7671127;-47.90754219999999;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -15.76581246970849, 'lng': -47.9061852197085}, 'southwest': {'lat': -15.7685104302915, 'lng': -47.90888318029149}}
ChIJsaNDbnw6WpMRBWuFQRuyCiM;Brasília/DF;Memorial JK;Eixo Monumental - Lado Oeste - Praça do Cruzeiro, Brasília;True;OPERATIONAL;-15.7842063;-47.9133544;"[""segunda-feira: Fechado"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: 09:00 – 18:00"", ""domingo: 09:00 – 18:00""]";"[""tourist_attraction"", ""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -15.78255949999999, 'lng': -47.9117674197085}, 'southwest': {'lat': -15.7853171, 'lng': -47.9144653802915}}
ChIJ____62I6WpMR2bpfzjXCHME;Brasília/DF;Memorial dos Povos Indígenas;Zona Cívico-Administrativa Em frente ao Memorial JK, Brasília;True;OPERATIONAL;-15.7849187;-47.9113803;"[""segunda-feira: Fechado"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: 09:00 – 17:00"", ""domingo: 09:00 – 17:00""]";"[""museum"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -15.78356836970849, 'lng': -47.91035641970851}, 'southwest': {'lat': -15.7862663302915, 'lng': -47.91305438029151}}
ChIJ_a1IRQA7WpMRrl-RNV2SDiI;Brasília/DF;Busto JOSÉ MARTÍ;637R+W5 - Brasília;False;OPERATIONAL;-15.7852245;-47.9096104;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -15.78410706970849, 'lng': -47.9085773197085}, 'southwest': {'lat': -15.7868050302915, 'lng': -47.9112752802915}}
ChIJK9ajpiE6WpMRekW2wJL83m0;Brasília/DF;Associação dos Ex-Combatentes do Brasil - Sede Brasília (AECB/DF);SGAN Quadra 913, Conjunto F Edifício Sede, Brasília;False;OPERATIONAL;-15.7495761;-47.8997773;"[""segunda-feira: 08:00 – 12:00, 13:00 – 18:00"", ""terça-feira: 08:00 – 12:00, 13:00 – 18:00"", ""quarta-feira: 08:00 – 12:00, 13:00 – 18:00"", ""quinta-feira: 08:00 – 12:00, 13:00 – 18:00"", ""sexta-feira: 08:00 – 12:00, 14:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -15.7482108197085, 'lng': -47.8982479697085}, 'southwest': {'lat': -15.7509087802915, 'lng': -47.90094593029149}}
ChIJFzrjkIU6WpMRbywcQ0ZrFHc;Brasília/DF;Museu da Imprensa;Lote 800 Quadra 06, SIG Qd 6 - Cruzeiro / Sudoeste / Octogonal, Brasília;False;CLOSED_TEMPORARILY;-15.7940072;-47.9126906;"[""Não disponível""]";"[""museum"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -15.7926690197085, 'lng': -47.9112895697085}, 'southwest': {'lat': -15.7953669802915, 'lng': -47.9139875302915}}
ChIJhw6XalE7WpMRykn-hfiym5E;Brasília/DF;Árvore Gigante;51, SHCGN 709 - Asa Norte, Brasília;False;OPERATIONAL;-15.7609188;-47.89267119999999;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -15.7595568697085, 'lng': -47.89127911970849}, 'southwest': {'lat': -15.7622548302915, 'lng': -47.89397708029149}}
ChIJufT89co5WpMR-PEUwvcITFE;Brasília/DF;Ginecologia e Obstetrícia Dra. Gabriela Corassa;SHLN 516 CONJUNTO D - Asa Norte, Brasília;True;OPERATIONAL;-15.7360865;-47.8970383;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -15.7347213697085, 'lng': -47.8956858697085}, 'southwest': {'lat': -15.7374193302915, 'lng': -47.8983838302915}}
