id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ0T5A4mczWpMRBDkPlUaYRso;Brasília/DF;Parmegiana D’italia;Rua Manacá - Águas Claras, Brasília;False;OPERATIONAL;-15.8372236;-48.0098971;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -15.8358946197085, 'lng': -48.00848711970851}, 'southwest': {'lat': -15.8385925802915, 'lng': -48.0111850802915}}
ChIJl3XdvhoyWpMRgzQa8UgJVa4;Brasília/DF;Butiquim Tijuca;Rua Manacá - Águas Claras, Brasília;True;OPERATIONAL;-15.8371982;-48.0098881;"[""segunda-feira: 10:00 – 23:00"", ""terça-feira: 10:00 – 00:00"", ""quarta-feira: 10:00 – 00:00"", ""quinta-feira: 10:00 – 00:00"", ""sexta-feira: 10:00 – 02:00"", ""sábado: 10:00 – 02:00"", ""domingo: 09:00 – 23:00""]";"[""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -15.8358693197085, 'lng': -48.0084779197085}, 'southwest': {'lat': -15.8385672802915, 'lng': -48.0111758802915}}
ChIJj0edH5wzWpMRmLVRwgnnuE8;Brasília/DF;Camarão Inbox;Rua Manacá 9 Edf - Águas Claras, Brasília;True;OPERATIONAL;-15.8371222;-48.0098666;"[""segunda-feira: Fechado"", ""terça-feira: 11:00 – 22:30"", ""quarta-feira: 11:00 – 22:30"", ""quinta-feira: 11:00 – 22:30"", ""sexta-feira: 11:00 – 22:30"", ""sábado: 11:00 – 22:30"", ""domingo: 11:00 – 22:30""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -15.8357943197085, 'lng': -48.00845341970849}, 'southwest': {'lat': -15.8384922802915, 'lng': -48.01115138029149}}
ChIJzWAchRwzWpMRtAEGirodQbY;Brasília/DF;Açaí do Reserva;Rua Manacá 09 loja 02 - Águas Claras, Brasília;True;OPERATIONAL;-15.8368777;-48.00976749999999;"[""segunda-feira: 12:00 – 21:00"", ""terça-feira: 12:00 – 21:00"", ""quarta-feira: 12:00 – 21:00"", ""quinta-feira: 12:00 – 21:00"", ""sexta-feira: 12:00 – 21:00"", ""sábado: 12:00 – 21:00"", ""domingo: 12:00 – 21:00""]";"[""restaurant"", ""meal_takeaway"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -15.83555146970849, 'lng': -48.00835721970849}, 'southwest': {'lat': -15.8382494302915, 'lng': -48.01105518029149}}
ChIJXRAKrCAzWpMR8u-cDmklDFM;Brasília/DF;Mangu shoyu;Rua Manacá sul 9 loja 02 - Águas Claras, Brasília;False;OPERATIONAL;-15.8369294;-48.0098969;"[""segunda-feira: 16:00 – 22:00"", ""terça-feira: 16:00 – 22:00"", ""quarta-feira: 16:00 – 22:00"", ""quinta-feira: 16:00 – 22:00"", ""sexta-feira: 16:00 – 22:00"", ""sábado: 16:00 – 22:00"", ""domingo: 16:00 – 22:00""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -15.8355692697085, 'lng': -48.0085884197085}, 'southwest': {'lat': -15.8382672302915, 'lng': -48.01128638029149}}
ChIJiaXG94szWpMR4C9Btaf8at4;Brasília/DF;GRUPO PAMEGIANA AGUAS CLARAS;RUA MANACA SUL 09 LOJA 08 - Águas Claras, Brasília;False;OPERATIONAL;-15.8369291;-48.0098974;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -15.8355690197085, 'lng': -48.0085886697085}, 'southwest': {'lat': -15.8382669802915, 'lng': -48.0112866302915}}
ChIJiXA85cUvWpMROv2nBmI9--A;Brasília/DF;Bistrô da Ita;Avenida das Araucárias, lote 305, loja 09 Maggiore Shopping Sul, Brasília;True;OPERATIONAL;-15.8375639;-48.01062729999999;"[""segunda-feira: 09:00 – 15:00"", ""terça-feira: 09:00 – 15:00"", ""quarta-feira: 09:00 – 15:00"", ""quinta-feira: 09:00 – 15:00"", ""sexta-feira: 09:00 – 15:00"", ""sábado: 09:00 – 15:00"", ""domingo: 09:00 – 15:00""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -15.8362767197085, 'lng': -48.00927641970849}, 'southwest': {'lat': -15.8389746802915, 'lng': -48.01197438029149}}
ChIJ09CyphoyWpMRyiHsfTYYqtM;Brasília/DF;RESTAURANTE Sabor Mineiro;Brazil;False;OPERATIONAL;-15.837446;-48.0106748;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -15.8360412697085, 'lng': -48.0093213697085}, 'southwest': {'lat': -15.8387392302915, 'lng': -48.0120193302915}}
ChIJCVEP5QkzWpMR-XG3WCWAulU;Brasília/DF;Dom Lui Pizzaria;Avenida das Araucárias 305 Loja 29 - Águas Claras, Brasília;False;OPERATIONAL;-15.8375613;-48.0108599;"[""segunda-feira: Fechado"", ""terça-feira: Fechado"", ""quarta-feira: 17:30 – 22:30"", ""quinta-feira: 17:30 – 22:30"", ""sexta-feira: 17:30 – 22:30"", ""sábado: 17:30 – 22:30"", ""domingo: 17:30 – 22:30""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -15.8362786697085, 'lng': -48.00950891970851}, 'southwest': {'lat': -15.8389766302915, 'lng': -48.01220688029151}}
ChIJm4g9wd0zWpMRP2b9I0VRFvo;Brasília/DF;Gordinho Burguer águas claras;18, Setor habitacional arniqueira - Águas Claras, Brasília;False;OPERATIONAL;-15.84682859999999;-48.0090086;"[""segunda-feira: Fechado"", ""terça-feira: 18:00 – 23:30"", ""quarta-feira: Fechado"", ""quinta-feira: 18:00 – 23:30"", ""sexta-feira: 18:00 – 23:30"", ""sábado: 18:00 – 23:30"", ""domingo: 18:00 – 23:30""]";"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -15.8455024697085, 'lng': -48.0076525197085}, 'southwest': {'lat': -15.8482004302915, 'lng': -48.0103504802915}}
ChIJyUcIfRoyWpMREdG2XYwZ5hc;Brasília/DF;Goodies Street Food;Boulevard Sul - Águas Claras, Brasília;False;OPERATIONAL;-15.8358237;-48.0104675;"[""segunda-feira: 18:30 – 23:00"", ""terça-feira: 18:30 – 23:00"", ""quarta-feira: 18:30 – 23:00"", ""quinta-feira: 18:30 – 23:00"", ""sexta-feira: 18:30 – 23:00"", ""sábado: Fechado"", ""domingo: 18:30 – 23:00""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -15.8345056697085, 'lng': -48.0091234197085}, 'southwest': {'lat': -15.8372036302915, 'lng': -48.0118213802915}}
ChIJXVJ9A2o5WpMRAUCWrMnhHeY;Brasília/DF;Escola da Costela Park Way;Smpw Trecho 3 Q 5 Conjunto 8, Park WAY, Brasília;False;OPERATIONAL;-15.8339913;-48.0049358;"[""segunda-feira: Fechado"", ""terça-feira: Fechado"", ""quarta-feira: Fechado"", ""quinta-feira: Fechado"", ""sexta-feira: 11:00 – 16:00"", ""sábado: 11:00 – 16:00"", ""domingo: 11:00 – 16:00""]";"[""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -15.8324389197085, 'lng': -48.0035204197085}, 'southwest': {'lat': -15.8351368802915, 'lng': -48.0062183802915}}
ChIJqdRb0ZUzWpMRysvyMFtspoc;Brasília/DF;Cuma;Rua Manacá 01 lojas 01 e 02 - Águas Claras, Brasília;True;OPERATIONAL;-15.8345544;-48.00887459999999;"[""segunda-feira: 11:30 – 23:30"", ""terça-feira: 11:30 – 23:30"", ""quarta-feira: 11:30 – 23:30"", ""quinta-feira: 11:30 – 23:30"", ""sexta-feira: 11:30 – 00:00"", ""sábado: 11:30 – 00:00"", ""domingo: 11:30 – 23:30""]";"[""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -15.8331639697085, 'lng': -48.00751416970849}, 'southwest': {'lat': -15.8358619302915, 'lng': -48.01021213029149}}
ChIJpQHoxI4zWpMRm3tsM8xANXM;Brasília/DF;Dom D'Minas - Restaurante & Sabores da Casa;Avenida das Araucárias Q 201, 455 - Águas Claras, Brasília;True;OPERATIONAL;-15.8372567;-48.0120838;"[""segunda-feira: 11:00 – 23:00"", ""terça-feira: 11:00 – 23:00"", ""quarta-feira: 11:00 – 23:00"", ""quinta-feira: 11:00 – 23:00"", ""sexta-feira: 11:00 – 23:00"", ""sábado: 11:00 – 23:00"", ""domingo: 11:00 – 23:00""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -15.8358692197085, 'lng': -48.0107357697085}, 'southwest': {'lat': -15.83856718029151, 'lng': -48.0134337302915}}
