id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJRwAfs57nhpQRTPu3L3wUuWo;Campo Grande/MS;Simplifique Assistente Virtual;Campo Grande;False;OPERATIONAL;-20.4697105;-54.62012110000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -20.4683602197085, 'lng': -54.6187721197085}, 'southwest': {'lat': -20.4710581802915, 'lng': -54.62147008029149}}
ChIJhTkfwD3nhpQRgbMuSzyCYDo;Campo Grande/MS;Tainah Andrade Advocacia Imobiliária Preventiva;Campo Grande;True;OPERATIONAL;-20.4697105;-54.62012110000001;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""lawyer"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -20.4683602197085, 'lng': -54.6187721197085}, 'southwest': {'lat': -20.4710581802915, 'lng': -54.62147008029149}}
ChIJU61Sy7fnhpQRwTJcukjRnM4;Campo Grande/MS;Residencial encanto;Rua residencial encanto, Campo Grande;False;OPERATIONAL;-20.4697105;-54.62012110000001;"[""Não disponível""]";"[""lodging"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -20.4683602197085, 'lng': -54.6187721197085}, 'southwest': {'lat': -20.4710581802915, 'lng': -54.62147008029149}}
ChIJL4UJ9w3nhpQReOkb6_s4Wok;Campo Grande/MS;Sonolight & Saúde Colchões;Campo Grande;True;OPERATIONAL;-20.4697105;-54.62012110000001;"[""segunda-feira: 08:00 – 00:00"", ""terça-feira: 08:00 – 00:00"", ""quarta-feira: 08:00 – 00:00"", ""quinta-feira: 08:00 – 00:00"", ""sexta-feira: 08:00 – 00:00"", ""sábado: 08:00 – 00:00"", ""domingo: Fechado""]";"[""furniture_store"", ""home_goods_store"", ""store"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -20.4683602197085, 'lng': -54.6187721197085}, 'southwest': {'lat': -20.4710581802915, 'lng': -54.62147008029149}}
ChIJY747gB3nhpQRSbSdb-Hedg8;Campo Grande/MS;Crochielle feito a mão;Campo Grande;True;OPERATIONAL;-20.4697105;-54.62012110000001;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -20.4683602197085, 'lng': -54.6187721197085}, 'southwest': {'lat': -20.4710581802915, 'lng': -54.62147008029149}}
ChIJg9DsgmjnhpQR2Tv-_JFtHxs;Campo Grande/MS;Marsiano Engenharia;Rua Yea Miguel Amim - Residencial Oliveira, Campo Grande;False;OPERATIONAL;-20.4697105;-54.62012110000001;"[""Não disponível""]";"[""general_contractor"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -20.4683602197085, 'lng': -54.6187721197085}, 'southwest': {'lat': -20.4710581802915, 'lng': -54.62147008029149}}
ChIJu0P56KDphpQR1hUY_stk-kU;Campo Grande/MS;Xaro'z Empório Pet;Campo Grande;True;OPERATIONAL;-20.4697105;-54.62012110000001;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""pet_store"", ""store"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -20.4683602197085, 'lng': -54.6187721197085}, 'southwest': {'lat': -20.4710581802915, 'lng': -54.62147008029149}}
ChIJGfg3lAbnhpQRhZzMhtcPpn8;Campo Grande/MS;Assembleia De Deus Sslao Do Avivamentp;Campo Grande;False;CLOSED_TEMPORARILY;-20.4697105;-54.62012110000001;"[""Não disponível""]";"[""church"", ""place_of_worship"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -20.4683602197085, 'lng': -54.6187721197085}, 'southwest': {'lat': -20.4710581802915, 'lng': -54.62147008029149}}
ChIJT8sXHE7nhpQRMJf5mOg6aTM;Campo Grande/MS;Carol Bogalho Doula;Campo Grande;True;OPERATIONAL;-20.4697105;-54.62012110000001;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -20.4683602197085, 'lng': -54.6187721197085}, 'southwest': {'lat': -20.4710581802915, 'lng': -54.62147008029149}}
ChIJUd2mtDvnhpQRG8_6Ia5UxfA;Campo Grande/MS;Erica Bella Fit;Campo Grande;False;OPERATIONAL;-20.4697105;-54.62012110000001;"[""Não disponível""]";"[""store"", ""health"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -20.4683602197085, 'lng': -54.6187721197085}, 'southwest': {'lat': -20.4710581802915, 'lng': -54.62147008029149}}
