id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJT9PwlMEzWpMRxUSzYg38j_o;Brasília/DF;Recanto de Assis;Setor Habitacional Arniqueira Conjunto 7 - Setor Habitacional Arniqueira, Brasília;False;OPERATIONAL;-15.8404448;-48.0031957;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -15.8390395197085, 'lng': -48.0018736197085}, 'southwest': {'lat': -15.8417374802915, 'lng': -48.0045715802915}}
ChIJxSRunzU7WpMR8bThAA5rDfE;Brasília/DF;Colégio Mag | Águas Claras;SMPW Quadra 5 Conjunto 6 Lote 1 Unidade B Park Way - Águas Claras, Brasília;True;OPERATIONAL;-15.8396662;-48.0034258;"[""segunda-feira: 08:00 – 19:00"", ""terça-feira: 08:00 – 19:00"", ""quarta-feira: 08:00 – 19:00"", ""quinta-feira: 08:00 – 19:00"", ""sexta-feira: 08:00 – 19:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""primary_school"", ""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -15.8382990697085, 'lng': -48.0020194697085}, 'southwest': {'lat': -15.8409970302915, 'lng': -48.0047174302915}}
ChIJtyuwTAQyWpMRilUZDj2CywM;Brasília/DF;Escola Arara Azul;Smpw Q5 Conjunto 6 lote 6 - Águas Claras, Brasília;True;OPERATIONAL;-15.8408696;-48.0084178;"[""segunda-feira: 07:00 – 19:00"", ""terça-feira: 07:00 – 19:00"", ""quarta-feira: 07:00 – 19:00"", ""quinta-feira: 07:00 – 19:00"", ""sexta-feira: 07:00 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""primary_school"", ""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -15.8392640197085, 'lng': -48.0072116197085}, 'southwest': {'lat': -15.8419619802915, 'lng': -48.0099095802915}}
ChIJg0lUIhsyWpMRYy660FcyU-0;Brasília/DF;Sociedade Candanga de Educação e Cultura;Rua Tamboril 1, Brasília;False;CLOSED_TEMPORARILY;-15.8366535;-48.0080064;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -15.8353094197085, 'lng': -48.0066440697085}, 'southwest': {'lat': -15.8380073802915, 'lng': -48.0093420302915}}
ChIJkxyCtBgzWpMRWvODvwi2B1U;Brasília/DF;Colégio Marista Águas Claras;lote 01, Rua Tamboril 1 - Águas Claras, Brasília;True;OPERATIONAL;-15.8367965;-48.0083881;"[""segunda-feira: 06:30 – 20:30"", ""terça-feira: 06:30 – 20:30"", ""quarta-feira: 06:30 – 20:30"", ""quinta-feira: 06:30 – 20:30"", ""sexta-feira: 06:30 – 20:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""secondary_school"", ""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -15.83557416970849, 'lng': -48.00690591970849}, 'southwest': {'lat': -15.8382721302915, 'lng': -48.00960388029149}}
ChIJkbmJF0EvWpMRIapcTUbmxc8;Brasília/DF;Casa Amarela - Escola de Contraturno Atual;SMPW Quadra 5, Conjunto 7, Park Way Lote 1, Unidade D, Brasília;True;OPERATIONAL;-15.8359645;-48.0041375;"[""segunda-feira: 09:30 – 19:00"", ""terça-feira: 09:30 – 19:00"", ""quarta-feira: 09:30 – 19:00"", ""quinta-feira: 09:30 – 19:00"", ""sexta-feira: 09:30 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -15.8345765697085, 'lng': -48.0029145697085}, 'southwest': {'lat': -15.8372745302915, 'lng': -48.00561253029149}}
ChIJz_bugP8tWpMRiOEPOjr4u5I;Brasília/DF;Bamboler;Brazil;False;OPERATIONAL;-15.846075;-48.003301;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -15.8446495197085, 'lng': -48.0017617697085}, 'southwest': {'lat': -15.8473474802915, 'lng': -48.0044597302915}}
ChIJo7vkpBoyWpMRPP4etRu_zQU;Brasília/DF;Fonocursos;Edf. Maggiore Shopping Av das Araucárias, lote 305 lojas 11 e 12 - Águas Claras, Brasília;False;CLOSED_TEMPORARILY;-15.837512;-48.0104308;"[""Não disponível""]";"[""school"", ""health"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -15.8360834697085, 'lng': -48.0090752697085}, 'southwest': {'lat': -15.8387814302915, 'lng': -48.0117732302915}}
ChIJTTZf5AIzWpMRUY9GvfFhAQo;Brasília/DF;Colégio Ideal Manacá;Rua Manacá 2 Bloco 2 - Águas Claras, Brasília;True;OPERATIONAL;-15.8356363;-48.0079694;"[""segunda-feira: 07:00 – 18:00"", ""terça-feira: 07:00 – 18:00"", ""quarta-feira: 07:00 – 18:00"", ""quinta-feira: 07:00 – 18:00"", ""sexta-feira: 07:00 – 18:00"", ""sábado: 07:00 – 12:00"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -15.8342034697085, 'lng': -48.0066865697085}, 'southwest': {'lat': -15.8369014302915, 'lng': -48.0093845302915}}
ChIJU3xfBcs5WpMR1Eky5BA2_PM;Brasília/DF;Elos da Aprendizagem;Avenida das Araucárias 305 Shopping Maggiore - Águas Claras, Brasília;True;OPERATIONAL;-15.837561;-48.01086;"[""segunda-feira: 09:00 – 17:00"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -15.8362785197085, 'lng': -48.00950901970851}, 'southwest': {'lat': -15.8389764802915, 'lng': -48.0122069802915}}
