id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJveJrXf3phpQRELneZRCgKCc;Campo Grande/MS;Ben Cursos- Cursos da Saúde;Rua das Garças, 864 - Centro, Campo Grande;True;OPERATIONAL;-20.4514755;-54.6055757;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 18:00"", ""domingo: 08:00 – 18:00""]";"[""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -20.4500606697085, 'lng': -54.6042385697085}, 'southwest': {'lat': -20.4527586302915, 'lng': -54.6069365302915}}
ChIJ24_tHKjphpQRQ4DLQYlY4cY;Campo Grande/MS;Dra Caroline Mansour Echeverria;Rua das Garças, 864 - Cruzeiro, Campo Grande;True;OPERATIONAL;-20.4514755;-54.6055757;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 09:00 – 12:00"", ""domingo: Fechado""]";"[""dentist"", ""health"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -20.4500606697085, 'lng': -54.6042385697085}, 'southwest': {'lat': -20.4527586302915, 'lng': -54.6069365302915}}
ChIJW6-BPoPohpQRgDkT-lUfVV8;Campo Grande/MS;Móveis de Arapongas;Rua das Garças, 850 - Centro, Campo Grande;False;OPERATIONAL;-20.4515482;-54.60568620000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -20.45010651970849, 'lng': -54.6043538697085}, 'southwest': {'lat': -20.4528044802915, 'lng': -54.6070518302915}}
ChIJkXC5AIXohpQRoUVqhK8bwaY;Campo Grande/MS;HOMINI FISIOTERAPIA;Rua das Garças, 864 - sala fundos - Centro, Campo Grande;True;OPERATIONAL;-20.4514925;-54.6055624;"[""segunda-feira: 07:30 – 18:00"", ""terça-feira: 07:30 – 18:00"", ""quarta-feira: 07:30 – 18:00"", ""quinta-feira: 07:30 – 18:00"", ""sexta-feira: 07:30 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""gym"", ""health"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -20.4500683697085, 'lng': -54.60422696970851}, 'southwest': {'lat': -20.4527663302915, 'lng': -54.60692493029151}}
ChIJ0SRfIkvphpQRmYRnY4MG2zg;Campo Grande/MS;Bruno Morghetti - Psicólogo Comportamental;Rua das Garças, 863 - sala 02 - Centro, Campo Grande;True;OPERATIONAL;-20.4511448;-54.60576779999999;"[""segunda-feira: 09:00 – 17:00"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -20.4499054697085, 'lng': -54.60439906970849}, 'southwest': {'lat': -20.4526034302915, 'lng': -54.60709703029149}}
ChIJD-xxFlrnhpQR2TEbZ4Zvj_g;Campo Grande/MS;Psicóloga Nayara Laura França;Rua das Garças, 863 - Centro, Campo Grande;True;OPERATIONAL;-20.4511448;-54.60576779999999;"[""segunda-feira: 11:00 – 19:00"", ""terça-feira: 11:00 – 19:00"", ""quarta-feira: 11:00 – 19:00"", ""quinta-feira: 11:00 – 19:00"", ""sexta-feira: 11:00 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -20.4499054697085, 'lng': -54.60439906970849}, 'southwest': {'lat': -20.4526034302915, 'lng': -54.60709703029149}}
ChIJAxl-0I7nhpQRyi1QhZVNLQg;Campo Grande/MS;Clissia Urio Nutricionista;Rua das Garças, 863 - Monte Castelo, Campo Grande;True;OPERATIONAL;-20.4511448;-54.60576779999999;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -20.4499054697085, 'lng': -54.60439906970849}, 'southwest': {'lat': -20.4526034302915, 'lng': -54.60709703029149}}
ChIJTWZ-agXphpQRgy9VD3D3aTw;Campo Grande/MS;Psicóloga Ana Karlla Souza Lopes;Rua das Garças, 863 - sala 5 - Centro, Campo Grande;True;OPERATIONAL;-20.4511448;-54.60576779999999;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 11:00"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -20.4499054697085, 'lng': -54.60439906970849}, 'southwest': {'lat': -20.4526034302915, 'lng': -54.60709703029149}}
ChIJU7gKJh_nhpQRgSRpEfE5H84;Campo Grande/MS;Psicóloga infantil Emília Luna;Rua das Garças, 863 - Centro, Campo Grande;True;OPERATIONAL;-20.4511448;-54.60576779999999;"[""segunda-feira: 08:00 – 20:00"", ""terça-feira: 08:00 – 20:00"", ""quarta-feira: 08:00 – 20:00"", ""quinta-feira: 08:00 – 20:00"", ""sexta-feira: 08:00 – 20:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -20.4499054697085, 'lng': -54.60439906970849}, 'southwest': {'lat': -20.4526034302915, 'lng': -54.60709703029149}}
ChIJRb06Zw3phpQR1MT1j_0e9zY;Campo Grande/MS;Sinclayr Calabria;Rua das Garças, 863 - Centro, Campo Grande;True;OPERATIONAL;-20.4511448;-54.60576779999999;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -20.4499054697085, 'lng': -54.60439906970849}, 'southwest': {'lat': -20.4526034302915, 'lng': -54.60709703029149}}
