id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJo7rpeAAzWpMRAuG_FGNGRTo;Brasília/DF;Park Dubai;Smpw Quadra 3 Q 5 Conjunto 13 4 8 - Núcleo Bandeirante, Brasília;False;OPERATIONAL;-15.8412834;-48.0054344;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -15.83993406970849, 'lng': -48.0040856197085}, 'southwest': {'lat': -15.8426320302915, 'lng': -48.0067835802915}}
ChIJ0et0SgAzWpMRKk9UpXtDaG8;Brasília/DF;Condominio Park Dubai;Smpw Quadra 3 Q 5 Conjunto 13 4 8 - Núcleo Bandeirante, Brasília;False;OPERATIONAL;-15.8412891;-48.0054258;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -15.8399319697085, 'lng': -48.00408051970849}, 'southwest': {'lat': -15.8426299302915, 'lng': -48.00677848029149}}
ChIJp50lcgQyWpMRa6WgeYvjiT8;Brasília/DF;Chicobol;Park Way - SMPW Q. 5 Cj. 6 Lote 4;False;OPERATIONAL;-15.8405924;-48.0064888;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -15.8392723697085, 'lng': -48.00519866970849}, 'southwest': {'lat': -15.8419703302915, 'lng': -48.00789663029149}}
ChIJg-ywEAAzWpMRgkZz9JlY3vY;Brasília/DF;Vivenda dos Pereiras;Smpw Trecho 3 Q 5 Conjunto 6 - Núcleo Bandeirante, Brasília;False;OPERATIONAL;-15.8415586;-48.00498289999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -15.8400005197085, 'lng': -48.00373241970849}, 'southwest': {'lat': -15.8426984802915, 'lng': -48.00643038029149}}
ChIJ8UgWmZMzWpMRp8Jnpv5SpSo;Brasília/DF;Tapetz Natural;3, SMPW QUADRA 28 - Park Way, Brasília;True;OPERATIONAL;-15.8401516;-48.00541399999999;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""pet_store"", ""store"", ""food"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -15.8388513697085, 'lng': -48.0041795197085}, 'southwest': {'lat': -15.8415493302915, 'lng': -48.0068774802915}}
ChIJZ9Er58MzWpMRqamx2pb82vk;Brasília/DF;Arniqueiras;40, Colônia Agrícola Vereda da Cruz conjunto 6 - Setor Habitacional Arniqueira, Brasília;False;OPERATIONAL;-15.8418956;-48.00700419999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -15.8405293697085, 'lng': -48.00566306970851}, 'southwest': {'lat': -15.8432273302915, 'lng': -48.0083610302915}}
ChIJ07bwHgQyWpMRtBgKOJ-S_x0;Brasília/DF;Maison Givanchyr;SMPW, Quadra 5, Conjunto 6, Chácara 7, Trecho 3 - Águas Claras, Brasília;True;OPERATIONAL;-15.8423938;-48.0071411;"[""segunda-feira: 09:00 – 17:00"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -15.8408657697085, 'lng': -48.0058735697085}, 'southwest': {'lat': -15.8435637302915, 'lng': -48.0085715302915}}
ChIJifeHcAMyWpMRPAEmri-YuDY;Brasília/DF;Golden Park;2, Trecho 3 - Núcleo Bandeirante, Brasília;False;OPERATIONAL;-15.8389698;-48.005327;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -15.8375995697085, 'lng': -48.0039342697085}, 'southwest': {'lat': -15.8402975302915, 'lng': -48.00663223029149}}
ChIJT9PwlMEzWpMRxUSzYg38j_o;Brasília/DF;Recanto de Assis;Setor Habitacional Arniqueira Conjunto 7 - Setor Habitacional Arniqueira, Brasília;False;OPERATIONAL;-15.8404448;-48.0031957;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -15.8390395197085, 'lng': -48.0018736197085}, 'southwest': {'lat': -15.8417374802915, 'lng': -48.0045715802915}}
ChIJC6AJ4_0xWpMRMUig4yyZA1o;Brasília/DF;Casa da Vovó Joaquina;SMPW Quadra 05 Conjunto 06 - Brasília;False;OPERATIONAL;-15.8424431;-48.0078837;"[""segunda-feira: Fechado"", ""terça-feira: Fechado"", ""quarta-feira: Fechado"", ""quinta-feira: Fechado"", ""sexta-feira: Fechado"", ""sábado: 17:00 – 22:00"", ""domingo: Fechado""]";"[""place_of_worship"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -15.84102556970849, 'lng': -48.0065659197085}, 'southwest': {'lat': -15.8437235302915, 'lng': -48.0092638802915}}
