id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJS2q7f5wvWpMR71YzsN5c0Yc;Brasília/DF;Polo Estácio EAD;ED. VARSÓVIA C - 03, 3 - 4, 12 Loja 02 - Brasília;False;OPERATIONAL;-15.826691;-47.92182039999999;"[""segunda-feira: 09:00 – 12:00, 13:00 – 18:00"", ""terça-feira: 09:00 – 12:00, 13:00 – 18:00"", ""quarta-feira: 09:00 – 12:00, 13:00 – 18:00"", ""quinta-feira: 09:00 – 12:00, 13:00 – 18:00"", ""sexta-feira: 09:00 – 12:00, 13:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -15.8252211697085, 'lng': -47.9205523697085}, 'southwest': {'lat': -15.8279191302915, 'lng': -47.92325033029149}}
ChIJU_S_2FkxWpMR2luGLX6RBgM;Brasília/DF;Reforço Escolar e Apoio Pedagógico - Reap;Guará II QE 26 bloco A loja, 35 - Guará, Brasília;True;OPERATIONAL;-15.8277639;-47.9249014;"[""segunda-feira: 08:00 – 19:00"", ""terça-feira: 08:00 – 19:00"", ""quarta-feira: 08:00 – 19:00"", ""quinta-feira: 08:00 – 19:00"", ""sexta-feira: 08:00 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""health"", ""school"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -15.8263890197085, 'lng': -47.9235710197085}, 'southwest': {'lat': -15.8290869802915, 'lng': -47.9262689802915}}
ChIJ2VNpKyY7WpMRQgLFiUDvfSE;Brasília/DF;IEDi Academy;SHS Quadra 6 Conjunto A Bloco D Loja 28 - Asa Sul, Brasília;False;OPERATIONAL;-15.8230296;-47.9217624;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -15.8217199697085, 'lng': -47.9204741697085}, 'southwest': {'lat': -15.8244179302915, 'lng': -47.9231721302915}}
ChIJbxN8eWElWpMR4_yV6xMtWvM;Brasília/DF;ScienTV;SQS 215 Bloco J Apartamento 510 - Brasília;True;OPERATIONAL;-15.8331466;-47.9213916;"[""segunda-feira: 08:00 – 19:00"", ""terça-feira: 08:00 – 19:00"", ""quarta-feira: 08:00 – 19:00"", ""quinta-feira: 08:00 – 19:00"", ""sexta-feira: 08:00 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -15.83185736970849, 'lng': -47.91999541970851}, 'southwest': {'lat': -15.8345553302915, 'lng': -47.92269338029151}}
ChIJBy4G1q86WpMRTYQHJmpPotU;Brasília/DF;Reciclagem Educacional - Cursos Pré-ENEM, Pré-Vestibular e Pré-PAS;Bloco C - Asa Sul, Brasília;True;OPERATIONAL;-15.8212456;-47.91809670000001;"[""segunda-feira: 08:00 – 20:00"", ""terça-feira: 08:00 – 20:00"", ""quarta-feira: 08:00 – 20:00"", ""quinta-feira: 08:00 – 20:00"", ""sexta-feira: 08:00 – 20:00"", ""sábado: 08:00 – 14:00"", ""domingo: Fechado""]";"[""university"", ""school"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -15.8198508697085, 'lng': -47.91678356970851}, 'southwest': {'lat': -15.82254883029151, 'lng': -47.9194815302915}}
ChIJh9EgflU7WpMRKzAktd8Nleo;Brasília/DF;Faculdade Senac DF;SEP Sul Trecho 713/913, SHCS, Brasília;True;OPERATIONAL;-15.8198872;-47.9218428;"[""segunda-feira: 08:00 – 22:00"", ""terça-feira: 08:00 – 22:00"", ""quarta-feira: 08:00 – 22:00"", ""quinta-feira: 08:00 – 22:00"", ""sexta-feira: 08:00 – 22:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -15.8184672197085, 'lng': -47.9205506197085}, 'southwest': {'lat': -15.8211651802915, 'lng': -47.9232485802915}}
ChIJpfIHLnwxWpMRAU1YbxBZf_4;Brasília/DF;Polo Estácio EAD;SGAS 914 Conj A - DF, Brasília;False;OPERATIONAL;-15.8212;-47.9262039;"[""segunda-feira: 09:00 – 12:00, 13:00 – 18:00"", ""terça-feira: 09:00 – 12:00, 13:00 – 18:00"", ""quarta-feira: 09:00 – 12:00, 13:00 – 18:00"", ""quinta-feira: 09:00 – 12:00, 13:00 – 18:00"", ""sexta-feira: 09:00 – 12:00, 13:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -15.8197783197085, 'lng': -47.9247511197085}, 'southwest': {'lat': -15.8224762802915, 'lng': -47.9274490802915}}
ChIJmW_SyMo7WpMRhmWLMIBtcUY;Brasília/DF;UNIP - Brasília;Sgas Quadra 913, s/nº - Conjunto B - Asa Sul, Brasília;True;OPERATIONAL;-15.8185032;-47.9218373;"[""segunda-feira: 08:00 – 21:00"", ""terça-feira: 08:00 – 21:00"", ""quarta-feira: 08:00 – 21:00"", ""quinta-feira: 08:00 – 21:00"", ""sexta-feira: 08:00 – 21:00"", ""sábado: 08:00 – 13:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -15.81697005, 'lng': -47.9201030697085}, 'southwest': {'lat': -15.82075465, 'lng': -47.9228010302915}}
ChIJ_US3UwAlWpMRqRF-TkP1yuI;Brasília/DF;SABIR ALI SANFUI;SHCS - Brasília;False;OPERATIONAL;-15.8346491;-47.9186187;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -15.8333303697085, 'lng': -47.9172495697085}, 'southwest': {'lat': -15.83602833029151, 'lng': -47.9199475302915}}
ChIJ807ufb0qWpMRs0-FWF7jEUk;Brasília/DF;Escola Nacional de Administração Pública - Enap;SPO Área especial 2-A - Asa Sul, Brasília;True;OPERATIONAL;-15.8303345;-47.93057340000001;"[""segunda-feira: 08:00 – 22:00"", ""terça-feira: 08:00 – 22:00"", ""quarta-feira: 08:00 – 22:00"", ""quinta-feira: 08:00 – 22:00"", ""sexta-feira: 08:00 – 22:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -15.8290985697085, 'lng': -47.92921166970851}, 'southwest': {'lat': -15.8317965302915, 'lng': -47.93190963029151}}
