id;city_state;name;address;current_opening_hours;business_status;latitude;longitude;weekday_text;viewport
ChIJd3qiFwJZzpQRRjoPKhfBTcg;São Paulo/SP;State School São Paulo;R. da Figueira, 500 - Brás, São Paulo;Indisponível;OPERATIONAL;-23.5473482;-46.6276917;Não disponível;{'northeast': {'lat': -23.54614682010728, 'lng': -46.62653252010728}, 'southwest': {'lat': -23.54884647989272, 'lng': -46.62923217989272}}
ChIJw7F64gRZzpQRytpzwZyFVOc;São Paulo/SP;Model School;Av. Alcântara Machado, 115 - Brás, São Paulo;True;OPERATIONAL;-23.5515758;-46.6237726;['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -23.55024052010728, 'lng': -46.62260947010727}, 'southwest': {'lat': -23.55294017989272, 'lng': -46.62530912989271}}
ChIJAQDEX7ZZzpQRBRvQAY9vweY;São Paulo/SP;Escola de Modelo Vivo;R. Dr. Seng, 102 - Bela Vista, São Paulo;True;OPERATIONAL;-23.5626834;-46.64974429999999;['Monday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -23.56133912010728, 'lng': -46.64842097010727}, 'southwest': {'lat': -23.56403877989272, 'lng': -46.65112062989272}}
ChIJvSoXlO1YzpQRnxBBoya_qKI;São Paulo/SP;Escola Modelo;R. Carnot, 787 - Canindé, São Paulo;Indisponível;CLOSED_PERMANENTLY;-23.5279314;-46.6214138;Não disponível;{'northeast': {'lat': -23.52659372010728, 'lng': -46.62001462010728}, 'southwest': {'lat': -23.52929337989272, 'lng': -46.62271427989272}}
ChIJz-ce1nNbzpQR4TA8TjXGvxM;São Paulo/SP;Escola Katia Dember;Rua Vergueiro - Vila Mariana, São Paulo;True;OPERATIONAL;-23.5890646;-46.6318934;['Monday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -23.58768262010728, 'lng': -46.63049567010728}, 'southwest': {'lat': -23.59038227989272, 'lng': -46.63319532989272}}
ChIJywBTrORXzpQR8qWpl75iqTI;São Paulo/SP;Modelo Design Escola de Desenho;R. Diana, 485 - Perdizes, São Paulo;True;OPERATIONAL;-23.5328902;-46.680762;['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -23.53148302010728, 'lng': -46.67950982010728}, 'southwest': {'lat': -23.53418267989272, 'lng': -46.68220947989273}}
ChIJyzqfd-NXzpQR_8e3_67Hlfg;São Paulo/SP;Educandario modelo;R. Maringá, 15 - Perdizes, São Paulo;True;OPERATIONAL;-23.5308278;-46.6824679;['Monday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -23.52943087010728, 'lng': -46.68111627010727}, 'southwest': {'lat': -23.53213052989272, 'lng': -46.68381592989272}}
ChIJizHrhuNXzpQRa2jg9P5Eb2w;São Paulo/SP;ESC.PART. EDUCANDARIO MODELO, I.E.;Rua Tucuna, 387 - Perdizes, São Paulo;Indisponível;OPERATIONAL;-23.5314529;-46.682869;Não disponível;{'northeast': {'lat': -23.53004752010727, 'lng': -46.68160392010727}, 'southwest': {'lat': -23.53274717989272, 'lng': -46.68430357989271}}
ChIJg_UOrOZXzpQRvRAlcmev-RI;São Paulo/SP;Educandário Modelo - Educação Infantil;R. Cotoxó, 654 - Pompeia, São Paulo;True;OPERATIONAL;-23.5326039;-46.6854025;['Monday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -23.53127597010728, 'lng': -46.68400247010728}, 'southwest': {'lat': -23.53397562989272, 'lng': -46.68670212989272}}
ChIJnaxKGmH4zpQRWyAXXgFFUwI;São Paulo/SP;Model Christian School;R. João Pereira, 74 - Lapa, São Paulo;True;OPERATIONAL;-23.5179208;-46.7059057;['Monday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -23.51664787010727, 'lng': -46.70450257010728}, 'southwest': {'lat': -23.51934752989272, 'lng': -46.70720222989272}}
