id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJX14rF3VNxwcRpcbUDq_ObQM;Maracanaú/CE;Aeródromo Feijó - SNFF;Rua Seridião Montenegro, 270 - Siqueira, Fortaleza;False;OPERATIONAL;-3.8123313;-38.6125947;"[""segunda-feira: 08:00 – 11:15"", ""terça-feira: 08:00 – 11:15"", ""quarta-feira: 08:00 – 11:15"", ""quinta-feira: 08:00 – 11:15"", ""sexta-feira: 08:00 – 11:15"", ""sábado: 08:30 – 11:15"", ""domingo: 08:00 – 11:15, 15:00 – 17:00""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -3.811040869708497, 'lng': -38.6112799197085}, 'southwest': {'lat': -3.813738830291502, 'lng': -38.6139778802915}}
ChIJO4uQsf5LxwcR0ZGZHSbku1E;Maracanaú/CE;Heliporto;Avenida Lineu Machado, 1-73 - Jóquei Clube, Fortaleza;False;OPERATIONAL;-3.7609189;-38.5739112;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -3.759576519708498, 'lng': -38.5725523197085}, 'southwest': {'lat': -3.762274480291502, 'lng': -38.5752502802915}}
ChIJ24BQbUVPxwcRnMUJgpLfRxw;Maracanaú/CE;TECA - Doméstico;Aeroporto, Fortaleza;False;OPERATIONAL;-3.776782799999999;-38.5453475;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -3.775425469708497, 'lng': -38.5440335197085}, 'southwest': {'lat': -3.778123430291501, 'lng': -38.5467314802915}}
ChIJG3K9fcFOxwcRWmFtQ5S2TNc;Maracanaú/CE;Aeroporto Internacional de Fortaleza - Pinto Martins (FOR);Avenida Senador Carlos Jereissati, 3000 - Serrinha, Fortaleza;False;OPERATIONAL;-3.778791399999999;-38.540554;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -3.777493719708498, 'lng': -38.5392200197085}, 'southwest': {'lat': -3.780191680291502, 'lng': -38.5419179802915}}
ChIJv3uGkBlPxwcRxLU3mD9yP6s;Maracanaú/CE;Aeroporto Internacional de Fortaleza - Pinto Martins;Acesso Público - Aeroporto, Fortaleza;False;OPERATIONAL;-3.7789876;-38.5392546;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -3.777845619708498, 'lng': -38.53805576970849}, 'southwest': {'lat': -3.780543580291503, 'lng': -38.54075373029149}}
ChIJHbuYw95OxwcRI8bQOrNNiFI;Maracanaú/CE;CIOPAER - Coordenadoria Integrada de Operações Aéreas;Aeroporto Pinto Martins CE-401, 3000 - Aeroporto, Fortaleza;True;OPERATIONAL;-3.7797596;-38.530367;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -3.778779119708497, 'lng': -38.5291212197085}, 'southwest': {'lat': -3.781477080291502, 'lng': -38.5318191802915}}
ChIJizdo7jxJxwcRvUwNZx2Ny3Y;Maracanaú/CE;Bicicletar - Estação 52- Casas Girão Montese;Avenida Professor Gomes de Matos, 1123 - Jardim América, Fortaleza;False;OPERATIONAL;-3.762707199999999;-38.5467218;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -3.761356369708497, 'lng': -38.54537106970849}, 'southwest': {'lat': -3.764054330291502, 'lng': -38.54806903029149}}
ChIJ3TJYhplPxwcR7VQ7_aL-yNg;Maracanaú/CE;JET FOR FBO & EXECUTIVE TERMINAL;Rua Jorge Acurcio, 1505 - Vila União, Fortaleza;True;OPERATIONAL;-3.7727629;-38.53589170000001;"[""segunda-feira: 06:00 – 18:00"", ""terça-feira: 06:00 – 18:00"", ""quarta-feira: 06:00 – 18:00"", ""quinta-feira: 06:00 – 18:00"", ""sexta-feira: 06:00 – 18:00"", ""sábado: 06:00 – 18:00"", ""domingo: 06:00 – 18:00""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -3.771170769708498, 'lng': -38.5350411197085}, 'southwest': {'lat': -3.773868730291502, 'lng': -38.5377390802915}}
ChIJy_ucVtBOxwcReWHeRAlGJNg;Maracanaú/CE;Terminal de Aviação Táxi Aéreo de Fortaleza;Rua Jorge Acurcio, 1505 - Vila União, Fortaleza;False;OPERATIONAL;-3.772718699999999;-38.5349362;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -3.771342069708497, 'lng': -38.5336221697085}, 'southwest': {'lat': -3.774040030291502, 'lng': -38.5363201302915}}
ChIJZUKAsCJPxwcRmKIBTgOiajU;Maracanaú/CE;Estacionamento Level One1;Rua João Facundo Lopes, 68 - Dias Macedo, Fortaleza;True;OPERATIONAL;-3.782969;-38.51717319999999;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""car_wash"", ""airport"", ""storage"", ""travel_agency"", ""parking"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -3.781645369708498, 'lng': -38.5158301197085}, 'southwest': {'lat': -3.784343330291502, 'lng': -38.5185280802915}}
