id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJg_duCfBSxwcRsvXjEmSM_nk;Maracanaú/CE;Assembleia De Deus;Avenida Pelágio de Oliveira Brandão - Santo Sátiro, Maracanaú;False;CLOSED_TEMPORARILY;-3.851206700000001;-38.62064279999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -3.849824119708499, 'lng': -38.61928331970849}, 'southwest': {'lat': -3.852522080291503, 'lng': -38.62198128029149}}
ChIJUZ65CPBSxwcRtrizUO-gARo;Maracanaú/CE;J.E. Aluminio;Avenida Pelágio de Oliveira Brandão - Lt Vl Santos Satiro, Maracanaú;False;OPERATIONAL;-3.8511496;-38.62081789999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -3.849768219708498, 'lng': -38.61945876970849}, 'southwest': {'lat': -3.852466180291502, 'lng': -38.62215673029149}}
ChIJiVC4a1JTxwcR48F_W7fU1tY;Maracanaú/CE;Carvalho & Ferreira;av.Xll - s/nJereissati - Setor E;False;OPERATIONAL;-3.8515407;-38.6195014;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -3.850152919708497, 'lng': -38.6181409197085}, 'southwest': {'lat': -3.852850880291502, 'lng': -38.62083888029149}}
ChIJnW3BJPFSxwcRPP9T5dMHVHw;Maracanaú/CE;Igreja Assembléia de Deus no Brasil ministério da graça;Rua 6, 398 - Alto Alegre I, Maracanaú;False;OPERATIONAL;-3.850816800000001;-38.6201127;"[""segunda-feira: 19:00 – 21:00"", ""terça-feira: Fechado"", ""quarta-feira: Fechado"", ""quinta-feira: 19:00 – 21:00"", ""sexta-feira: Fechado"", ""sábado: Fechado"", ""domingo: 18:00 – 20:00""]";"[""church"", ""place_of_worship"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -3.849484769708499, 'lng': -38.6187312697085}, 'southwest': {'lat': -3.852182730291503, 'lng': -38.6214292302915}}
ChIJj168sHBTxwcRLGnhR9uyjW0;Maracanaú/CE;ETE Maracanaú;Unnamed Road - Jenipapeiro, Maracanaú;False;OPERATIONAL;-3.855904300000001;-38.62300909999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -3.853750450000001, 'lng': -38.62132574999998}, 'southwest': {'lat': -3.85662225, 'lng': -38.62805915000002}}
ChIJkXjJgfBSxwcRu8AHW3pSi9E;Maracanaú/CE;Society Arena Master;Rua 8, Cj Vila Santo Sátiro, 290 - Acaracuzinho, Maracanaú;False;OPERATIONAL;-3.851553;-38.61898120000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -3.850225919708498, 'lng': -38.6176386697085}, 'southwest': {'lat': -3.852923880291503, 'lng': -38.6203366302915}}
ChIJiQGFIn9TxwcRX2vdLL9OQl8;Maracanaú/CE;Igreja El Betel Santo Satiro;Santo Sátiro, Maracanaú;False;OPERATIONAL;-3.8509528;-38.619436;"[""Não disponível""]";"[""church"", ""place_of_worship"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -3.849627569708498, 'lng': -38.6180407197085}, 'southwest': {'lat': -3.852325530291503, 'lng': -38.6207386802915}}
ChIJI_lB7ftTxwcRtXxtqFZa7os;Maracanaú/CE;JW FLORICULTURA;Rua 7, 297 - Alto Alegre I, Maracanaú;False;OPERATIONAL;-3.8511245;-38.61921679999999;"[""Não disponível""]";"[""florist"", ""store"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -3.849736869708498, 'lng': -38.6179431697085}, 'southwest': {'lat': -3.852434830291502, 'lng': -38.62064113029149}}
ChIJM8Pmb_BSxwcRjFlzgg4q2mg;Maracanaú/CE;Igreja Batista El Betel Acaracuzinho;Rua 7, 351 - Alto Alegre I, Maracanaú;False;OPERATIONAL;-3.8509274;-38.6193922;"[""segunda-feira: Fechado"", ""terça-feira: Fechado"", ""quarta-feira: 19:30 – 22:00"", ""quinta-feira: Fechado"", ""sexta-feira: 19:30 – 22:00"", ""sábado: Fechado"", ""domingo: 18:30 – 20:30""]";"[""church"", ""place_of_worship"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -3.849595919708498, 'lng': -38.6180090697085}, 'southwest': {'lat': -3.852293880291502, 'lng': -38.6207070302915}}
ChIJQV2Lk8tTxwcRL8BHyeucCuY;Maracanaú/CE;Leocar;Rua 6, 311 - Lt Res Maracanau I, Maracanaú;True;OPERATIONAL;-3.8504897;-38.6197741;"[""segunda-feira: 07:30 – 17:30"", ""terça-feira: 07:30 – 17:30"", ""quarta-feira: 07:30 – 17:30"", ""quinta-feira: 07:30 – 17:30"", ""sexta-feira: 07:30 – 17:30"", ""sábado: 07:30 – 12:00"", ""domingo: Fechado""]";"[""car_repair"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -3.849123419708498, 'lng': -38.6184581697085}, 'southwest': {'lat': -3.851821380291502, 'lng': -38.6211561302915}}
