id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ9zIk2dc7jgcRYUMq9DRiACY;Teresina/PI;Cantinho do PET Spa & Hotel;Rua Doutor Francisco Almeida, 1548 - Ininga, Teresina;True;OPERATIONAL;-5.0525791;-42.785776;"[""segunda-feira: 07:30 – 18:30"", ""terça-feira: 07:30 – 18:30"", ""quarta-feira: 07:30 – 18:30"", ""quinta-feira: 07:30 – 18:30"", ""sexta-feira: 07:30 – 18:30"", ""sábado: 07:30 – 18:00"", ""domingo: Fechado""]";"[""pet_store"", ""point_of_interest"", ""store"", ""establishment""]";convention_center;{'northeast': {'lat': -5.051159469708497, 'lng': -42.78439736970849}, 'southwest': {'lat': -5.053857430291502, 'lng': -42.78709533029149}}
ChIJyRbmzNc7jgcRe_SWWNAIdHM;Teresina/PI;Parque Ambiental Nossa Senhora do Livramento;Rua Doutor Francisco Almeida - Ininga, Teresina;True;OPERATIONAL;-5.0529969;-42.7849609;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""park"", ""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -5.051545619708499, 'lng': -42.7835670697085}, 'southwest': {'lat': -5.054243580291502, 'lng': -42.7862650302915}}
ChIJt-Ywwtc7jgcR4ClHcWlKQSo;Teresina/PI;Condomínio Petit Sale;Rua Claudio Soares de Brito, 1652 - Ininga, Teresina;False;OPERATIONAL;-5.0522125;-42.7848619;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -5.050831219708497, 'lng': -42.7834987197085}, 'southwest': {'lat': -5.053529180291502, 'lng': -42.7861966802915}}
ChIJjaVA-i85jgcRTzQSSOLX1Ds;Teresina/PI;Taffit Culinária;Rua Doutor Francisco Almeida, 1521, Teresina;True;OPERATIONAL;-5.0522482;-42.7860574;"[""segunda-feira: 10:00 – 17:00"", ""terça-feira: 10:00 – 17:00"", ""quarta-feira: 10:00 – 17:00"", ""quinta-feira: 10:00 – 17:00"", ""sexta-feira: 10:00 – 17:00"", ""sábado: 10:00 – 17:00"", ""domingo: Fechado""]";"[""bakery"", ""food"", ""point_of_interest"", ""store"", ""establishment""]";convention_center;{'northeast': {'lat': -5.050911169708497, 'lng': -42.7847134197085}, 'southwest': {'lat': -5.053609130291502, 'lng': -42.7874113802915}}
ChIJDX4cMt05jgcRR4iI2ffORDk;Teresina/PI;Edifício José Eliasar Raposo;Rua Doutor Francisco Almeida, 1521 - Ininga, Teresina;False;OPERATIONAL;-5.052184400000001;-42.7861449;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -5.050828969708498, 'lng': -42.7848294197085}, 'southwest': {'lat': -5.053526930291503, 'lng': -42.78752738029149}}
ChIJNz5LFkM5jgcRmDTMB_KvS4k;Teresina/PI;Villa Bella Condomínio;Rua Dirce Oliveira, 3130 - Ininga, Teresina;False;OPERATIONAL;-5.0532983;-42.7862915;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -5.051907769708498, 'lng': -42.7849808697085}, 'southwest': {'lat': -5.054605730291502, 'lng': -42.7876788302915}}
ChIJX6C2hH05jgcR4c1yfC3OaJg;Teresina/PI;Rua Dirce Oliveira, 3130;Brazil;False;OPERATIONAL;-5.053256;-42.786349;"[""Não disponível""]";"[""transit_station"", ""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -5.051899319708498, 'lng': -42.7849966697085}, 'southwest': {'lat': -5.054597280291502, 'lng': -42.7876946302915}}
ChIJBWdHN9k7jgcRTAhBnp-xL_s;Teresina/PI;Ana Malta Academy/Amélia Charm;Rua Edvaldo Reinaldo, 2667 - Ininga, Teresina;False;OPERATIONAL;-5.0525123;-42.7843451;"[""segunda-feira: 08:30 – 12:00"", ""terça-feira: 08:30 – 12:00"", ""quarta-feira: 08:30 – 12:00"", ""quinta-feira: 08:30 – 12:00"", ""sexta-feira: 08:30 – 12:00"", ""sábado: 08:30 – 12:00"", ""domingo: Fechado""]";"[""beauty_salon"", ""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -5.051170569708497, 'lng': -42.7829660697085}, 'southwest': {'lat': -5.053868530291502, 'lng': -42.7856640302915}}
ChIJnfOjnH05jgcRA4-lGrwb_iU;Teresina/PI;Rua Dirce Oliveira, 3130;Brazil;False;OPERATIONAL;-5.053180999999999;-42.786427;"[""Não disponível""]";"[""transit_station"", ""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -5.051838169708498, 'lng': -42.7850444197085}, 'southwest': {'lat': -5.054536130291503, 'lng': -42.78774238029149}}
ChIJAcSes485jgcRocJQBBSGDBA;Teresina/PI;Espaço Marrara Monteiro;Rua Edvaldo Reinaldo, 3175 - Ininga, Teresina;True;OPERATIONAL;-5.053732299999999;-42.7846369;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 19:00"", ""quarta-feira: 09:00 – 19:00"", ""quinta-feira: 09:00 – 19:00"", ""sexta-feira: 09:00 – 19:00"", ""sábado: 09:00 – 19:00"", ""domingo: Fechado""]";"[""beauty_salon"", ""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -5.052382819708497, 'lng': -42.7832900197085}, 'southwest': {'lat': -5.055080780291502, 'lng': -42.7859879802915}}
