id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJGygcEwMAswcRT9yIAPPWBUU;Natal/RN;Essencial;Rua Almirante Nelson Fernandes, 789 - Barro Vermelho, Natal;True;OPERATIONAL;-5.801941800000001;-35.20568309999999;"[""segunda-feira: 07:30 – 17:30"", ""terça-feira: 07:30 – 17:30"", ""quarta-feira: 07:30 – 17:30"", ""quinta-feira: 07:30 – 17:30"", ""sexta-feira: 07:30 – 17:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -5.800731419708497, 'lng': -35.20438881970851}, 'southwest': {'lat': -5.803429380291502, 'lng': -35.2070867802915}}
ChIJqWxT_UMBswcR9Jkuk-Gx5-Y;Natal/RN;Adailton Marques Pet Style;Rua Almirante Nelson Fernandes, 787 - Barro Vermelho, Natal;True;OPERATIONAL;-5.802021000000001;-35.2058006;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 16:00"", ""domingo: Fechado""]";"[""pet_store"", ""store"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -5.800756419708498, 'lng': -35.2044849197085}, 'southwest': {'lat': -5.803454380291503, 'lng': -35.2071828802915}}
ChIJ2zkOZgMAswcRnfa0AKSErsg;Natal/RN;Ed. Bellavista Tirol;Rua Desembargador Virgílio Dantas, 740 - Barro Vermelho, Natal;False;OPERATIONAL;-5.8014524;-35.205551;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -5.800044419708497, 'lng': -35.20417896970851}, 'southwest': {'lat': -5.802742380291502, 'lng': -35.20687693029151}}
ChIJzRry_z4BswcRaKU114XFgyg;Natal/RN;Residencial bougainville;Rua Almirante Nelson Fernandes, 785 - Barro Vermelho, Natal;False;OPERATIONAL;-5.8019901;-35.2059248;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -5.800798269708498, 'lng': -35.2044203197085}, 'southwest': {'lat': -5.803496230291502, 'lng': -35.2071182802915}}
ChIJvzeaX_mrswcR0cHUBlOWnP8;Natal/RN;Ô Cabido;Rua Desembargador Virgílio Dantas, 776 - Barro Vermelho, Natal;True;OPERATIONAL;-5.8015431;-35.20532010000001;"[""segunda-feira: 14:00 – 22:00"", ""terça-feira: 07:00 – 21:00"", ""quarta-feira: 07:00 – 21:00"", ""quinta-feira: 07:00 – 21:00"", ""sexta-feira: 07:00 – 21:00"", ""sábado: 07:00 – 21:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -5.800134669708498, 'lng': -35.20394781970851}, 'southwest': {'lat': -5.802832630291502, 'lng': -35.2066457802915}}
ChIJZ75vOwMAswcRwnTsRJPFRgg;Natal/RN;Rua Almirante Nelson Fernandes número 797 bairro vermelho Natal RN Brasil;Rua Almirante Nelson Fernandes, 797 - Barro Vermelho, Natal;False;OPERATIONAL;-5.802236300000001;-35.20540640000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -5.800944919708498, 'lng': -35.20408066970851}, 'southwest': {'lat': -5.803642880291503, 'lng': -35.20677863029151}}
ChIJt-puFgMAswcRvDWm4cH8ziI;Natal/RN;New Generation Canadian Bilingual School- Escola Bilíngue Canadense;Rua Almirante Nelson Fernandes, 805 - Barro Vermelho, Natal;True;OPERATIONAL;-5.8021878;-35.20530279999999;"[""segunda-feira: 07:00 – 18:00"", ""terça-feira: 07:00 – 18:00"", ""quarta-feira: 07:00 – 18:00"", ""quinta-feira: 07:00 – 18:00"", ""sexta-feira: 07:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -5.800934319708498, 'lng': -35.2039944697085}, 'southwest': {'lat': -5.803632280291502, 'lng': -35.2066924302915}}
ChIJee3HaBQAswcRKxU_b-bbPks;Natal/RN;Posture;Rua Almirante Nelson Fernandes, 746 - Barro Vermelho, Natal;True;OPERATIONAL;-5.8021612;-35.2059405;"[""segunda-feira: 06:00 – 19:00"", ""terça-feira: 06:00 – 19:00"", ""quarta-feira: 06:00 – 19:00"", ""quinta-feira: 06:00 – 19:00"", ""sexta-feira: 06:00 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""gym"", ""health"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -5.800812219708498, 'lng': -35.20459151970849}, 'southwest': {'lat': -5.803510180291502, 'lng': -35.20728948029149}}
ChIJHzz4xbD_sgcRLUvq_MB_nhc;Natal/RN;Solus - Condomínios e Terceirização;Rua Desembargador Virgílio Dantas, 140 - Barro Vermelho, Natal;True;OPERATIONAL;-5.801605800000001;-35.2050995;"[""segunda-feira: 08:00 – 12:00, 13:00 – 17:30"", ""terça-feira: 08:00 – 12:00, 13:00 – 17:30"", ""quarta-feira: 08:00 – 12:00, 13:00 – 17:30"", ""quinta-feira: 08:00 – 12:00, 13:00 – 17:30"", ""sexta-feira: 08:00 – 12:00, 13:00 – 17:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -5.800207319708497, 'lng': -35.2037310697085}, 'southwest': {'lat': -5.802905280291502, 'lng': -35.2064290302915}}
ChIJl0NTMtcBswcRgWT-2iWRmyI;Natal/RN;Safebras Natal;Rua Desembargador Virgílio Dantas, 140 - Barro Vermelho, Natal;True;OPERATIONAL;-5.801605800000001;-35.2050995;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -5.800207719708498, 'lng': -35.2037299697085}, 'southwest': {'lat': -5.802905680291502, 'lng': -35.2064279302915}}
