id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJhR17WB0ZqwcRqLJl4gB7cYo;Recife/PE;Gabinete Médico Da ZENITH JIU JITSU;Rua Conde de Irajá, 330 - Torre, Recife;False;OPERATIONAL;-8.0455645;-34.9066752;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.044400419708497, 'lng': -34.9052986197085}, 'southwest': {'lat': -8.047098380291501, 'lng': -34.9079965802915}}
ChIJVVVhSB0ZqwcRBz8FY53ahtk;Recife/PE;ARTMED HOSPITALAR;Rua Benjamin Constant, 132 - Torre, Recife;False;OPERATIONAL;-8.045544099999997;-34.9077791;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.044155619708496, 'lng': -34.9064357197085}, 'southwest': {'lat': -8.0468535802915, 'lng': -34.9091336802915}}
ChIJ18GHSS4ZqwcRMyP3Foal0NM;Recife/PE;Hapvida - Hospital;Avenida Rui Barbosa, Recife;False;OPERATIONAL;-8.043942699999999;-34.9022117;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.042586769708498, 'lng': -34.9008275697085}, 'southwest': {'lat': -8.045284730291502, 'lng': -34.9035255302915}}
ChIJh65FIAAZqwcRkLNuqcJ_e-U;Recife/PE;Instituto Autoimune;Avenida Rui Barbosa, 715 - Sala 1301 - Graças, Recife;False;OPERATIONAL;-8.0469786;-34.9011592;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.045555969708497, 'lng': -34.8997566697085}, 'southwest': {'lat': -8.048253930291501, 'lng': -34.9024546302915}}
ChIJu8h8nuQYqwcRKEHdM-wnrj0;Recife/PE;PLUS SORRISO;Avenida Rui Barbosa, 715 - Graças, Recife;False;OPERATIONAL;-8.0470203;-34.9011611;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.045583519708497, 'lng': -34.8997482697085}, 'southwest': {'lat': -8.0482814802915, 'lng': -34.90244623029149}}
ChIJrSVrUc4YqwcRG9vKC0zr-_I;Recife/PE;Allergo Centro;Rua Cardeal Arcoverde, 308 - Graças, Recife;True;OPERATIONAL;-8.049292399999999;-34.9010547;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.047989169708497, 'lng': -34.8996269697085}, 'southwest': {'lat': -8.050687130291502, 'lng': -34.9023249302915}}
ChIJt0N-2R0ZqwcR10hSgYK18eY;Recife/PE;Hospital Veterinário VITA 24h - Madalena;Rua Real da Torre, 868 - Madalena, Recife;True;OPERATIONAL;-8.0493458;-34.9083383;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""pet_store"", ""veterinary_care"", ""doctor"", ""hospital"", ""health"", ""point_of_interest"", ""store"", ""establishment""]";hospital;{'northeast': {'lat': -8.048027719708498, 'lng': -34.9070782197085}, 'southwest': {'lat': -8.050725680291503, 'lng': -34.90977618029149}}
ChIJ_z4kK3MZqwcRB3nogX971dQ;Recife/PE;Dr. Guilherme Tenório;Rua das Pernambucanas, 407 - Sala 809 - Graças, Recife;True;OPERATIONAL;-8.0510715;-34.90267290000001;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.0495468197085, 'lng': -34.9013083697085}, 'southwest': {'lat': -8.052244780291502, 'lng': -34.9040063302915}}
ChIJ__-_a-EYqwcRL8_o21pRvgI;Recife/PE;Neuro e Mente;Rua das Pernambucanas, 407 - Graças, Recife;False;OPERATIONAL;-8.0510715;-34.90267290000001;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.0495468197085, 'lng': -34.9013083697085}, 'southwest': {'lat': -8.052244780291502, 'lng': -34.9040063302915}}
ChIJpWAwKB4ZqwcRF9kgD3O2wzs;Recife/PE;Serviços De Imagens Radiograficas Do Recife;Madalena, Recife;False;OPERATIONAL;-8.051552299999999;-34.90655529999999;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.050209319708497, 'lng': -34.9052072197085}, 'southwest': {'lat': -8.052907280291501, 'lng': -34.9079051802915}}
ChIJXzZNM4QZqwcRBJZE_2ZRYJQ;Recife/PE;assis diagnostico;Rua das Pernambucanas - Graças, Recife;False;OPERATIONAL;-8.050960800000002;-34.9014503;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.0495507197085, 'lng': -34.9000957697085}, 'southwest': {'lat': -8.052248680291505, 'lng': -34.9027937302915}}
ChIJV4KvQjAZqwcRzdA2q7tabg8;Recife/PE;Six;Rua Guilherme Pinto, 100 - Graças, Recife;False;OPERATIONAL;-8.051491799999999;-34.90224079999999;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.050159819708497, 'lng': -34.9008007697085}, 'southwest': {'lat': -8.052857780291502, 'lng': -34.9034987302915}}
ChIJXTX6CvsYqwcRBPkURciKfxY;Recife/PE;Centro Médico Quali Viva;Rua Senador Alberto Paiva, 299 - Graças, Recife;True;OPERATIONAL;-8.043619699999999;-34.8994175;"[""segunda-feira: 07:30 – 17:30"", ""terça-feira: 07:30 – 17:30"", ""quarta-feira: 07:30 – 17:30"", ""quinta-feira: 07:30 – 17:30"", ""sexta-feira: 07:30 – 16:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.042391619708498, 'lng': -34.8980630197085}, 'southwest': {'lat': -8.045089580291503, 'lng': -34.9007609802915}}
