id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJYXR2JY4YqwcRc8GFbql5Hrk;Recife/PE;Praia Sul;Avenida Cruz Cabugá, 245 - Santo Amaro, Recife;False;CLOSED_TEMPORARILY;-8.047562199999998;-34.87696429999999;"[""Não disponível""]";"[""lodging"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.046211919708497, 'lng': -34.8756169697085}, 'southwest': {'lat': -8.048909880291502, 'lng': -34.87831493029149}}
ChIJYXR2JY4YqwcRyY93I4LRoFQ;Recife/PE;Vila da sudene imbura;Avenida Cruz Cabugá, 245 - Santo Amaro, Recife;True;OPERATIONAL;-8.047562199999998;-34.87696429999999;"[""segunda-feira: 08:30 – 17:00"", ""terça-feira: 08:30 – 17:00"", ""quarta-feira: 08:30 – 17:00"", ""quinta-feira: 08:30 – 17:00"", ""sexta-feira: 08:30 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""local_government_office"", ""finance"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.046211919708497, 'lng': -34.8756169697085}, 'southwest': {'lat': -8.048909880291502, 'lng': -34.87831493029149}}
ChIJc0NxJY4YqwcRKm6aH_9oS5E;Recife/PE;Agregadora Everest Eletricidade;Rua Switch Recife Sn - s/n;False;OPERATIONAL;-8.047562199999998;-34.87696429999999;"[""Não disponível""]";"[""point_of_interest"", ""store"", ""establishment""]";hotel;{'northeast': {'lat': -8.046211919708497, 'lng': -34.8756169697085}, 'southwest': {'lat': -8.048909880291502, 'lng': -34.87831493029149}}
ChIJc0NxJY4YqwcRiXRrF5-HarA;Recife/PE;Policlínica Gouveia de Barros;pto de Santa Cruz - s/n;False;OPERATIONAL;-8.047562199999998;-34.87696429999999;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.046211919708497, 'lng': -34.8756169697085}, 'southwest': {'lat': -8.048909880291502, 'lng': -34.87831493029149}}
ChIJxVfRrWYZqwcR7frWE-o5ZFs;Recife/PE;Aline Silva;Brazil;False;OPERATIONAL;-8.047562199999998;-34.87696429999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.046211919708497, 'lng': -34.8756169697085}, 'southwest': {'lat': -8.048909880291502, 'lng': -34.87831493029149}}
ChIJc0NxJY4YqwcRpiYenIMaokk;Recife/PE;Agência de Desenvolvimento do Nordeste;Praca Ministro João Gonçalves Souza - s/n 3 And S/3N014 N, Recife;False;OPERATIONAL;-8.047545799999998;-34.87696210000001;"[""Não disponível""]";"[""general_contractor"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.046199069708498, 'lng': -34.87560886970851}, 'southwest': {'lat': -8.048897030291503, 'lng': -34.87830683029151}}
ChIJc0NxJY4YqwcRTeyjiPXTGK8;Recife/PE;Agre Rodoviário Pigatto;Rua Switch Recife Sn - s/n, Recife;False;OPERATIONAL;-8.047545799999998;-34.87696210000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.046199069708498, 'lng': -34.87560886970851}, 'southwest': {'lat': -8.048897030291503, 'lng': -34.87830683029151}}
ChIJc0NxJY4YqwcR6PGZAcjVr88;Recife/PE;ON Line Prestadora de Servios;"Rua Barão Souza Leão - s/n Ed Joao Paulo I;sl 0, Recife";False;OPERATIONAL;-8.047545799999998;-34.87696210000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.046199069708498, 'lng': -34.87560886970851}, 'southwest': {'lat': -8.048897030291503, 'lng': -34.87830683029151}}
ChIJjSISOI8YqwcRyUFaXns76m8;Recife/PE;Military Area;Avenida Cruz Cabugá, 245 - Santo Amaro, Recife;False;OPERATIONAL;-8.0478666;-34.87692000000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.0464481697085, 'lng': -34.87551581970851}, 'southwest': {'lat': -8.049146130291504, 'lng': -34.87821378029151}}
ChIJP2uQOo4YqwcRJ69thWp1vi4;Recife/PE;ALIANÇA ESPORTES;Brazil;False;OPERATIONAL;-8.047321;-34.8769483;"[""Não disponível""]";"[""point_of_interest"", ""store"", ""establishment""]";hotel;{'northeast': {'lat': -8.045993719708498, 'lng': -34.87556426970851}, 'southwest': {'lat': -8.048691680291503, 'lng': -34.8782622302915}}
ChIJA9hafz4ZqwcR-AiknDhGGcU;Recife/PE;Wl mototecnica;Avenida Cruz Cabugá, 851 - Santo Amaro, Recife;True;OPERATIONAL;-8.0473009;-34.8770348;"[""segunda-feira: 07:30 – 17:30"", ""terça-feira: 07:30 – 17:30"", ""quarta-feira: 07:30 – 17:30"", ""quinta-feira: 07:30 – 17:30"", ""sexta-feira: 07:30 – 17:30"", ""sábado: 07:30 – 16:00"", ""domingo: Fechado""]";"[""car_repair"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.045995719708497, 'lng': -34.8756150697085}, 'southwest': {'lat': -8.0486936802915, 'lng': -34.87831303029149}}
