id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJVYQReW1TxwcRZXQkYjeFlPY;Maracanaú/CE;Filme;Avenida Yolanda Pontes Vidal Queiroz, 251 - Jereissati I, Maracanaú;False;OPERATIONAL;-3.8722715;-38.61396989999999;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -3.870977269708498, 'lng': -38.6126391697085}, 'southwest': {'lat': -3.873675230291502, 'lng': -38.6153371302915}}
ChIJ7cWtFMlVxwcRUPF7WQz3KeM;Maracanaú/CE;Hydra Studios;Rua 35, 170 - Conjunto Jereissati 3, Pacatuba;False;OPERATIONAL;-3.8939066;-38.6120484;"[""segunda-feira: 13:30 – 19:30"", ""terça-feira: 13:30 – 19:30"", ""quarta-feira: 13:30 – 19:30"", ""quinta-feira: 13:30 – 19:30"", ""sexta-feira: 13:30 – 19:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""movie_theater"", ""store"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -3.892517119708498, 'lng': -38.61068691970851}, 'southwest': {'lat': -3.895215080291503, 'lng': -38.6133848802915}}
ChIJKQVeUHxNxwcRaBAyrgHG7AQ;Maracanaú/CE;JCine Home;Rua Turquesa - Siqueira, Fortaleza;False;OPERATIONAL;-3.8111807;-38.6252778;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -3.809957519708497, 'lng': -38.6240238697085}, 'southwest': {'lat': -3.812655480291502, 'lng': -38.62672183029149}}
ChIJX8aYsqSzwAcRrT-jAEtTskU;Maracanaú/CE;Chácara Pereira;Caucaia;False;OPERATIONAL;-3.8171561;-38.6679515;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -3.815859069708498, 'lng': -38.6665466697085}, 'southwest': {'lat': -3.818557030291502, 'lng': -38.6692446302915}}
ChIJ6_t7uwKrwAcRpDVgKUsIKyQ;Maracanaú/CE;GRUPO CINE CINEMAS MARANGUAPE;Centro, Maranguape;False;OPERATIONAL;-3.8944011;-38.68429130000001;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -3.892965769708497, 'lng': -38.68294656970851}, 'southwest': {'lat': -3.895663730291501, 'lng': -38.6856445302915}}
ChIJAQDwO4ROxwcRKD8TTOdwXrM;Maracanaú/CE;Curta O Gênero;Rua Carlos Juaçaba, 1133 - Zone 1 - Rachel de Queiroz, Fortaleza;False;OPERATIONAL;-3.7927156;-38.5621098;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -3.791327119708498, 'lng': -38.5608647197085}, 'southwest': {'lat': -3.794025080291502, 'lng': -38.5635626802915}}
ChIJJ81Qg-9NxwcRKrYKaA7p9yw;Maracanaú/CE;Oficina;Avenida General Osório de Paiva - Parangaba, Fortaleza;False;OPERATIONAL;-3.7673793;-38.6308869;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -3.766036869708497, 'lng': -38.6295288697085}, 'southwest': {'lat': -3.768734830291502, 'lng': -38.63222683029149}}
ChIJc0zalgJPxwcRx76eqVUs160;Maracanaú/CE;Sala 3 X-Plus;Rua Germano Franck - Parangaba, Fortaleza;False;OPERATIONAL;-3.775759399999999;-38.5620198;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -3.774683169708497, 'lng': -38.5607469697085}, 'southwest': {'lat': -3.777381130291502, 'lng': -38.5634449302915}}
ChIJsSzaTaROxwcRufOCTKe5nMs;Maracanaú/CE;UCI Cinemas;Rua Germano Franck, 300 - loja 517 - Parangaba, Fortaleza;False;OPERATIONAL;-3.7751137;-38.5618947;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -3.774378519708498, 'lng': -38.5605993197085}, 'southwest': {'lat': -3.777076480291503, 'lng': -38.5632972802915}}
ChIJcUsCUgdMxwcRUfMstokgOBM;Maracanaú/CE;Cinépolis North Shopping Jóquei;North Shopping Jóquei, Avenida Lineu Machado, 419 - Jóquei Clube, Fortaleza;True;OPERATIONAL;-3.7652778;-38.5744444;"[""segunda-feira: 10:00 – 22:00"", ""terça-feira: 10:00 – 22:00"", ""quarta-feira: 10:00 – 22:00"", ""quinta-feira: 10:00 – 22:00"", ""sexta-feira: 10:00 – 22:00"", ""sábado: 10:00 – 22:00"", ""domingo: 13:00 – 22:00""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -3.763783869708498, 'lng': -38.5733349697085}, 'southwest': {'lat': -3.766481830291502, 'lng': -38.5760329302915}}
