id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJDWo36XlXsgcRrMWtqfba814;Parnamirim/RN;Centro Cultural Trampolim da Vitória;Aeroporto Augusto Severo - Unnamed Road - Centro, Parnamirim;True;OPERATIONAL;-5.8990382;-35.2486773;"[""segunda-feira: 09:00 – 16:00"", ""terça-feira: 09:00 – 16:00"", ""quarta-feira: 09:00 – 16:00"", ""quinta-feira: 09:00 – 16:00"", ""sexta-feira: 09:00 – 16:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -5.897676569708498, 'lng': -35.2473111697085}, 'southwest': {'lat': -5.900374530291502, 'lng': -35.2500091302915}}
ChIJuQT5pdZRsgcRyNwL3FqgHkE;Parnamirim/RN;RANCHO GRACIANO;Rua José Mafra, Macaíba;False;OPERATIONAL;-5.887087499999999;-35.3238443;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Fechado"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -5.885762069708496, 'lng': -35.32251631970851}, 'southwest': {'lat': -5.888460030291501, 'lng': -35.3252142802915}}
ChIJPSI2JNj3sgcRlv8pUjFhJDo;Parnamirim/RN;PORTAL;RN-313, Nísia Floresta;False;OPERATIONAL;-5.951102499999999;-35.1772349;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -5.949755569708498, 'lng': -35.1758871197085}, 'southwest': {'lat': -5.952453530291502, 'lng': -35.1785850802915}}
ChIJyZsFNnf5sgcROzMztV5Zjuk;Parnamirim/RN;Esconderijo ELFO;Avenida Estrela do Mar, 2287 - Ponta Negra, Natal;False;CLOSED_TEMPORARILY;-5.8828594;-35.18056230000001;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -5.881462319708497, 'lng': -35.17927476970851}, 'southwest': {'lat': -5.884160280291502, 'lng': -35.18197273029151}}
ChIJ-x03UTZfsgcRbwL5peNBhgs;Parnamirim/RN;Museu do Vaqueiro;RN;False;OPERATIONAL;-6.0217336;-35.2391957;"[""segunda-feira: Fechado"", ""terça-feira: Fechado"", ""quarta-feira: Fechado"", ""quinta-feira: 09:00 – 16:00"", ""sexta-feira: 09:00 – 16:00"", ""sábado: 09:00 – 16:00"", ""domingo: 09:00 – 16:00""]";"[""museum"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -6.020781569708497, 'lng': -35.2379931697085}, 'southwest': {'lat': -6.023479530291501, 'lng': -35.24069113029149}}
ChIJGYdimJ3_sgcR2ib9ARpJ6J0;Parnamirim/RN;Museu Anatomia;Lagoa Nova, Natal;False;OPERATIONAL;-5.840119899999999;-35.2005807;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -5.838772369708498, 'lng': -35.1992155697085}, 'southwest': {'lat': -5.841470330291503, 'lng': -35.2019135302915}}
ChIJP0otCoxTsgcR26jlBf8exf0;Parnamirim/RN;Campo da Santa Cruz;Campo da Santa Cruz;False;OPERATIONAL;-5.8506442;-35.3542839;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -5.849306369708498, 'lng': -35.3529489697085}, 'southwest': {'lat': -5.852004330291503, 'lng': -35.3556469302915}}
ChIJxSs43ff_sgcR7GdiD_30L4Y;Parnamirim/RN;Praça Gizela Mousinho;Rua Honório Ribeiro Dantas, 72-120 - Lagoa Nova, Natal;False;OPERATIONAL;-5.814756900000001;-35.2142038;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -5.813470669708499, 'lng': -35.2128820197085}, 'southwest': {'lat': -5.816168630291504, 'lng': -35.2155799802915}}
ChIJd0BLCBRTsgcRI4o1cOb6l1o;Parnamirim/RN;Estátua no Trevo;RN-160, São Gonçalo do Amarante;False;OPERATIONAL;-5.818536;-35.329312;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -5.817166119708499, 'lng': -35.3280092197085}, 'southwest': {'lat': -5.819864080291502, 'lng': -35.3307071802915}}
ChIJfSYDL_v_sgcRgS0UZkgDSGA;Parnamirim/RN;Museu de Minérios do RN;Avenida Senador Salgado Filho - Tirol, Natal;True;OPERATIONAL;-5.8116731;-35.2043716;"[""segunda-feira: 08:00 – 12:00, 13:00 – 17:00"", ""terça-feira: 08:00 – 12:00, 13:00 – 17:00"", ""quarta-feira: 08:00 – 12:00, 13:00 – 17:00"", ""quinta-feira: 08:00 – 12:00, 13:00 – 17:00"", ""sexta-feira: 08:00 – 12:00, 13:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""museum"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -5.810297069708497, 'lng': -35.2030981697085}, 'southwest': {'lat': -5.812995030291502, 'lng': -35.2057961302915}}
