id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJV4RzszE5jgcR3v5UjvmEzJ0;Teresina/PI;Quiosque do Lugui;Rua Professor Joca Vieira, 1401 - Fátima, Teresina;False;OPERATIONAL;-5.068828799999999;-42.7881873;"[""segunda-feira: Fechado"", ""terça-feira: 18:00 – 01:00"", ""quarta-feira: 18:00 – 01:00"", ""quinta-feira: 18:00 – 01:00"", ""sexta-feira: 15:00 – 02:00"", ""sábado: 15:00 – 02:00"", ""domingo: 15:00 – 22:00""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -5.067459769708498, 'lng': -42.7867590697085}, 'southwest': {'lat': -5.070157730291503, 'lng': -42.7894570302915}}
ChIJJe2pOAA5jgcRrKkEE3RPQDk;Teresina/PI;Restaurante Churrascasa - Churrascaria e pizzaria;Rua Hugo Napoleão, 1931 - Jóquei, Teresina;True;OPERATIONAL;-5.068420499999999;-42.7872596;"[""segunda-feira: 10:30 – 23:00"", ""terça-feira: 10:30 – 23:00"", ""quarta-feira: 10:30 – 23:00"", ""quinta-feira: 10:30 – 23:00"", ""sexta-feira: 10:30 – 23:00"", ""sábado: 10:30 – 23:00"", ""domingo: 10:30 – 23:00""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -5.067065769708499, 'lng': -42.7858854197085}, 'southwest': {'lat': -5.069763730291504, 'lng': -42.7885833802915}}
ChIJzVj3WlI5jgcR1CbmNvpRQJo;Teresina/PI;Vasto Teresina;Rua Professor Joca Vieira, 1269 - Jóquei, Teresina;True;OPERATIONAL;-5.069373199999998;-42.78816039999999;"[""segunda-feira: 11:30 – 00:00"", ""terça-feira: 11:30 – 00:00"", ""quarta-feira: 11:30 – 00:00"", ""quinta-feira: 11:30 – 00:00"", ""sexta-feira: 11:30 – 01:00"", ""sábado: 11:30 – 01:00"", ""domingo: 11:30 – 00:00""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -5.067989469708496, 'lng': -42.78667841970849}, 'southwest': {'lat': -5.070687430291501, 'lng': -42.78937638029149}}
ChIJw5y9WcI5jgcRJebh_jZ5X0g;Teresina/PI;We All;Avenida Lindolfo Monteiro, 1380 - Horto, Teresina;True;OPERATIONAL;-5.0676662;-42.7894544;"[""segunda-feira: 18:00 – 00:00"", ""terça-feira: 18:00 – 00:00"", ""quarta-feira: 12:00 – 15:00, 18:00 – 00:00"", ""quinta-feira: 12:00 – 15:00, 18:00 – 00:00"", ""sexta-feira: 12:00 – 01:00"", ""sábado: 12:00 – 01:00"", ""domingo: 12:00 – 15:00""]";"[""restaurant"", ""bar"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -5.066258919708498, 'lng': -42.7881031197085}, 'southwest': {'lat': -5.068956880291503, 'lng': -42.79080108029149}}
ChIJL1DNJ4o5jgcRP6GgLS6KqBM;Teresina/PI;Coco Bambu Teresina;Rua Professor Joca Vieira, 1227 - Fátima, Teresina;True;OPERATIONAL;-5.0697594;-42.7879956;"[""segunda-feira: 11:30 – 00:00"", ""terça-feira: 11:30 – 00:00"", ""quarta-feira: 11:30 – 00:00"", ""quinta-feira: 11:30 – 00:00"", ""sexta-feira: 11:30 – 00:00"", ""sábado: 11:30 – 00:00"", ""domingo: 11:30 – 00:00""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -5.068504319708497, 'lng': -42.78654581970849}, 'southwest': {'lat': -5.071202280291502, 'lng': -42.78924378029149}}
ChIJc-G2ims5jgcRhnN1mq0MBc0;Teresina/PI;Restaurante Anisan;Avenida Rio Poti, 1341 - Fátima, Teresina;False;OPERATIONAL;-5.068673499999999;-42.789795;"[""segunda-feira: Fechado"", ""terça-feira: 18:00 – 23:00"", ""quarta-feira: 18:00 – 23:00"", ""quinta-feira: 18:00 – 23:00"", ""sexta-feira: 12:00 – 15:00, 18:00 – 00:00"", ""sábado: 12:00 – 15:00, 18:00 – 00:00"", ""domingo: 12:00 – 15:00, 18:00 – 22:00""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -5.067355419708497, 'lng': -42.7885635197085}, 'southwest': {'lat': -5.070053380291501, 'lng': -42.7912614802915}}
ChIJ9dj6Ex85jgcRsH4e2PPmOPs;Teresina/PI;SnackLab;Avenida Dom Severino, 1440 - Fátima, Teresina;True;OPERATIONAL;-5.0701828;-42.78829390000001;"[""segunda-feira: 07:00 – 22:00"", ""terça-feira: 07:00 – 22:00"", ""quarta-feira: 07:00 – 22:00"", ""quinta-feira: 07:00 – 22:00"", ""sexta-feira: 07:00 – 22:00"", ""sábado: 07:00 – 22:00"", ""domingo: Fechado""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -5.068786869708498, 'lng': -42.7869435197085}, 'southwest': {'lat': -5.071484830291503, 'lng': -42.7896414802915}}
ChIJbbiAm5I7jgcRFm7TxjftJgE;Teresina/PI;Doceria da Loris - Retirada em Teresina;Avenida Dom Severino, 1420 - A - Fátima, Teresina;True;OPERATIONAL;-5.070196699999999;-42.78839989999999;"[""segunda-feira: Fechado"", ""terça-feira: 11:00 – 19:00"", ""quarta-feira: 11:00 – 19:00"", ""quinta-feira: 11:00 – 19:00"", ""sexta-feira: 11:00 – 19:00"", ""sábado: 10:00 – 19:00"", ""domingo: 11:00 – 18:00""]";"[""meal_delivery"", ""bakery"", ""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment""]";restaurant;{'northeast': {'lat': -5.068792219708498, 'lng': -42.7870492197085}, 'southwest': {'lat': -5.071490180291502, 'lng': -42.7897471802915}}
ChIJ7VEum4k5jgcR8PZnDcB9S0o;Teresina/PI;KANA LANCHES;Avenida Dom Severino, 1492 - Horto, Teresina;False;OPERATIONAL;-5.0702013;-42.7877968;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -5.068803569708497, 'lng': -42.78644636970849}, 'southwest': {'lat': -5.071501530291502, 'lng': -42.78914433029149}}
ChIJtQ0Wm4k5jgcRXJjQAlXzq9c;Teresina/PI;Restaurante Prato Feito;Avenida Dom Severino, 1492 - Fátima, Teresina;True;OPERATIONAL;-5.0702013;-42.7877968;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 17:00"", ""domingo: Fechado""]";"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -5.068803569708497, 'lng': -42.78644636970849}, 'southwest': {'lat': -5.071501530291502, 'lng': -42.78914433029149}}
