id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ944etMcZqwcRZ4TBt9pyjS4;Recife/PE;Paroquia de santo antonio;Rua Melquisedeque de Lima, 210 - Torre, Recife;False;OPERATIONAL;-8.046366899999999;-34.9049825;"[""Não disponível""]";"[""church"", ""place_of_worship"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.044984419708499, 'lng': -34.9036373697085}, 'southwest': {'lat': -8.047682380291503, 'lng': -34.9063353302915}}
ChIJRTEvoSEZqwcRzuH9j2gMf_s;Recife/PE;Avenida Beira Rio, 855;Avenida Beira Rio, 855 - Torre, Recife;False;OPERATIONAL;-8.0463531;-34.9043978;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.044993719708497, 'lng': -34.90297046970851}, 'southwest': {'lat': -8.047691680291502, 'lng': -34.90566843029151}}
ChIJm-2ptK8ZqwcReOv1VXyiovg;Recife/PE;Parceira Ton;Avenida Beira Rio, 741 - Graças, Recife;False;OPERATIONAL;-8.0463829;-34.90440119999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.045023019708497, 'lng': -34.90297021970849}, 'southwest': {'lat': -8.047720980291501, 'lng': -34.90566818029149}}
ChIJG-xkfAAZqwcRBZwtHT1H0Cs;Recife/PE;Beira Rio;Avenida Beira Rio, 741 - Torre, Recife;False;OPERATIONAL;-8.0463829;-34.90440119999999;"[""Não disponível""]";"[""lodging"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.045023019708497, 'lng': -34.90297021970849}, 'southwest': {'lat': -8.047720980291501, 'lng': -34.90566818029149}}
ChIJNc2FQeAYqwcR7OMW7PAi8nk;Recife/PE;Edf. Residências da Beira Rio;Avenida Beira Rio, 855 - Torre, Recife;False;OPERATIONAL;-8.0463522;-34.9043906;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.044994619708497, 'lng': -34.90296671970849}, 'southwest': {'lat': -8.047692580291502, 'lng': -34.90566468029149}}
ChIJOZ15UgAZqwcRnkTFSTEaxJw;Recife/PE;Tradição Grill e Pizzaria Zona Norte;Avenida Beira Rio, 887 - Madalena, Recife;True;OPERATIONAL;-8.046131099999998;-34.90442959999999;"[""segunda-feira: 10:00 – 23:00"", ""terça-feira: 10:00 – 23:00"", ""quarta-feira: 10:00 – 23:00"", ""quinta-feira: 10:00 – 23:00"", ""sexta-feira: 10:00 – 23:00"", ""sábado: 10:00 – 23:00"", ""domingo: 10:00 – 23:00""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.0447683697085, 'lng': -34.9030045197085}, 'southwest': {'lat': -8.047466330291504, 'lng': -34.9057024802915}}
ChIJG39yVPUZqwcRHADJgXQDJtA;Recife/PE;Edifício Latouf Tauk;Avenida Beira Rio, 741 - Madalena, Recife;False;OPERATIONAL;-8.0465175;-34.9043798;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.045158969708499, 'lng': -34.9029502197085}, 'southwest': {'lat': -8.047856930291504, 'lng': -34.9056481802915}}
ChIJpSysHAYZqwcRvsNW2-K0SNU;Recife/PE;S&S Make Store;Rua Conde de Irajá, 163 - Torre, Recife;True;OPERATIONAL;-8.0459084;-34.9049735;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""store"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.044463469708496, 'lng': -34.9036379697085}, 'southwest': {'lat': -8.047161430291501, 'lng': -34.9063359302915}}
ChIJ3WmW5eIYqwcR-KMmY-uA3E0;Recife/PE;Condomínio do Edifício Adolpho Pereira Carneiro;Rua Padre Anchieta, 42 - Madalena, Recife;False;OPERATIONAL;-8.046746299999999;-34.9045145;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.045474669708499, 'lng': -34.9031542697085}, 'southwest': {'lat': -8.048172630291502, 'lng': -34.9058522302915}}
ChIJ7U2VyOIYqwcRNWcMoeBqf3U;Recife/PE;Exército de Salvação - Corpo/Igreja Torre - PE;Rua Conde de Irajá, 135 - Torre, Recife;False;OPERATIONAL;-8.0458679;-34.9049377;"[""Não disponível""]";"[""church"", ""place_of_worship"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.044440419708499, 'lng': -34.9035997197085}, 'southwest': {'lat': -8.047138380291504, 'lng': -34.9062976802915}}
ChIJxW6MUg4ZqwcRN4qDDyLPy-M;Recife/PE;Leandro MKT;Rua Padre Anchieta, 42 - apt 303 - Madalena, Recife;False;OPERATIONAL;-8.0467319;-34.9044291;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.045460919708496, 'lng': -34.9030681197085}, 'southwest': {'lat': -8.048158880291501, 'lng': -34.9057660802915}}
ChIJYaz8gksZqwcRhhrfZkMsBlc;Recife/PE;Vem Passea;Rua Padre Anchieta, 42 - Madalena, Recife;True;OPERATIONAL;-8.0467319;-34.9044291;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.045461019708497, 'lng': -34.9030687697085}, 'southwest': {'lat': -8.048158980291502, 'lng': -34.9057667302915}}
ChIJN9ZZ5uIYqwcRA92ys5uDCtA;Recife/PE;LFTUR;Rua Padre Anchieta, 42 - Madalena, Recife;True;OPERATIONAL;-8.0467319;-34.9044291;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""travel_agency"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.045461019708497, 'lng': -34.9030687697085}, 'southwest': {'lat': -8.048158980291502, 'lng': -34.9057667302915}}
ChIJ3WmW5eIYqwcRvfN5yUpIEfM;Recife/PE;Alô Cestas & Buquês 24 Horas;Rua Padre Anchieta, 42 - Torre, Recife;True;OPERATIONAL;-8.0467319;-34.9044291;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: 07:00 – 21:00"", ""domingo: 07:00 – 21:00""]";"[""store"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.045461019708497, 'lng': -34.9030687697085}, 'southwest': {'lat': -8.048158980291502, 'lng': -34.9057667302915}}
ChIJ9beQsOIYqwcRtRN_vnmDFEo;Recife/PE;Tradução Juramentada Espanhol;Rua Conde de Irajá, 163 - Torre, Recife;False;OPERATIONAL;-8.0459977;-34.90513809999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.044520069708499, 'lng': -34.9038071697085}, 'southwest': {'lat': -8.047218030291504, 'lng': -34.9065051302915}}
ChIJ7x_5OAAZqwcRKK3qEBRfHHo;Recife/PE;Caldinho Beira Rio da Laura;Avenida Beira Rio - Torre, Recife;False;OPERATIONAL;-8.046541999999999;-34.9042127;"[""segunda-feira: Fechado"", ""terça-feira: Fechado"", ""quarta-feira: Fechado"", ""quinta-feira: Fechado"", ""sexta-feira: Fechado"", ""sábado: 09:00 – 17:00"", ""domingo: 09:00 – 17:00""]";"[""bar"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.045197419708497, 'lng': -34.90289516970849}, 'southwest': {'lat': -8.047895380291502, 'lng': -34.90559313029149}}
ChIJ-6am0MAZqwcRUhQQupUbEf4;Recife/PE;MONTADOR DE MÓVEIS EM RECIFE;Avenida Beira Rio - Torre, Recife;True;OPERATIONAL;-8.046541999999999;-34.9042127;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.045197419708497, 'lng': -34.90289516970849}, 'southwest': {'lat': -8.047895380291502, 'lng': -34.90559313029149}}
ChIJSaQ82T4ZqwcRAdlVYTa_tbQ;Recife/PE;Click Compras Virtual;Rua Conde de Irajá, 163 - Torre, Recife;False;OPERATIONAL;-8.0459794;-34.90515059999999;"[""Não disponível""]";"[""store"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.044511569708497, 'lng': -34.9038183197085}, 'southwest': {'lat': -8.0472095302915, 'lng': -34.9065162802915}}
ChIJb-ZTKugZqwcRR3ye23aE-iY;Recife/PE;Edf. Tartana;Rua Conde de Irajá, 163 - Torre, Recife;False;OPERATIONAL;-8.0459794;-34.90515059999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.044511569708497, 'lng': -34.9038183197085}, 'southwest': {'lat': -8.0472095302915, 'lng': -34.9065162802915}}
ChIJI_0lKlwZqwcRZYiOzMOZJUg;Recife/PE;Pet Villa Torre;Rua Padre Anchieta, 186 - Torre, Recife;True;OPERATIONAL;-8.046866399999999;-34.9050576;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 17:00"", ""domingo: Fechado""]";"[""pharmacy"", ""veterinary_care"", ""pet_store"", ""store"", ""health"", ""food"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.045573219708498, 'lng': -34.9037003697085}, 'southwest': {'lat': -8.0482711802915, 'lng': -34.9063983302915}}
