id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJO3kriHvdrAcRnHOGldhYuM8;João Pessoa/PB;Colégio GGE - João Pessoa;Rua Orlando Soares de Oliveira, 36 - Miramar, João Pessoa;True;OPERATIONAL;-7.115589099999999;-34.833585;"[""segunda-feira: 07:00 – 17:00"", ""terça-feira: 07:00 – 17:00"", ""quarta-feira: 07:00 – 17:00"", ""quinta-feira: 07:00 – 17:00"", ""sexta-feira: 07:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -7.114170319708498, 'lng': -34.83209266970849}, 'southwest': {'lat': -7.116868280291502, 'lng': -34.83479063029149}}
ChIJGxR3aaDdrAcRQagA_P1xBRk;João Pessoa/PB;Colégio Batista Brasil João Pessoa;Do Maternal ao Ensino Médio - Avenida Senador Ruy Carneiro, 1225 - Brisamar, João Pessoa;True;OPERATIONAL;-7.114344300000001;-34.8336315;"[""segunda-feira: 08:00 – 17:30"", ""terça-feira: 08:00 – 17:30"", ""quarta-feira: 08:00 – 17:30"", ""quinta-feira: 08:00 – 17:30"", ""sexta-feira: 08:00 – 17:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""primary_school"", ""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -7.112960419708499, 'lng': -34.8321925697085}, 'southwest': {'lat': -7.115658380291503, 'lng': -34.8348905302915}}
ChIJ0QLudzvdrAcRivZ5BSmn3k4;João Pessoa/PB;Coruja Escola - Berçário, Educação Infantil e Fundamental - Especialista em Primeira Infância - Manaíra;460, Avenida Maria Rosa, 82 - Manaíra, João Pessoa;True;OPERATIONAL;-7.113099;-34.8317279;"[""segunda-feira: 07:00 – 19:00"", ""terça-feira: 07:00 – 19:00"", ""quarta-feira: 07:00 – 19:00"", ""quinta-feira: 07:00 – 19:00"", ""sexta-feira: 07:00 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -7.111796769708498, 'lng': -34.8304774197085}, 'southwest': {'lat': -7.114494730291502, 'lng': -34.8331753802915}}
ChIJ6aIhQ6TdrAcRJyqJxDExF54;João Pessoa/PB;Transporte Escolar- Valter Verde;Rua Professor Juvenal Coelho, 100 - Brisamar, João Pessoa;True;OPERATIONAL;-7.113954;-34.8364526;"[""segunda-feira: 06:00 – 23:00"", ""terça-feira: 06:00 – 23:00"", ""quarta-feira: 06:00 – 23:00"", ""quinta-feira: 06:00 – 23:00"", ""sexta-feira: 06:00 – 23:00"", ""sábado: 09:00 – 23:00"", ""domingo: 09:00 – 23:00""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -7.112536519708498, 'lng': -34.8350914197085}, 'southwest': {'lat': -7.115234480291503, 'lng': -34.8377893802915}}
ChIJhwyBwezdrAcRi_VYMuuezBE;João Pessoa/PB;Curso De Bordado Ateliê Bordando7;Rua Giácomo Pôrto, 92 - Miramar, João Pessoa;True;OPERATIONAL;-7.116845599999999;-34.8365655;"[""segunda-feira: 08:30 – 11:30, 14:00 – 17:00"", ""terça-feira: 08:30 – 11:30, 14:00 – 17:00, 18:00 – 21:00"", ""quarta-feira: 08:30 – 11:30, 14:00 – 17:00"", ""quinta-feira: 08:30 – 11:30, 14:00 – 17:00"", ""sexta-feira: 08:30 – 11:30, 14:00 – 17:00"", ""sábado: 09:00 – 12:00"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -7.115461619708497, 'lng': -34.8351077197085}, 'southwest': {'lat': -7.118159580291501, 'lng': -34.8378056802915}}
ChIJPRp2eTfdrAcRaQqIOeu7hlM;João Pessoa/PB;Colégio Motiva Miramar;Rua Antônio Rabelo Júnior, 270 - Miramar, João Pessoa;True;OPERATIONAL;-7.117198899999999;-34.8371104;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -7.115862569708496, 'lng': -34.8358107197085}, 'southwest': {'lat': -7.118560530291501, 'lng': -34.8385086802915}}
ChIJ____NzjdrAcRMte8dfdK5lY;João Pessoa/PB;Colégio Espaço Divino - CED ( berçário, educação infantil, ensino fundamental, integral );Rua Maria Facunda de Oliveira Dias, 58 - Jardim Luna, João Pessoa;True;OPERATIONAL;-7.1154126;-34.8380473;"[""segunda-feira: 07:00 – 18:00"", ""terça-feira: 07:00 – 18:00"", ""quarta-feira: 07:00 – 18:00"", ""quinta-feira: 07:00 – 18:00"", ""sexta-feira: 07:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -7.113957919708498, 'lng': -34.8364199697085}, 'southwest': {'lat': -7.116655880291502, 'lng': -34.8391179302915}}
ChIJO8Cu5WfdrAcR54VcXDZySww;João Pessoa/PB;Dinami Kids Academia Infantil;Rua Franca Filho, 730 - Manaíra, João Pessoa;False;OPERATIONAL;-7.111223300000001;-34.8321285;"[""segunda-feira: 15:00 – 19:00"", ""terça-feira: 09:00 – 11:00, 15:00 – 19:00"", ""quarta-feira: 15:00 – 19:00"", ""quinta-feira: 09:00 – 11:00, 15:00 – 19:00"", ""sexta-feira: Fechado"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""gym"", ""school"", ""health"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -7.109906569708499, 'lng': -34.8307551197085}, 'southwest': {'lat': -7.112604530291502, 'lng': -34.8334530802915}}
ChIJR3IXF5PdrAcRbrT3ByhhVxQ;João Pessoa/PB;Colégio Kairós - Miramar;Miramar, João Pessoa;False;OPERATIONAL;-7.1197033;-34.83331319999999;"[""Não disponível""]";"[""primary_school"", ""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -7.118297519708498, 'lng': -34.83196591970849}, 'southwest': {'lat': -7.120995480291502, 'lng': -34.83466388029149}}
ChIJa8vOqiTdrAcR04zyAZk_6dE;João Pessoa/PB;Escola da Biblia;Avenida Senador Ruy Carneiro - Brisamar, João Pessoa;False;OPERATIONAL;-7.1167147;-34.8379458;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -7.115461619708499, 'lng': -34.8365485697085}, 'southwest': {'lat': -7.118159580291503, 'lng': -34.8392465302915}}
