id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ2xajXAA5jgcRVFc8fdCPJdc;Teresina/PI;De tudo um pouco tem;W686+G2 - Noivos, Teresina;False;OPERATIONAL;-5.0834348;-42.7902649;"[""segunda-feira: 07:00 – 12:30"", ""terça-feira: 07:00 – 12:30"", ""quarta-feira: 07:00 – 12:30"", ""quinta-feira: 07:00 – 12:30"", ""sexta-feira: 07:00 – 12:30"", ""sábado: 07:00 – 10:50"", ""domingo: Fechado""]";"[""store"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -5.082057219708498, 'lng': -42.78888436970851}, 'southwest': {'lat': -5.084755180291502, 'lng': -42.7915823302915}}
ChIJmYIzDfk5jgcRGJIBtB__tqg;Teresina/PI;Lojas Renner;Avenida Raul Lopes, 1000 - Shopping, Teresina;True;OPERATIONAL;-5.0839291;-42.7908324;"[""segunda-feira: 10:00 – 22:00"", ""terça-feira: 10:00 – 22:00"", ""quarta-feira: 10:00 – 22:00"", ""quinta-feira: 10:00 – 22:00"", ""sexta-feira: 10:00 – 22:00"", ""sábado: 10:00 – 22:00"", ""domingo: 12:00 – 20:00""]";"[""clothing_store"", ""shoe_store"", ""store"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -5.082463869708498, 'lng': -42.7896058197085}, 'southwest': {'lat': -5.085161830291502, 'lng': -42.7923037802915}}
ChIJL-iPhfk5jgcRWRYCDbaNUa0;Teresina/PI;Livraria Shekinah - Teresina Shopping;Teresina shopping, Teresina;True;OPERATIONAL;-5.083881000000001;-42.7902239;"[""segunda-feira: 10:00 – 22:00"", ""terça-feira: 10:00 – 22:00"", ""quarta-feira: 10:00 – 22:00"", ""quinta-feira: 10:00 – 22:00"", ""sexta-feira: 10:00 – 22:00"", ""sábado: 10:00 – 22:00"", ""domingo: 14:00 – 20:00""]";"[""book_store"", ""store"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -5.082344669708498, 'lng': -42.7888055197085}, 'southwest': {'lat': -5.085042630291502, 'lng': -42.7915034802915}}
ChIJsyNaDKw5jgcRpe6-W1JNdCE;Teresina/PI;Teresina Beach;Estacionamento - Avenida Raul Lopes, 1000 - Noivos, Teresina;False;OPERATIONAL;-5.0829507;-42.79048059999999;"[""segunda-feira: 17:00 – 22:00"", ""terça-feira: 17:00 – 22:00"", ""quarta-feira: 17:00 – 22:00"", ""quinta-feira: 17:00 – 22:00"", ""sexta-feira: 17:00 – 22:00"", ""sábado: 17:00 – 22:00"", ""domingo: 17:00 – 22:00""]";"[""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -5.081598469708497, 'lng': -42.78911221970849}, 'southwest': {'lat': -5.084296430291502, 'lng': -42.79181018029149}}
ChIJESziTQA5jgcRk_nj1CTad4A;Teresina/PI;Fotocell Teresina Shopping;W686+G2, Teresina;True;OPERATIONAL;-5.0836875;-42.7899375;"[""segunda-feira: 10:00 – 21:30"", ""terça-feira: 10:00 – 21:30"", ""quarta-feira: 10:00 – 21:30"", ""quinta-feira: 10:00 – 21:30"", ""sexta-feira: 10:00 – 21:30"", ""sábado: 10:00 – 21:30"", ""domingo: 14:00 – 19:30""]";"[""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -5.082245569708499, 'lng': -42.7886554197085}, 'southwest': {'lat': -5.084943530291503, 'lng': -42.7913533802915}}
ChIJUwHZQhA5jgcR0MbwHIdqveM;Teresina/PI;Praia de Verão do Teresina Shopping;Unnamed Road - Noivos, Teresina;False;OPERATIONAL;-5.082938899999998;-42.7907757;"[""Não disponível""]";"[""shopping_mall"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -5.081564919708498, 'lng': -42.78943641970849}, 'southwest': {'lat': -5.084262880291502, 'lng': -42.79213438029149}}
ChIJp2roFwA5jgcRl4NjHwO3zmE;Teresina/PI;Sergio’s;Avenida Raul Lopes - Noivos, Teresina;True;OPERATIONAL;-5.0842163;-42.7901434;"[""segunda-feira: 08:00 – 21:00"", ""terça-feira: 08:00 – 21:00"", ""quarta-feira: 08:00 – 21:00"", ""quinta-feira: 08:00 – 21:00"", ""sexta-feira: 08:00 – 21:00"", ""sábado: 08:00 – 21:00"", ""domingo: 08:00 – 21:00""]";"[""shoe_store"", ""store"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -5.082512619708497, 'lng': -42.78876151970849}, 'southwest': {'lat': -5.085210580291501, 'lng': -42.79145948029149}}
ChIJhauFWAA5jgcRPs30GtkRXxQ;Teresina/PI;Tudo é Festa! | Teresina Shopping;Avenida Raul Lopes, 1000 - Noivos, Teresina;True;OPERATIONAL;-5.084379999999999;-42.7902758;"[""segunda-feira: 09:00 – 22:00"", ""terça-feira: 09:00 – 22:00"", ""quarta-feira: 09:00 – 22:00"", ""quinta-feira: 09:00 – 22:00"", ""sexta-feira: 09:00 – 22:00"", ""sábado: 09:00 – 22:00"", ""domingo: 11:00 – 22:00""]";"[""grocery_or_supermarket"", ""food"", ""store"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -5.083306419708497, 'lng': -42.78865884999999}, 'southwest': {'lat': -5.086004380291501, 'lng': -42.79174345}}
ChIJ2Syvhbo5jgcRFJ-X43F39LE;Teresina/PI;Center Laser - Botox, Preenchimento Labial e Depilação a Laser em Teresina;Shopping - Avenida Raul Lopes, 1000 - 346A - Noivos, Teresina;True;OPERATIONAL;-5.0838376;-42.78977199999999;"[""segunda-feira: 10:00 – 22:00"", ""terça-feira: 10:00 – 22:00"", ""quarta-feira: 10:00 – 22:00"", ""quinta-feira: 10:00 – 22:00"", ""sexta-feira: 10:00 – 22:00"", ""sábado: 10:00 – 22:00"", ""domingo: 14:00 – 20:00""]";"[""hair_care"", ""beauty_salon"", ""health"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -5.082320619708498, 'lng': -42.7885726697085}, 'southwest': {'lat': -5.085018580291503, 'lng': -42.7912706302915}}
ChIJZzHuPvA5jgcRgHhmcaX4DMA;Teresina/PI;Mahogany - Teresina Shopping;Avenida Raul Lopes, 1000 - Loja 142 - Noivos, Teresina;True;OPERATIONAL;-5.084058;-42.7898516;"[""segunda-feira: 10:00 – 22:00"", ""terça-feira: 10:00 – 22:00"", ""quarta-feira: 10:00 – 22:00"", ""quinta-feira: 10:00 – 22:00"", ""sexta-feira: 10:00 – 22:00"", ""sábado: 10:00 – 22:00"", ""domingo: 14:00 – 20:00""]";"[""store"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -5.082433069708497, 'lng': -42.7886157197085}, 'southwest': {'lat': -5.085131030291501, 'lng': -42.79131368029149}}
ChIJa_R7kIk5jgcRDwMFmPXoczY;Teresina/PI;ibyte Teresina Shopping;Avenida Raul Lopes, 1000 - Noivos, Teresina;True;OPERATIONAL;-5.084437599999999;-42.7909496;"[""segunda-feira: 14:00 – 22:00"", ""terça-feira: 14:00 – 22:00"", ""quarta-feira: 10:00 – 22:00"", ""quinta-feira: 10:00 – 22:00"", ""sexta-feira: 10:00 – 22:00"", ""sábado: 10:00 – 22:00"", ""domingo: 14:00 – 22:00""]";"[""electronics_store"", ""general_contractor"", ""store"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -5.083195919708497, 'lng': -42.7897268697085}, 'southwest': {'lat': -5.085893880291501, 'lng': -42.7924248302915}}
ChIJgceIF_k5jgcRBGRor2sE_Vs;Teresina/PI;Bob's Burger - Teresina Shopping;Avenida Raul Lopes, 10000 - Noivos, Teresina;True;OPERATIONAL;-5.0845129;-42.7905354;"[""segunda-feira: 10:00 – 22:00"", ""terça-feira: 10:00 – 22:00"", ""quarta-feira: 10:00 – 22:00"", ""quinta-feira: 10:00 – 22:00"", ""sexta-feira: 10:00 – 22:00"", ""sábado: 10:00 – 22:00"", ""domingo: 10:00 – 22:00""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -5.083350669708498, 'lng': -42.7894225697085}, 'southwest': {'lat': -5.086048630291502, 'lng': -42.7921205302915}}
ChIJNWq9-C85jgcR604Gj3UuFNs;Teresina/PI;FlipWash Teresina Shopping;Edifício Garagem G1 - Avenida Raul Lopes, 1000 - Noivos, Teresina;True;OPERATIONAL;-5.0833173;-42.78970349999999;"[""segunda-feira: 08:00 – 19:30"", ""terça-feira: 08:00 – 19:30"", ""quarta-feira: 08:00 – 19:30"", ""quinta-feira: 08:00 – 19:30"", ""sexta-feira: 08:00 – 19:30"", ""sábado: 08:00 – 19:30"", ""domingo: 09:00 – 18:30""]";"[""car_wash"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -5.081903519708498, 'lng': -42.7883921197085}, 'southwest': {'lat': -5.084601480291503, 'lng': -42.7910900802915}}
ChIJMRIZcvk5jgcRCzqxEfhudCw;Teresina/PI;Casas Bahia;Avenida Raul Lopes, 1000 - Noivos, Teresina;True;OPERATIONAL;-5.084456699999999;-42.7910093;"[""segunda-feira: 10:00 – 22:00"", ""terça-feira: 10:00 – 22:00"", ""quarta-feira: 10:00 – 22:00"", ""quinta-feira: 10:00 – 22:00"", ""sexta-feira: 10:00 – 22:00"", ""sábado: 10:00 – 22:00"", ""domingo: 14:00 – 20:00""]";"[""department_store"", ""electronics_store"", ""furniture_store"", ""home_goods_store"", ""store"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -5.083195219708497, 'lng': -42.7897653197085}, 'southwest': {'lat': -5.085893180291501, 'lng': -42.7924632802915}}
ChIJ63QE8KgwjgcRzqSv4Dr4SqQ;Teresina/PI;Banco Do Brasil;Avenida Raul Lopes, 1, Teresina;False;OPERATIONAL;-5.083717399999999;-42.7895768;"[""Não disponível""]";"[""atm"", ""finance"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -5.082246619708498, 'lng': -42.78809321970851}, 'southwest': {'lat': -5.084944580291502, 'lng': -42.79079118029151}}
ChIJa9chcvk5jgcRQf9NTxqPAG4;Teresina/PI;Quem Disse, Berenice?;Avenida Raul Lopes, 1000 - loja 326 - Noivos, Teresina;True;OPERATIONAL;-5.0846364;-42.790716;"[""segunda-feira: 10:00 – 22:00"", ""terça-feira: 10:00 – 22:00"", ""quarta-feira: 10:00 – 22:00"", ""quinta-feira: 10:00 – 22:00"", ""sexta-feira: 10:00 – 22:00"", ""sábado: 10:00 – 22:00"", ""domingo: 14:00 – 21:00""]";"[""clothing_store"", ""store"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -5.083406519708498, 'lng': -42.7895176197085}, 'southwest': {'lat': -5.086104480291502, 'lng': -42.7922155802915}}
