id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJe7aHV4g5jgcRp_r8SPoj6qc;Teresina/PI;Alexandre Magno Odontologia;Rua Professor Joca Vieira, 1418 - Fátima, Teresina;True;OPERATIONAL;-5.068184;-42.788006;"[""segunda-feira: 09:00 – 12:00, 14:00 – 18:00"", ""terça-feira: 09:00 – 12:00, 14:00 – 18:00"", ""quarta-feira: 09:00 – 12:00, 14:00 – 18:00"", ""quinta-feira: 09:00 – 12:00, 14:00 – 18:00"", ""sexta-feira: 08:00 – 12:00, 14:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""dentist"", ""doctor"", ""health"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -5.066856119708498, 'lng': -42.7867403697085}, 'southwest': {'lat': -5.069554080291502, 'lng': -42.7894383302915}}
ChIJVW9Hp8c5jgcRcvMadhWselw;Teresina/PI;Dentista 24H Teresina Dr. Gustavo Trindade;Rua Professor Joca Vieira, 1418 - Jóquei, Teresina;True;OPERATIONAL;-5.068183400000001;-42.78798799999999;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""dentist"", ""doctor"", ""health"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -5.066857569708498, 'lng': -42.78673071970849}, 'southwest': {'lat': -5.069555530291503, 'lng': -42.78942868029149}}
ChIJYdWtV4g5jgcREom25s9PDgc;Teresina/PI;Espaço Medfisio;Rua Professor Joca Vieira, 1404 - Jóquei, Teresina;True;OPERATIONAL;-5.068324899999999;-42.787978;"[""segunda-feira: 06:30 – 21:00"", ""terça-feira: 07:00 – 21:00"", ""quarta-feira: 06:30 – 21:00"", ""quinta-feira: 07:00 – 21:00"", ""sexta-feira: 06:30 – 21:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""gym"", ""doctor"", ""health"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -5.066996119708498, 'lng': -42.7867086197085}, 'southwest': {'lat': -5.069694080291502, 'lng': -42.7894065802915}}
ChIJcfe1bwA5jgcR0jMqE2ZSV74;Teresina/PI;Centro Jurídico de Regularização Fundiária e Conflitos Agrários;Rua Professor Joca Vieira, 1449 - Jockey, Teresina;False;OPERATIONAL;-5.068142299999999;-42.7884736;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -5.066760119708498, 'lng': -42.7869931197085}, 'southwest': {'lat': -5.069458080291502, 'lng': -42.7896910802915}}
ChIJDUDzmIk5jgcR-nXbok2cIUc;Teresina/PI;Arquitetura Arte e Design / Fernanda Pearce de Carvalho;B telefone - Rua Professor Joca Vieira, 1418 - Fátima, Teresina;False;OPERATIONAL;-5.0682013;-42.7879126;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -5.066884019708499, 'lng': -42.7866887697085}, 'southwest': {'lat': -5.069581980291503, 'lng': -42.7893867302915}}
ChIJHVED9og5jgcRiJesVzMcPSg;Teresina/PI;Rua Professor Joca Vieira, 1432;Brazil;False;OPERATIONAL;-5.067908999999998;-42.7881829;"[""Não disponível""]";"[""transit_station"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -5.066568369708497, 'lng': -42.7868668697085}, 'southwest': {'lat': -5.069266330291502, 'lng': -42.7895648302915}}
ChIJ8-4-tAc5jgcR8SRNgTHq8q8;Teresina/PI;Cetdor Fisio;Rua Professor Joca Vieira, 1404 - Jóquei, Teresina;True;OPERATIONAL;-5.068325199999999;-42.7879126;"[""segunda-feira: 07:00 – 12:00, 14:00 – 20:00"", ""terça-feira: 07:00 – 12:00, 14:00 – 20:00"", ""quarta-feira: 07:00 – 12:00, 14:00 – 20:00"", ""quinta-feira: 07:00 – 12:00, 14:00 – 20:00"", ""sexta-feira: 07:00 – 12:00, 14:00 – 20:00"", ""sábado: 07:00 – 12:00"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -5.067004119708497, 'lng': -42.78667376970851}, 'southwest': {'lat': -5.069702080291502, 'lng': -42.7893717302915}}
ChIJP1rDbKA5jgcRj5OhHtR_wnY;Teresina/PI;CK PAINEIS SOLARES;Rua Professor Joca Vieira, 2047 - Jóquei, Teresina;True;OPERATIONAL;-5.0679303;-42.7883892;"[""segunda-feira: 08:00 – 19:00"", ""terça-feira: 08:00 – 19:00"", ""quarta-feira: 08:00 – 19:00"", ""quinta-feira: 08:00 – 19:00"", ""sexta-feira: 08:00 – 19:00"", ""sábado: 09:00 – 12:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -5.066564519708497, 'lng': -42.7869737197085}, 'southwest': {'lat': -5.069262480291501, 'lng': -42.78967168029149}}
ChIJNyynWQA5jgcR_QxQYmHyWRw;Teresina/PI;Centro Jurídico de Soluções Fundiárias;Rua Professor Joca Vieira, 1449 - Fátima, Teresina;False;OPERATIONAL;-5.0681512;-42.78856750000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -5.066757619708498, 'lng': -42.78704181970851}, 'southwest': {'lat': -5.069455580291502, 'lng': -42.78973978029151}}
ChIJgyBTVYg5jgcRoMwWKLRPrJ8;Teresina/PI;Jamira Caddah - bolos artísticos;Rua Professor Joca Vieira, 1387 - Fátima, Teresina;True;OPERATIONAL;-5.068638200000001;-42.78827320000001;"[""segunda-feira: 10:00 – 19:00"", ""terça-feira: 10:00 – 19:00"", ""quarta-feira: 10:00 – 19:00"", ""quinta-feira: 10:00 – 19:00"", ""sexta-feira: 10:00 – 19:00"", ""sábado: 10:00 – 19:00"", ""domingo: Fechado""]";"[""bakery"", ""food"", ""store"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -5.067264719708499, 'lng': -42.78682756970851}, 'southwest': {'lat': -5.069962680291503, 'lng': -42.78952553029151}}
