id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJlcb49b0ZqwcRr_VjCiKQ6M4;Recife/PE;TurboTech Assistência Técnica;Rua Imperatriz Teresa Cristina, 234 - Boa Vista, Recife;True;OPERATIONAL;-8.0631038;-34.88461599999999;"[""segunda-feira: 10:00 – 17:00"", ""terça-feira: 10:00 – 17:00"", ""quarta-feira: 10:00 – 17:00"", ""quinta-feira: 10:00 – 17:00"", ""sexta-feira: 10:00 – 17:00"", ""sábado: 09:00 – 14:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -8.061627919708496, 'lng': -34.88322796970851}, 'southwest': {'lat': -8.0643258802915, 'lng': -34.88592593029151}}
ChIJ6-6LNaAZqwcR5uXzM9yZDKM;Recife/PE;Ótica Sol Recife;Rua Imperatriz Teresa Cristina, 234 - loja 38 e 39 - Boa Vista, Recife;True;OPERATIONAL;-8.0631038;-34.88461599999999;"[""segunda-feira: 09:00 – 16:00"", ""terça-feira: 09:00 – 16:00"", ""quarta-feira: 09:00 – 16:00"", ""quinta-feira: 09:00 – 16:00"", ""sexta-feira: 09:00 – 16:00"", ""sábado: 09:00 – 13:00"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""store"", ""establishment""]";theater;{'northeast': {'lat': -8.061627919708496, 'lng': -34.88322796970851}, 'southwest': {'lat': -8.0643258802915, 'lng': -34.88592593029151}}
ChIJv8-18rcZqwcRLdVuQMrfj0o;Recife/PE;Óptica Lux e Visão;Rua Imperatriz Teresa Cristina, 257 - loja 1 - Boa Vista, Recife;True;OPERATIONAL;-8.063134999999999;-34.884853;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: 08:00 – 13:30"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""store"", ""establishment""]";theater;{'northeast': {'lat': -8.061612119708498, 'lng': -34.8834504697085}, 'southwest': {'lat': -8.064310080291502, 'lng': -34.8861484302915}}
ChIJwwKYZHEZqwcRSQEkw7HhCkA;Recife/PE;Ótica D'silva;Rua Imperatriz Teresa Cristina, 257 - Boa Vista, Recife;True;OPERATIONAL;-8.063134999999999;-34.884853;"[""segunda-feira: 08:30 – 17:30"", ""terça-feira: 08:30 – 17:30"", ""quarta-feira: 08:30 – 17:30"", ""quinta-feira: 08:30 – 17:30"", ""sexta-feira: 08:30 – 17:30"", ""sábado: 08:30 – 14:00"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""store"", ""establishment""]";theater;{'northeast': {'lat': -8.061612119708498, 'lng': -34.8834504697085}, 'southwest': {'lat': -8.064310080291502, 'lng': -34.8861484302915}}
ChIJ__9TeccYqwcRtLYBgWiYRTo;Recife/PE;AEBR;Rua Imperatriz Teresa Cristina, 257 - Boa Vista, Recife;False;OPERATIONAL;-8.063134999999999;-34.884853;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -8.061612119708498, 'lng': -34.8834504697085}, 'southwest': {'lat': -8.064310080291502, 'lng': -34.8861484302915}}
ChIJ51nJgccYqwcRqxMB8K-41bU;Recife/PE;US 278 USF Nossa Sra do Pilar Bairro do Recife;Br Um - Recife;True;OPERATIONAL;-8.0634788;-34.8846817;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -8.062153969708499, 'lng': -34.8835665697085}, 'southwest': {'lat': -8.064851930291502, 'lng': -34.8862645302915}}
ChIJfcQ_fccYqwcRP-LyMm7I_C0;Recife/PE;Farrapo Modas;Rua Imperatriz Teresa Cristina, 227 - Boa Vista, Recife;True;OPERATIONAL;-8.062948999999998;-34.8844923;"[""segunda-feira: 08:30 – 19:00"", ""terça-feira: 08:30 – 19:00"", ""quarta-feira: 08:30 – 19:00"", ""quinta-feira: 08:30 – 19:00"", ""sexta-feira: 08:30 – 19:00"", ""sábado: 08:30 – 17:00"", ""domingo: Fechado""]";"[""clothing_store"", ""point_of_interest"", ""store"", ""establishment""]";theater;{'northeast': {'lat': -8.061560969708497, 'lng': -34.8831313197085}, 'southwest': {'lat': -8.064258930291501, 'lng': -34.8858292802915}}
ChIJj5AxQUAZqwcRGTV3PPl_OlA;Recife/PE;LOJAS WATT;Rua Imperatriz Teresa Cristina, 211 - Boa Vista, Recife;True;OPERATIONAL;-8.0630806;-34.8843897;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: 09:00 – 16:00"", ""domingo: Fechado""]";"[""store"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -8.061646569708497, 'lng': -34.8830145197085}, 'southwest': {'lat': -8.064344530291502, 'lng': -34.8857124802915}}
ChIJh1NmfccYqwcRWxa_0heLhGc;Recife/PE;Lojas Vitrage;Rua Imperatriz Teresa Cristina, 217 - Boa Vista, Recife;True;OPERATIONAL;-8.0629671;-34.884428;"[""segunda-feira: 08:00 – 19:30"", ""terça-feira: 08:00 – 19:30"", ""quarta-feira: 08:00 – 19:30"", ""quinta-feira: 08:00 – 19:30"", ""sexta-feira: 08:00 – 19:30"", ""sábado: 08:00 – 18:00"", ""domingo: Fechado""]";"[""clothing_store"", ""point_of_interest"", ""store"", ""establishment""]";theater;{'northeast': {'lat': -8.061579669708498, 'lng': -34.8830671697085}, 'southwest': {'lat': -8.064277630291503, 'lng': -34.8857651302915}}
ChIJG5Mv-YcZqwcRWROMsfqo1rY;Recife/PE;aqueridinhatop30;Rua Imperatriz Teresa Cristina, 187 - sl 502 - Boa Vista, Recife;True;OPERATIONAL;-8.063121500000001;-34.8842737;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""store"", ""establishment""]";theater;{'northeast': {'lat': -8.061684769708501, 'lng': -34.8828977197085}, 'southwest': {'lat': -8.064382730291506, 'lng': -34.88559568029149}}
