id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJAa3c7v9VsgcRgmEIsctW0q4;Natal/RN;Fatebe |;Avenida Abel Cabral, 505 - Nova Parnamirim, Parnamirim;False;OPERATIONAL;-5.873838999999999;-35.2152118;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -5.872396369708498, 'lng': -35.2138134697085}, 'southwest': {'lat': -5.875094330291502, 'lng': -35.2165114302915}}
ChIJCWS_cLP_sgcRSCjDHW4FlvM;Natal/RN;Neopelos;Rua Cachoeira Dourada - Neópolis, Natal;False;OPERATIONAL;-5.870554499999999;-35.2001876;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -5.869205519708497, 'lng': -35.1988386197085}, 'southwest': {'lat': -5.871903480291501, 'lng': -35.2015365802915}}
ChIJLZWzSwD_sgcRPU9iJzlzmZU;Natal/RN;UNIASSELVI Zona Sul;Avenida Ayrton Senna, 168 - Neópolis, Natal;True;OPERATIONAL;-5.8644411;-35.2048865;"[""segunda-feira: 09:30 – 12:50, 14:30 – 18:00"", ""terça-feira: 09:30 – 12:50, 14:30 – 18:00"", ""quarta-feira: 09:30 – 12:50, 14:30 – 18:00"", ""quinta-feira: 09:30 – 12:50, 14:30 – 18:00"", ""sexta-feira: 09:30 – 12:50, 14:30 – 18:00"", ""sábado: 08:00 – 11:30"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -5.863084669708497, 'lng': -35.2035034197085}, 'southwest': {'lat': -5.865782630291502, 'lng': -35.2062013802915}}
ChIJ_z_tCan4sgcR5S8ZLBe61uM;Natal/RN;MISSÃO EVANGÉLICA BEM DO BRASIL;Rua Clóvis Lira, 246 - Nova Parnamirim, Parnamirim;False;OPERATIONAL;-5.881502299999999;-35.2119415;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -5.880138069708498, 'lng': -35.2106663697085}, 'southwest': {'lat': -5.882836030291502, 'lng': -35.2133643302915}}
ChIJSZHLxvxVsgcREYAgUtwxihU;Natal/RN;Normalizando;Rua Professor Boanerges Soares - Pitimbú, Natal;True;OPERATIONAL;-5.870315799999999;-35.2208716;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -5.868994769708497, 'lng': -35.2194832697085}, 'southwest': {'lat': -5.871692730291501, 'lng': -35.2221812302915}}
ChIJq3VffbD4sgcRthL9ePvE0Nw;Natal/RN;Kumon Parnamirim-Nova Parnamirim/RN;Avenida Abel Cabral, 2598 - Nova Parnamirim, Parnamirim;True;OPERATIONAL;-5.884809199999999;-35.20097920000001;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""school"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -5.883484169708498, 'lng': -35.1996508197085}, 'southwest': {'lat': -5.886182130291503, 'lng': -35.2023487802915}}
ChIJX-8Yc13_sgcRu3-Iw6VUMns;Natal/RN;BTN Soluções;Avenida dos Pinheirais, 684 - Sala 15 - Neópolis, Natal;True;OPERATIONAL;-5.859553099999999;-35.2061071;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -5.858098269708497, 'lng': -35.20472471970849}, 'southwest': {'lat': -5.860796230291502, 'lng': -35.20742268029149}}
ChIJQ1UvVsBVsgcRi_eHDWrXUg0;Natal/RN;Geymisson barros;Rua do Pereiro - Satélite, Natal;False;OPERATIONAL;-5.8686966;-35.22287629999999;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -5.867384369708498, 'lng': -35.2215492197085}, 'southwest': {'lat': -5.870082330291502, 'lng': -35.22424718029149}}
ChIJNe-60Sr_sgcR2wyh0usQwPQ;Natal/RN;Ramiros Learning;Rua Missionário Joel Carlson, 1883 - ap 202 - Capim Macio, Natal;True;OPERATIONAL;-5.861207;-35.1968896;"[""segunda-feira: 09:00 – 17:00"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -5.859810769708498, 'lng': -35.1955998197085}, 'southwest': {'lat': -5.862508730291503, 'lng': -35.1982977802915}}
ChIJgZkUDsP_sgcRU9__bOdZr6o;Natal/RN;Controlcursos Natal;Rua Professor Gerson do Dumaresq, 355 - Capim Macio, Natal;True;OPERATIONAL;-5.870180199999999;-35.1898571;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: 06:30 – 00:00"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: 07:30 – 20:00""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -5.868798519708498, 'lng': -35.1884828697085}, 'southwest': {'lat': -5.871496480291501, 'lng': -35.1911808302915}}
