id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJgRVkSABhpJIRMp1h1aTK_5I;Ananindeua/PA;Ancina agência aeronaves de passagem;Batista Campos, Belém;False;OPERATIONAL;-1.3513154;-48.4020445;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -1.349966269708498, 'lng': -48.4006509697085}, 'southwest': {'lat': -1.352664230291502, 'lng': -48.4033489302915}}
ChIJPWmIYq-LpJIRpppF_cW06Xo;Ananindeua/PA;LW transportes e Logística;BR-316, KM 17 - N° 7968 - Canaã, Marituba;True;OPERATIONAL;-1.3669828;-48.2939185;"[""segunda-feira: 07:30 – 18:00"", ""terça-feira: 07:30 – 18:00"", ""quarta-feira: 07:30 – 18:30"", ""quinta-feira: 07:30 – 18:00"", ""sexta-feira: 07:30 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""moving_company"", ""airport"", ""storage"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -1.365646069708498, 'lng': -48.29258736970849}, 'southwest': {'lat': -1.368344030291502, 'lng': -48.29528533029149}}
ChIJDfGs6SGKpJIRuA8Bf9I0DIQ;Ananindeua/PA;Grupamento Aéreo de Segurança Pública - GRAESP;Avenida Júlio César - Val-de-Cans, Belém;True;OPERATIONAL;-1.3850765;-48.47446979999999;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -1.383550319708498, 'lng': -48.46794435}, 'southwest': {'lat': -1.386248280291502, 'lng': -48.47664494999999}}
ChIJy6ooSIiJpJIRr8VBYpH1GUg;Ananindeua/PA;Serviço Resgate Aeronáutica Aeroporto;Avenida Júlio César, 5000 - Val-de-Cans, Belém;False;OPERATIONAL;-1.4006036;-48.4723844;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -1.399273769708498, 'lng': -48.4710538697085}, 'southwest': {'lat': -1.401971730291502, 'lng': -48.47375183029149}}
ChIJEwzEox2KpJIR17ukgySHOPA;Ananindeua/PA;Aeroporto Internacional de Belém;Avenida Júlio César, s/n - Val-de-Cans, Belém;True;OPERATIONAL;-1.3845639;-48.48122129999999;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -1.38120585, 'lng': -48.47911724999999}, 'southwest': {'lat': -1.39463805, 'lng': -48.48192264999999}}
ChIJ_wvj6cWNpJIR2nYPptkd81Q;Ananindeua/PA;Hospital Helipad 2;Passagem Irmã Consolata, 67 - Marco, Belém;False;OPERATIONAL;-1.4377277;-48.45853349999999;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -1.436489219708498, 'lng': -48.4572566697085}, 'southwest': {'lat': -1.439187180291502, 'lng': -48.4599546302915}}
ChIJP5bk_gyNpJIRqlodBUbkEmA;Ananindeua/PA;Hospital Helipad;Heliporto HSM - Travessa Humaitá, 1574-1666 - Pedreira, Belém;False;OPERATIONAL;-1.4379167;-48.4685915;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -1.436437269708498, 'lng': -48.4671578197085}, 'southwest': {'lat': -1.439135230291502, 'lng': -48.4698557802915}}
ChIJd9afpxqMpJIRI3xCtH1CFdo;Ananindeua/PA;Heliporto HSM;Travessa Humaitá, 1574-1666 - Pedreira, Belém;True;OPERATIONAL;-1.4378815;-48.4688007;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -1.436366719708498, 'lng': -48.4673440697085}, 'southwest': {'lat': -1.439064680291502, 'lng': -48.47004203029149}}
ChIJfw1VVwCPpJIRzya5SXCh45w;Ananindeua/PA;AEROCLUBE DE JOSÉ DOS CANOS;Belém;False;OPERATIONAL;-1.4563432;-48.501299;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -1.455025269708498, 'lng': -48.4999335697085}, 'southwest': {'lat': -1.457723230291502, 'lng': -48.5026315302915}}
ChIJLQfWNACPpJIRB3PXJzrQ0Hk;Ananindeua/PA;Val de cans;Belém;False;OPERATIONAL;-1.4563432;-48.501299;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -1.455025269708498, 'lng': -48.4999335697085}, 'southwest': {'lat': -1.457723230291502, 'lng': -48.5026315302915}}
