id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJkwePcX2PpJIRsZ1T4B6EnkA;Belém/PA;Empório da Sé;Rua Padre Champagnat - Cidade Velha, Belém;True;OPERATIONAL;-1.4554822;-48.5044855;"[""segunda-feira: 11:00 – 15:00"", ""terça-feira: 11:00 – 15:00"", ""quarta-feira: 11:00 – 15:00"", ""quinta-feira: 11:00 – 15:00"", ""sexta-feira: 11:00 – 15:00"", ""sábado: 11:00 – 15:00"", ""domingo: Fechado""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -1.454106569708498, 'lng': -48.5031732697085}, 'southwest': {'lat': -1.456804530291502, 'lng': -48.5058712302915}}
ChIJoz_Gp4GPpJIRm0EOuXt0ZMk;Belém/PA;Empório do açai;Rua Padre Champagnat, 31 - Cidade Velha, Belém;True;OPERATIONAL;-1.4555063;-48.50452019999999;"[""segunda-feira: 08:00 – 16:00"", ""terça-feira: 08:00 – 16:00"", ""quarta-feira: 08:00 – 16:00"", ""quinta-feira: 08:00 – 16:00"", ""sexta-feira: 08:00 – 16:00"", ""sábado: 08:00 – 16:00"", ""domingo: Fechado""]";"[""food"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -1.454134769708498, 'lng': -48.5032023197085}, 'southwest': {'lat': -1.456832730291502, 'lng': -48.5059002802915}}
ChIJ_zWFQ_GOpJIRi-wTA6c8O1A;Belém/PA;CASMAPE BELÉM - LOJA AUTORIZADA STIHL;Rua Doutor Malcher, 09 - Cidade Velha, Belém;True;OPERATIONAL;-1.4555716;-48.50452969999999;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""store"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -1.454235519708498, 'lng': -48.5032265197085}, 'southwest': {'lat': -1.456933480291502, 'lng': -48.5059244802915}}
ChIJU_2JQ_GOpJIRpdW_S7cwACA;Belém/PA;Hotel Portas da Amazônia;Rua Doutor Malcher, 15 - Cidade Velha, Belém;False;OPERATIONAL;-1.455647;-48.5045154;"[""Não disponível""]";"[""lodging"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -1.454310019708498, 'lng': -48.50320901970851}, 'southwest': {'lat': -1.457007980291502, 'lng': -48.50590698029151}}
ChIJPR4QjhKPpJIR693bH5HrUaA;Belém/PA;Retiro da sé;Rua Doutor Malcher, 21 - Cidade Velha, Belém;True;OPERATIONAL;-1.4557027;-48.504283;"[""segunda-feira: 11:30 – 15:00"", ""terça-feira: 11:30 – 15:00"", ""quarta-feira: 11:30 – 15:00"", ""quinta-feira: 11:30 – 15:00"", ""sexta-feira: 11:30 – 15:00"", ""sábado: Fechado"", ""domingo: 11:30 – 15:00""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -1.454394469708498, 'lng': -48.5030775697085}, 'southwest': {'lat': -1.457092430291502, 'lng': -48.5057755302915}}
ChIJeX4ai_SPpJIRothRVEna7b4;Belém/PA;MAOS Mercado Amazônia Orgânica e Sustentável;Rua Doutor Malcher, 23 - Cidade Velha, Belém;True;OPERATIONAL;-1.455818900000001;-48.5043611;"[""segunda-feira: Fechado"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: 09:00 – 13:00"", ""domingo: 09:00 – 13:00""]";"[""store"", ""health"", ""food"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -1.454496069708498, 'lng': -48.5031042197085}, 'southwest': {'lat': -1.457194030291502, 'lng': -48.5058021802915}}
ChIJaRkNRPGOpJIRp72jk6Nl0m8;Belém/PA;Jader Dias Advogados;Rua Doutor Malcher, 23 A - Cidade Velha, Belém;True;OPERATIONAL;-1.455832;-48.5044694;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -1.454494219708498, 'lng': -48.5031602197085}, 'southwest': {'lat': -1.457192180291502, 'lng': -48.5058581802915}}
ChIJ46Q5D7OPpJIRluiznLX7xEM;Belém/PA;Casa das Icamiabas - Produtos da bioeconomia Amazônica e Café;Rua Doutor Malcher, 23 - Cidade Velha, Belém;True;OPERATIONAL;-1.455851;-48.50442199999999;"[""segunda-feira: Fechado"", ""terça-feira: 10:00 – 20:00"", ""quarta-feira: 10:00 – 20:00"", ""quinta-feira: 10:00 – 20:00"", ""sexta-feira: 10:00 – 22:00"", ""sábado: Fechado"", ""domingo: 09:00 – 13:00""]";"[""cafe"", ""grocery_or_supermarket"", ""store"", ""food"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -1.454518719708498, 'lng': -48.50313231970849}, 'southwest': {'lat': -1.457216680291502, 'lng': -48.50583028029149}}
ChIJHxZTYfGOpJIR4ZbWbdYstY8;Belém/PA;Tecidolândia - Matriz;Rua Dona Tomázia Perdigão, 34 - Cidade Velha, Belém;False;OPERATIONAL;-1.4553748;-48.5040436;"[""segunda-feira: 08:00 – 12:00, 14:15 – 18:00"", ""terça-feira: 08:00 – 12:00, 14:15 – 18:00"", ""quarta-feira: 08:00 – 12:00, 14:15 – 18:00"", ""quinta-feira: 08:00 – 12:00, 14:15 – 18:00"", ""sexta-feira: 08:00 – 12:00, 14:15 – 18:00"", ""sábado: 08:10 – 13:25"", ""domingo: Fechado""]";"[""home_goods_store"", ""store"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -1.454001919708498, 'lng': -48.5026584197085}, 'southwest': {'lat': -1.456699880291502, 'lng': -48.5053563802915}}
ChIJkVmdYPGOpJIRqurlCjewlJk;Belém/PA;Instituto Histórico e Geográfico do Pará;Rua D'Aveiro Cidade-irmã,, nº 62 - Cidade Velha, Belém;True;OPERATIONAL;-1.4555042;-48.503955;"[""segunda-feira: Fechado"", ""terça-feira: 09:00 – 16:30"", ""quarta-feira: 09:00 – 16:30"", ""quinta-feira: 09:00 – 16:30"", ""sexta-feira: 09:00 – 16:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""tourist_attraction"", ""museum"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -1.454132069708498, 'lng': -48.5025709197085}, 'southwest': {'lat': -1.456830030291502, 'lng': -48.5052688802915}}
