id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJSaSkogXhYY0RlddkUOuUAyc;Macapá/AP;Escola Estadual Dr Coaracy Nunes;Avenida Mendonça Júnior, 141 - Central, Macapá;False;OPERATIONAL;0.034104;-51.06492;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': 0.03549218029150203, 'lng': -51.06356831970849}, 'southwest': {'lat': 0.03279421970849796, 'lng': -51.06626628029149}}
ChIJ8WPxFN7hYY0RCMh1C25b5_o;Macapá/AP;Delícias Do Chefe Amapá;Em frente ao hospital de Emergência - Avenida Mendonça Júnior - Central, Macapá;True;OPERATIONAL;0.0340769;-51.064637;"[""segunda-feira: 08:30 – 00:00"", ""terça-feira: 08:30 – 00:00"", ""quarta-feira: 08:30 – 00:00"", ""quinta-feira: 08:30 – 00:00"", ""sexta-feira: 08:30 – 00:00"", ""sábado: 08:30 – 00:00"", ""domingo: Fechado""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': 0.03546883029150203, 'lng': -51.0632850197085}, 'southwest': {'lat': 0.03277086970849797, 'lng': -51.0659829802915}}
ChIJEfl1S43hYY0Rw-lT-g7f0O4;Macapá/AP;faturamentoheco;Rua Hamilton Silva, 139 - centro, Macapá;False;OPERATIONAL;0.0345894;-51.0646701;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': 0.03592938029150203, 'lng': -51.0631698197085}, 'southwest': {'lat': 0.03323141970849797, 'lng': -51.0658677802915}}
ChIJ6cOLcRrhYY0RwoLQQwQk3RQ;Macapá/AP;Pronto Socorro Osvaldo Cruz;Rua Hamilton Silva, 1648 - Trem, Macapá;True;OPERATIONAL;0.0346462;-51.0647517;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': 0.03588308029150204, 'lng': -51.0632091697085}, 'southwest': {'lat': 0.03318511970849797, 'lng': -51.0659071302915}}
ChIJxQZueg_hYY0Rns3EQ3l_lRc;Macapá/AP;Spasso Villaggio;Avenida Mendonça Júnior, 1717 - Central, Macapá;False;OPERATIONAL;0.0340865;-51.0655035;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': 0.03550598029150203, 'lng': -51.06414866970849}, 'southwest': {'lat': 0.03280801970849797, 'lng': -51.06684663029149}}
ChIJZxvOLXbhYY0R7MO9L8b_KTY;Macapá/AP;Aulas de Dança;Fabrica da grao de ouro - Avenida Mendonça Júnior, 1717 - Central, Macapá;False;OPERATIONAL;0.0340508;-51.0655266;"[""segunda-feira: Fechado"", ""terça-feira: Fechado"", ""quarta-feira: 18:00 – 22:00"", ""quinta-feira: 18:00 – 22:00"", ""sexta-feira: Fechado"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': 0.03548893029150203, 'lng': -51.0641702197085}, 'southwest': {'lat': 0.03279096970849796, 'lng': -51.06686818029149}}
ChIJwbcGaiXhYY0RRk295igUT1k;Macapá/AP;Hospital de Emergência Oswaldo Cruz;Rua Hamilton Silva, 139 - Central, Macapá;False;OPERATIONAL;0.0346772;-51.06471309999999;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': 0.03604203029150203, 'lng': -51.0635156197085}, 'southwest': {'lat': 0.03334406970849797, 'lng': -51.0662135802915}}
ChIJVRq5MzjhYY0R0ie_CKo4LU0;Macapá/AP;ULTRASSOM HE;Rua Hamilton Silva, SN - Macapá;False;OPERATIONAL;0.0341463;-51.0643927;"[""Não disponível""]";"[""spa"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': 0.03549528029150203, 'lng': -51.0630437197085}, 'southwest': {'lat': 0.03279731970849797, 'lng': -51.0657416802915}}
ChIJv1rjWXLhYY0RN6kwyZPdlMQ;Macapá/AP;mrc marques;Rua Hamilton Silva - Macapá;True;OPERATIONAL;0.0341463;-51.0643927;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': 0.03549528029150203, 'lng': -51.0630437197085}, 'southwest': {'lat': 0.03279731970849797, 'lng': -51.0657416802915}}
ChIJ97yylP3gYY0RvfZ6ifwS_9w;Macapá/AP;Consultório Dentário Dra Anna Rosa Malcher;Avenida Mendonça Júnior, 1747 - A - Central, Macapá;True;OPERATIONAL;0.0340509;-51.06577129999999;"[""segunda-feira: 08:00 – 11:30, 14:00 – 18:00"", ""terça-feira: 08:00 – 11:30, 14:00 – 18:00"", ""quarta-feira: 08:00 – 11:30, 14:00 – 18:00"", ""quinta-feira: 08:00 – 11:30, 14:00 – 18:00"", ""sexta-feira: 08:00 – 11:30, 14:00 – 18:00"", ""sábado: 09:00 – 12:00"", ""domingo: Fechado""]";"[""dentist"", ""doctor"", ""health"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': 0.03549908029150203, 'lng': -51.06441411970849}, 'southwest': {'lat': 0.03280111970849797, 'lng': -51.06711208029149}}
