id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJNSAlKQCNf5ERnF2ckrOdsDE;Rio Branco/AC;Chatêau In Acre;Ramal 2, 179 - Centro, Rio Branco;False;OPERATIONAL;-10.0132746;-67.8126935;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -10.0119377697085, 'lng': -67.81141786970849}, 'southwest': {'lat': -10.0146357302915, 'lng': -67.8141158302915}}
ChIJC6ZIfoONf5ER9GcOnVNfFx8;Rio Branco/AC;AÇO NORTE;Estrada do amapa, Avenida Praia do Amapá, 1280, Rio Branco;False;OPERATIONAL;-10.0143763;-67.8115129;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -10.0131665197085, 'lng': -67.8100433697085}, 'southwest': {'lat': -10.0158644802915, 'lng': -67.8127413302915}}
ChIJI2CAVICNf5ERIhMxhEkgTz0;Rio Branco/AC;Novo Oeste Representaçoes e Logistica.Batavo Elege;Estrada do Amapá, 1312, Rio Branco;True;OPERATIONAL;-10.0146118;-67.8119074;"[""segunda-feira: 07:00 – 17:00"", ""terça-feira: 07:00 – 17:00"", ""quarta-feira: 07:00 – 17:00"", ""quinta-feira: 07:00 – 17:00"", ""sexta-feira: 07:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -10.0132938697085, 'lng': -67.81058981970848}, 'southwest': {'lat': -10.0159918302915, 'lng': -67.8132877802915}}
ChIJB1QyyYGNf5ERet4Rg52F-FU;Rio Branco/AC;FP Movéis planejados;220, Rio Branco;False;CLOSED_TEMPORARILY;-10.0139065;-67.81041859999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -10.0125602697085, 'lng': -67.8090673197085}, 'southwest': {'lat': -10.0152582302915, 'lng': -67.81176528029151}}
ChIJCaEcKQCNf5ERXAgcGLZ_eg4;Rio Branco/AC;Chatêau In Acre;Rod. Br 364 Ac, 1705 - Loteamento Praia do Amapá, Rio Branco;False;OPERATIONAL;-10.0148785;-67.8117515;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -10.0135201197085, 'lng': -67.8103910197085}, 'southwest': {'lat': -10.0162180802915, 'lng': -67.81308898029151}}
ChIJLXj_xdSNf5ERhawcFo8-gQk;Rio Branco/AC;Atacadão do Gesso - Placas para forro e divisórias;Via Verde, 120 - Loteamento Praia do Amapá, Rio Branco;True;OPERATIONAL;-10.0137861;-67.81020579999999;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 13:00"", ""domingo: Fechado""]";"[""store"", ""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -10.0124121197085, 'lng': -67.80887626970849}, 'southwest': {'lat': -10.0151100802915, 'lng': -67.8115742302915}}
ChIJ04IzAKuNf5ERMJ_r2c-0cB0;Rio Branco/AC;Petrolub Lubrificantes - AC;Via Verde, 1090 - Bairro Praia do Amapá, Rio Branco;False;OPERATIONAL;-10.0130692;-67.8100442;"[""segunda-feira: 07:30 – 12:00, 14:00 – 17:30"", ""terça-feira: 07:30 – 12:00, 14:00 – 17:30"", ""quarta-feira: 07:30 – 12:00, 14:00 – 17:30"", ""quinta-feira: 07:30 – 12:00, 14:00 – 17:30"", ""sexta-feira: 07:30 – 12:00, 14:00 – 17:30"", ""sábado: 07:30 – 12:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -10.0118940197085, 'lng': -67.80853946970849}, 'southwest': {'lat': -10.0145919802915, 'lng': -67.8112374302915}}
ChIJR96Y6wmNf5ER3Mjwnef0N6Y;Rio Branco/AC;Sana Distribuidora;Via Verde, n 1090 - Bairro Praia do Amapá, Rio Branco;False;OPERATIONAL;-10.0130692;-67.8100442;"[""segunda-feira: 07:30 – 17:30"", ""terça-feira: 07:30 – 17:30"", ""quarta-feira: 07:30 – 12:00"", ""quinta-feira: 07:30 – 17:30"", ""sexta-feira: 07:30 – 17:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -10.0118940197085, 'lng': -67.80853946970849}, 'southwest': {'lat': -10.0145919802915, 'lng': -67.8112374302915}}
ChIJ5VlLxYGNf5ERgpwtiktVhaE;Rio Branco/AC;Banco24Horas;Rodovia BR 364, Sentido Porto Velho, 66 - Belo Jardim (corrente), Rio Branco;False;OPERATIONAL;-10.013603;-67.810036;"[""Não disponível""]";"[""atm"", ""finance"", ""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -10.0122635197085, 'lng': -67.80867956970849}, 'southwest': {'lat': -10.0149614802915, 'lng': -67.8113775302915}}
ChIJb-Tj2oGNf5ERI4-C-hUFPwM;Rio Branco/AC;Varig;BR-364, 18, Rio Branco;False;OPERATIONAL;-10.0135102;-67.80991490000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -10.0121705197085, 'lng': -67.80855846970849}, 'southwest': {'lat': -10.0148684802915, 'lng': -67.81125643029151}}
ChIJoXD52oGNf5ERmcRPHv53aHA;Rio Branco/AC;Madeireira Yunes;Rodovia BR 364 - AC - s/n lt 2 S 7, Rio Branco;True;OPERATIONAL;-10.0135189;-67.809867;"[""segunda-feira: 07:00 – 17:30"", ""terça-feira: 07:00 – 17:30"", ""quarta-feira: 07:00 – 17:30"", ""quinta-feira: 07:00 – 17:30"", ""sexta-feira: 07:00 – 17:30"", ""sábado: 07:00 – 12:00"", ""domingo: Fechado""]";"[""store"", ""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -10.0121509197085, 'lng': -67.8085331697085}, 'southwest': {'lat': -10.0148488802915, 'lng': -67.81123113029152}}
ChIJgT352oGNf5ERpNKW9YsxCxw;Rio Branco/AC;Associação dos Docentes da Universidade Federal do Acre;5, Rio Branco;False;OPERATIONAL;-10.013515;-67.809862;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -10.0121470197085, 'lng': -67.8085280697085}, 'southwest': {'lat': -10.0148449802915, 'lng': -67.81122603029151}}
