id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ0f5cLI6Mf5ERZyvGAIOSDlw;Rio Branco/AC;Escola Ponto Com Informática;Rua: Benjamin Constant, 863 - centro - Centro, Rio Branco;True;OPERATIONAL;-9.9748839;-67.8076215;"[""segunda-feira: 07:30 – 17:00"", ""terça-feira: 07:30 – 17:00"", ""quarta-feira: 07:30 – 17:00"", ""quinta-feira: 07:30 – 17:00"", ""sexta-feira: 07:30 – 17:00"", ""sábado: 07:30 – 17:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -9.973467919708497, 'lng': -67.8063015697085}, 'southwest': {'lat': -9.9761658802915, 'lng': -67.8089995302915}}
ChIJYV_ysU2Pf5ERI9MaGX95ukI;Rio Branco/AC;Meu Dentista;Rua Benjamin Constant, 863 - Centro, Rio Branco;True;OPERATIONAL;-9.9749284;-67.80763449999999;"[""segunda-feira: 07:00 – 18:00"", ""terça-feira: 07:00 – 18:00"", ""quarta-feira: 07:00 – 18:00"", ""quinta-feira: 07:00 – 18:00"", ""sexta-feira: 07:00 – 18:00"", ""sábado: 08:00 – 14:00"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -9.973495919708498, 'lng': -67.80632171970849}, 'southwest': {'lat': -9.976193880291502, 'lng': -67.80901968029151}}
ChIJgwWj2f-Mf5ERGKsjzM6N_RQ;Rio Branco/AC;Kalliny Comunicações e Tecnologia;Rua Benjamin Constant, 863 - Centro, Rio Branco;True;OPERATIONAL;-9.9749454;-67.807627;"[""segunda-feira: 08:00 – 19:00"", ""terça-feira: 08:00 – 19:00"", ""quarta-feira: 08:00 – 19:00"", ""quinta-feira: 08:00 – 19:00"", ""sexta-feira: 08:00 – 19:00"", ""sábado: 08:00 – 16:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -9.973504369708495, 'lng': -67.80631791970849}, 'southwest': {'lat': -9.9762023302915, 'lng': -67.8090158802915}}
ChIJebt9i6qNf5ERLlZhoZ5Tgu0;Rio Branco/AC;Agibank;Rua Benjamin Constant, 863 - Centro, Rio Branco;True;OPERATIONAL;-9.974955099999999;-67.80761919999999;"[""segunda-feira: 08:30 – 17:45"", ""terça-feira: 08:30 – 17:45"", ""quarta-feira: 08:30 – 17:45"", ""quinta-feira: 08:30 – 17:45"", ""sexta-feira: 08:30 – 17:45"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""finance"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -9.973508569708498, 'lng': -67.80631246970849}, 'southwest': {'lat': -9.976206530291503, 'lng': -67.80901043029151}}
ChIJRwRZooeNf5ERjrJtIUpZjzc;Rio Branco/AC;Make e Biju;Rua Benjamin Constant, 863 - Centro, Rio Branco;True;OPERATIONAL;-9.9749398;-67.807653;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 18:00"", ""domingo: Fechado""]";"[""store"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -9.973505769708497, 'lng': -67.80634086970849}, 'southwest': {'lat': -9.976203730291502, 'lng': -67.8090388302915}}
ChIJ0f5cLI6Mf5ERaHlDMH74QeQ;Rio Branco/AC;Couro Fino;Rua Benjamin Constant, 847 - Centro, Rio Branco;False;OPERATIONAL;-9.974899299999999;-67.80749879999999;"[""Não disponível""]";"[""store"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -9.973454969708499, 'lng': -67.80619111970849}, 'southwest': {'lat': -9.976152930291503, 'lng': -67.80888908029151}}
ChIJo59iexWNf5ERZ2juwYOS7jA;Rio Branco/AC;Keila Modas;Rua Benjamin Constant, 847 - Centro, Rio Branco;True;OPERATIONAL;-9.974908000000001;-67.80749;"[""segunda-feira: 08:00 – 17:30"", ""terça-feira: 08:00 – 17:30"", ""quarta-feira: 08:00 – 17:30"", ""quinta-feira: 08:00 – 17:30"", ""sexta-feira: 08:00 – 17:30"", ""sábado: 08:00 – 17:30"", ""domingo: Fechado""]";"[""clothing_store"", ""store"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -9.9734584197085, 'lng': -67.80618461970849}, 'southwest': {'lat': -9.976156380291505, 'lng': -67.8088825802915}}
ChIJPQTK2P-Mf5ER2ajQbEVYZ0E;Rio Branco/AC;Caixa;Rua Benjamin Constant, 825 - Centro, Rio Branco;False;OPERATIONAL;-9.974755499999999;-67.8073759;"[""segunda-feira: 08:00 – 13:00"", ""terça-feira: 08:00 – 13:00"", ""quarta-feira: 08:00 – 13:00"", ""quinta-feira: 08:00 – 13:00"", ""sexta-feira: 08:00 – 13:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""bank"", ""finance"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -9.973350119708495, 'lng': -67.8060513697085}, 'southwest': {'lat': -9.9760480802915, 'lng': -67.8087493302915}}
ChIJgQbC2f-Mf5ER5wfoN6aKmzI;Rio Branco/AC;Parque Estadual Chandless;Rua Benjamin Constant, 856 - Centro, Rio Branco;False;OPERATIONAL;-9.9746335;-67.80765749999999;"[""Não disponível""]";"[""park"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -9.973329819708496, 'lng': -67.8062888697085}, 'southwest': {'lat': -9.976027780291501, 'lng': -67.8089868302915}}
ChIJo4gLMPaNf5ER61plgyV2UMw;Rio Branco/AC;Mundo das utilidades;Rua Benjamin Constant, 887 - Centro, Rio Branco;True;OPERATIONAL;-9.9750899;-67.80781739999999;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 18:00"", ""domingo: Fechado""]";"[""furniture_store"", ""home_goods_store"", ""store"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -9.973621619708497, 'lng': -67.80652011970848}, 'southwest': {'lat': -9.976319580291502, 'lng': -67.80921808029149}}
