id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJd5brBXYQbJIRL1Et9-1vP3c;Manaus/AM;E2 / Ponto 1 - Sentido Bairro;Brazil;False;OPERATIONAL;-3.0811414;-60.0265963;"[""Não disponível""]";"[""transit_station"", ""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -3.079792469708498, 'lng': -60.0252168697085}, 'southwest': {'lat': -3.082490430291502, 'lng': -60.02791483029151}}
ChIJ_5DwfQARbJIRqHXq9MUU2k4;Manaus/AM;Estação de Transferência 2 (Estação Arena);Avenida Constantino Nery - Flores, Manaus;True;OPERATIONAL;-3.0813009;-60.0266344;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -3.079951619708498, 'lng': -60.02532726970849}, 'southwest': {'lat': -3.082649580291502, 'lng': -60.0280252302915}}
ChIJv8Zo-3UQbJIRr57RMZWEAKY;Manaus/AM;E2 / Ponto 1 - Alimentadoras;Brazil;False;OPERATIONAL;-3.0809484;-60.0266947;"[""Não disponível""]";"[""transit_station"", ""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -3.079599419708498, 'lng': -60.0253373697085}, 'southwest': {'lat': -3.082297380291502, 'lng': -60.0280353302915}}
ChIJHeOYEHYQbJIR_uAiWxJ5wks;Manaus/AM;E2 / Ponto 2 - Sentido Bairro;Brazil;False;OPERATIONAL;-3.080897;-60.0267052;"[""Não disponível""]";"[""transit_station"", ""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -3.079549369708498, 'lng': -60.02533486970848}, 'southwest': {'lat': -3.082247330291502, 'lng': -60.02803283029149}}
ChIJA2i9GnYQbJIRttPntNJIBxU;Manaus/AM;E2 / Ponto 2 - Sentido Bairro;Brazil;False;OPERATIONAL;-3.0807553;-60.0266184;"[""Não disponível""]";"[""transit_station"", ""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -3.079405819708498, 'lng': -60.0252299197085}, 'southwest': {'lat': -3.082103780291502, 'lng': -60.02792788029151}}
ChIJ0fICCXYQbJIRsqgW8SkO98Y;Manaus/AM;E2 / Ponto 2 - Sentido Centro;Brazil;False;OPERATIONAL;-3.0812128;-60.0268557;"[""Não disponível""]";"[""transit_station"", ""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -3.079863819708498, 'lng': -60.02550546970849}, 'southwest': {'lat': -3.082561780291502, 'lng': -60.02820343029151}}
ChIJvZx-GnYQbJIRzfR8NGx-WiQ;Manaus/AM;Amazonlog;5001, Avenida Constantino Nery;False;OPERATIONAL;-3.0806745;-60.0267387;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -3.079326969708498, 'lng': -60.02546511970849}, 'southwest': {'lat': -3.082024930291501, 'lng': -60.02816308029149}}
ChIJ-7Amu6URbJIRpP0nwpkhp_k;Manaus/AM;Fiori Ram Manaus Concessionária;Avenida Constantino Nery, 5272 - Flores, Manaus;True;OPERATIONAL;-3.0816284;-60.02623620000001;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 16:00"", ""domingo: Fechado""]";"[""car_dealer"", ""point_of_interest"", ""store"", ""establishment""]";health_center;{'northeast': {'lat': -3.080208069708499, 'lng': -60.0248878197085}, 'southwest': {'lat': -3.082906030291503, 'lng': -60.02758578029151}}
ChIJH5ATSVUFbJIRW3Ran0VkqfU;Manaus/AM;Fiori Jeep Arena: Concessionária em Manaus AM;Avenida Constantino Nery, 5272 - Flores, Manaus;True;OPERATIONAL;-3.0816284;-60.02623620000001;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 15:00"", ""domingo: Fechado""]";"[""car_dealer"", ""point_of_interest"", ""store"", ""establishment""]";health_center;{'northeast': {'lat': -3.080319169708499, 'lng': -60.02497001970849}, 'southwest': {'lat': -3.083017130291503, 'lng': -60.0276679802915}}
ChIJc5jMEXYQbJIRAI2HMpfCVrQ;Manaus/AM;E2 / Ponto 1 - Sentido Centro;Brazil;False;OPERATIONAL;-3.0807794;-60.0268557;"[""Não disponível""]";"[""transit_station"", ""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -3.079430419708498, 'lng': -60.02550696970849}, 'southwest': {'lat': -3.082128380291501, 'lng': -60.0282049302915}}
ChIJRVtsBXYQbJIRhfeIe81s7mQ;Manaus/AM;E2 / Ponto 3 - Sentido Centro / Ceasa / T2;Brazil;False;OPERATIONAL;-3.0806308;-60.0267208;"[""Não disponível""]";"[""transit_station"", ""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -3.079254919708498, 'lng': -60.02536436970848}, 'southwest': {'lat': -3.081952880291502, 'lng': -60.0280623302915}}
ChIJ5ZTopaYabJIRIZf4AWmY3s4;Manaus/AM;Selva Master Rádio Táxi;Qd C, 1 - Cj Flores, Manaus;False;OPERATIONAL;-3.0806512;-60.0273005;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";health_center;{'northeast': {'lat': -3.079258469708498, 'lng': -60.02589361970848}, 'southwest': {'lat': -3.081956430291502, 'lng': -60.0285915802915}}
