id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ8xrP3ttcMpIRswz-KCVJFXk;Porto Velho/RO;Imuno Rosa Clínica de Vacinas I Porto Velho I RO;Avenida Carlos Gomes, 770 - São Cristóvão, Porto Velho;True;OPERATIONAL;-8.761887199999999;-63.9051742;"[""segunda-feira: 08:00 – 17:30"", ""terça-feira: 08:00 – 17:30"", ""quarta-feira: 08:00 – 17:30"", ""quinta-feira: 08:00 – 17:30"", ""sexta-feira: 08:00 – 17:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""doctor"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.760482369708498, 'lng': -63.90383756970849}, 'southwest': {'lat': -8.763180330291503, 'lng': -63.9065355302915}}
ChIJaZAbkdtcMpIRMesYjw5Z88U;Porto Velho/RO;Fancy Chocolate Store;Rua Dom Pedro II, 697 - São Cristóvão, Porto Velho;False;OPERATIONAL;-8.7625425;-63.904757;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.761303019708498, 'lng': -63.90338406970849}, 'southwest': {'lat': -8.764000980291502, 'lng': -63.9060820302915}}
ChIJ1Rlq3qFdMpIRNywgUXfJNw4;Porto Velho/RO;Clínica de Eletroneuromiografia e Ortopedia;Rua Júlio de Castilho, 604 - 5º andar - Centro, Porto Velho;True;OPERATIONAL;-8.759584099999998;-63.90290390000001;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.758265419708497, 'lng': -63.9016880197085}, 'southwest': {'lat': -8.760963380291502, 'lng': -63.90438598029151}}
ChIJb6sC9NtcMpIRxPy3ZaqtU-0;Porto Velho/RO;Prédio ofice Premium 663;Rua José Bonifácio - Centro, Porto Velho;False;OPERATIONAL;-8.763144800000001;-63.9043848;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.761790419708497, 'lng': -63.90300406970849}, 'southwest': {'lat': -8.764488380291501, 'lng': -63.9057020302915}}
ChIJe23WdyFdMpIRVN3VZq3wvK0;Porto Velho/RO;Clínica Dr Enoch estacionamento;Avenida Campos Sales, 2917 - Centro, Porto Velho;False;OPERATIONAL;-8.7596212;-63.9025267;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.758269269708498, 'lng': -63.90116396970849}, 'southwest': {'lat': -8.760967230291502, 'lng': -63.9038619302915}}
ChIJ_5akJwBdMpIR_I6MRD9do5I;Porto Velho/RO;HOSPITAL CENTRAL;Rua Afonso Pena, 28 - Centro, Porto Velho;False;OPERATIONAL;-8.7635478;-63.90285979999999;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.762148969708498, 'lng': -63.9015219697085}, 'southwest': {'lat': -8.764846930291503, 'lng': -63.9042199302915}}
ChIJUUr2rJKQkggRedjJVvaTcjo;Porto Velho/RO;33 Doctor Porto Velho;Avenida Carlos Gomes, 1214 - São Cristóvão, Porto Velho;True;OPERATIONAL;-8.7611561;-63.9012881;"[""segunda-feira: 07:00 – 17:00"", ""terça-feira: 07:00 – 17:00"", ""quarta-feira: 07:00 – 17:00"", ""quinta-feira: 07:00 – 17:00"", ""sexta-feira: 07:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""doctor"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.759726719708498, 'lng': -63.8999534697085}, 'southwest': {'lat': -8.762424680291502, 'lng': -63.90265143029151}}
ChIJAQAQHttcMpIRB5nZ7LAD1dg;Porto Velho/RO;Saúde Rondônia;Porto shopping - Avenida Carlos Gomes, 1223 - Sala 106 - Centro, Porto Velho;True;OPERATIONAL;-8.7606662;-63.9013111;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.759476369708496, 'lng': -63.89993371970849}, 'southwest': {'lat': -8.7621743302915, 'lng': -63.90263168029151}}
ChIJjVBSftxcMpIR8hCt6rll6JU;Porto Velho/RO;Campos Sales Com Alvaro Maia;Rua Afonso Pena, 76 - Centro, Porto Velho;False;OPERATIONAL;-8.763638;-63.9027797;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.762187819708497, 'lng': -63.90145336970851}, 'southwest': {'lat': -8.7648857802915, 'lng': -63.90415133029152}}
ChIJB0XkhtxcMpIRWvXGfZ80bPk;Porto Velho/RO;Complexo Hospitalar Central;Rua Júlio de Castilho, 149 - Centro, Porto Velho;True;OPERATIONAL;-8.763571599999999;-63.90263330000001;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.762192969708497, 'lng': -63.9011276197085}, 'southwest': {'lat': -8.764890930291502, 'lng': -63.9038255802915}}
