id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJRx0958BcMpIRtTCJ8gT8jYo;Porto Velho/RO;INSTRUAUD - REMOÇÃO DE AMBULÂNCIA, HOME CARE, AUDITORIA, TRATAMENTO DE FERIDAS...;Rua Guanabara, 1315 - Nossa Senhora das Graças, Porto Velho;True;OPERATIONAL;-8.7636932;-63.8901963;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.762329069708498, 'lng': -63.8887667697085}, 'southwest': {'lat': -8.765027030291503, 'lng': -63.89146473029151}}
ChIJqXIyTcFcMpIRmWLqWj-aZoo;Porto Velho/RO;COF - Clinica de Ortopedia e Fraturas;Avenida Sete de Setembro, 1922 - Nossa Senhora das Graças, Porto Velho;True;OPERATIONAL;-8.762716499999998;-63.8931166;"[""segunda-feira: 07:30 – 18:00"", ""terça-feira: 07:30 – 18:00"", ""quarta-feira: 07:30 – 18:00"", ""quinta-feira: 07:30 – 18:00"", ""sexta-feira: 07:30 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""doctor"", ""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.761352819708499, 'lng': -63.89177096970849}, 'southwest': {'lat': -8.764050780291502, 'lng': -63.8944689302915}}
ChIJDwKRL8dcMpIRP5u8rKR9Qaw;Porto Velho/RO;SESI CLÍNICA PORTO VELHO;Avenida Sete de Setembro, 2263 - Nossa Senhora das Graças, Porto Velho;True;OPERATIONAL;-8.761854;-63.8899384;"[""segunda-feira: 07:30 – 12:00, 13:30 – 18:00"", ""terça-feira: 07:30 – 12:00, 13:30 – 18:00"", ""quarta-feira: 07:30 – 12:00, 13:30 – 18:00"", ""quinta-feira: 07:30 – 12:00, 13:30 – 18:00"", ""sexta-feira: 07:00 – 12:00, 13:30 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.760565669708498, 'lng': -63.88857556970849}, 'southwest': {'lat': -8.763263630291503, 'lng': -63.89127353029151}}
ChIJ46XmEMdcMpIRyD00ECh7QN0;Porto Velho/RO;Rio Preto Assist Med e Hospit Ltda Cliente Portooo;Rua Afonso Pena, 1542 - Nossa Senhora das Graças, Porto Velho;False;OPERATIONAL;-8.760855000000001;-63.8897677;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.759409419708499, 'lng': -63.88844141970851}, 'southwest': {'lat': -8.762107380291503, 'lng': -63.89113938029151}}
ChIJj9nmFMdcMpIRITzQRWGcSKk;Porto Velho/RO;INAO Prestadora de Serviços Médicos e Diagnósticos LTDA;Rua Rafael Vaz e Silva, 1663 - Nossa Senhora das Graças, Porto Velho;True;OPERATIONAL;-8.760693;-63.8892639;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.759319969708496, 'lng': -63.88780996970848}, 'southwest': {'lat': -8.762017930291501, 'lng': -63.8905079302915}}
ChIJv5oCwlhdMpIRtlV1xVPTvRQ;Porto Velho/RO;NEUROCORDIS Rondônia;Anexo ao Hospital PRONTOCORDIS - Rua Marechal Deodoro, 1947 - 3°Andar - Centro, Porto Velho;True;OPERATIONAL;-8.764845099999999;-63.89873619999999;"[""segunda-feira: 08:00 – 12:00, 14:00 – 18:00"", ""terça-feira: 08:00 – 12:00, 14:00 – 18:00"", ""quarta-feira: 08:00 – 12:00, 14:00 – 18:00"", ""quinta-feira: 08:00 – 12:00, 14:00 – 18:00"", ""sexta-feira: 08:00 – 12:00, 14:00 – 18:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.763488019708497, 'lng': -63.89734676970849}, 'southwest': {'lat': -8.7661859802915, 'lng': -63.9000447302915}}
ChIJM50aOsNcMpIRfRJv86iCiPk;Porto Velho/RO;Hospital Prontocordis;Rua Marechal Deodoro, 1947 - Centro, Porto Velho;True;OPERATIONAL;-8.764687899999998;-63.8988011;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.763315619708496, 'lng': -63.89738921970849}, 'southwest': {'lat': -8.766013580291501, 'lng': -63.90008718029151}}
ChIJnbOIqsdcMpIRO3C4_Vfo6M0;Porto Velho/RO;PROCOR - DOUTOR JOSÉ FIGUEIREDO;Rua Dom Pedro II, 2318 - São Cristóvão, Porto Velho;False;OPERATIONAL;-8.7598844;-63.890452;"[""segunda-feira: Fechado"", ""terça-feira: Fechado"", ""quarta-feira: Fechado"", ""quinta-feira: 13:30 – 17:30"", ""sexta-feira: Fechado"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.758444269708498, 'lng': -63.8891224697085}, 'southwest': {'lat': -8.761142230291503, 'lng': -63.89182043029151}}
ChIJJf4cscVcMpIR1uhNsWnQksE;Porto Velho/RO;Hospital Madre Mazzarello;Avenida Carlos Gomes, 2002 - São Cristóvão, Porto Velho;False;OPERATIONAL;-8.759485399999999;-63.8937786;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.758086169708497, 'lng': -63.89243961970849}, 'southwest': {'lat': -8.760784130291501, 'lng': -63.8951375802915}}
ChIJPxNvtAZdMpIR0hWl59pfK4E;Porto Velho/RO;Instituto do Coração de Rondônia;Rua Rafael Vaz e Silva, 1852 - São Cristóvão, Porto Velho;True;OPERATIONAL;-8.759166699999998;-63.8891667;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.757837319708495, 'lng': -63.8879148197085}, 'southwest': {'lat': -8.7605352802915, 'lng': -63.89061278029151}}
ChIJF2ho5L1cMpIRnBdj5AYAz8Y;Porto Velho/RO;Igreja Evangélica Assembléia de Deus Madureira Congregação Geração Eleita;Rua Uruguai, 874 - Embratel, Porto Velho;False;OPERATIONAL;-8.765827999999999;-63.8812563;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.764493019708498, 'lng': -63.87997716970849}, 'southwest': {'lat': -8.767190980291502, 'lng': -63.8826751302915}}
ChIJ1ffvPd1cMpIR-WZohayEJl0;Porto Velho/RO;ASTIR - Associação Tiradentes da Polícia Militar de Rondônia;Avenida Campos Sales, Rua Paulo Leal, 2108 - Areal, Porto Velho;True;OPERATIONAL;-8.765773499999998;-63.9013368;"[""segunda-feira: 07:30 – 17:30"", ""terça-feira: 07:30 – 17:30"", ""quarta-feira: 07:30 – 17:30"", ""quinta-feira: 07:30 – 17:30"", ""sexta-feira: 07:30 – 17:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""dentist"", ""doctor"", ""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.764290319708497, 'lng': -63.90001536970849}, 'southwest': {'lat': -8.766988280291502, 'lng': -63.9027133302915}}
ChIJz3xm2JNdMpIRVNhKLcZaJ0o;Porto Velho/RO;IM Serviços Médicos;Rua Joaquim Nabuco, 2471 - Areal, Porto Velho;False;OPERATIONAL;-8.760014899999998;-63.8986631;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -8.758656419708498, 'lng': -63.8972705697085}, 'southwest': {'lat': -8.761354380291502, 'lng': -63.89996853029151}}
