id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ6cOLcRrhYY0RwoLQQwQk3RQ;Macapá/AP;Pronto Socorro Osvaldo Cruz;Rua Hamilton Silva, 1648 - Trem, Macapá;True;OPERATIONAL;0.0346462;-51.0647517;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': 0.03588308029150204, 'lng': -51.0632091697085}, 'southwest': {'lat': 0.03318511970849797, 'lng': -51.0659071302915}}
ChIJwbcGaiXhYY0RRk295igUT1k;Macapá/AP;Hospital de Emergência Oswaldo Cruz;Rua Hamilton Silva, 139 - Central, Macapá;False;OPERATIONAL;0.0346772;-51.06471309999999;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': 0.03604203029150203, 'lng': -51.0635156197085}, 'southwest': {'lat': 0.03334406970849797, 'lng': -51.0662135802915}}
ChIJvVOgSwDhYY0RgAm3ZBR37Ew;Macapá/AP;Novo Hospital de Emergência - Novo HE;Avenida Padre Júlio Maria Lombaerd - Central, Macapá;False;OPERATIONAL;0.0347752;-51.06570740000001;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': 0.03635778029150203, 'lng': -51.0643417697085}, 'southwest': {'lat': 0.03365981970849797, 'lng': -51.0670397302915}}
ChIJlTdm7JHhYY0R5SVoQqmGyEk;Macapá/AP;AmorSaúde Macapá;Avenida Antônio Coelho de Carvalho, 1399 - Santa Rita, Macapá;True;OPERATIONAL;0.0320076;-51.0638953;"[""segunda-feira: 07:00 – 18:00"", ""terça-feira: 07:00 – 18:00"", ""quarta-feira: 07:00 – 18:00"", ""quinta-feira: 07:00 – 18:00"", ""sexta-feira: 07:00 – 18:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': 0.03349628029150203, 'lng': -51.0625379197085}, 'southwest': {'lat': 0.03079831970849797, 'lng': -51.0652358802915}}
ChIJpUfk5wjhYY0RaoERxLqxfBE;Macapá/AP;ESTETICA ORAL IMPLANT DR JOSELITO S;Avenida Henrique Galucio - Central, Macapá;True;OPERATIONAL;0.0317222;-51.0653347;"[""segunda-feira: 08:00 – 11:00, 14:00 – 18:00"", ""terça-feira: 08:00 – 11:00, 14:00 – 18:00"", ""quarta-feira: 08:00 – 11:00, 14:00 – 18:00"", ""quinta-feira: 08:00 – 11:00, 14:00 – 18:00"", ""sexta-feira: 08:00 – 11:00, 14:00 – 18:00"", ""sábado: 08:00 – 10:00"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': 0.03302188029150203, 'lng': -51.0639883697085}, 'southwest': {'lat': 0.03032391970849796, 'lng': -51.0666863302915}}
ChIJp3tM2RrhYY0RGCeB6GhpUQc;Macapá/AP;Cempro Centro Profissional De Referencia Odontologica;Rua Leopoldo Machado, 1690 - Beirol, Macapá;False;OPERATIONAL;0.03708260000000001;-51.0622204;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': 0.03842828029150204, 'lng': -51.06082386970849}, 'southwest': {'lat': 0.03573031970849798, 'lng': -51.06352183029149}}
ChIJRWzdWgDhYY0RPrtAAxhHJf0;Macapá/AP;Spa Vivace;Avenida Mendonça Furtado, 1925 - Central, Macapá;False;OPERATIONAL;0.03775499999999999;-51.06901370000001;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': 0.03924443029150203, 'lng': -51.0676550697085}, 'southwest': {'lat': 0.03654646970849797, 'lng': -51.0703530302915}}
ChIJD0XzOMjhYY0RFvm5l2jRmLI;Macapá/AP;Evolution;Avenida Duque de Caxias, 1143 - Central, Macapá;True;OPERATIONAL;0.0395038;-51.0665537;"[""segunda-feira: 08:00 – 19:00"", ""terça-feira: 08:00 – 19:00"", ""quarta-feira: 08:00 – 19:00"", ""quinta-feira: 08:00 – 19:00"", ""sexta-feira: 08:00 – 20:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': 0.04092293029150204, 'lng': -51.06519976970851}, 'southwest': {'lat': 0.03822496970849797, 'lng': -51.06789773029151}}
ChIJETw6JqfhYY0Rzp5CBkGBR0E;Macapá/AP;Unidade Básica de Saúde - Projeto Rnis;Rua Professor Tostes, 2200 - Central, Macapá;False;OPERATIONAL;0.0301781;-51.0689573;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': 0.03152273029150203, 'lng': -51.06755246970851}, 'southwest': {'lat': 0.02882476970849797, 'lng': -51.0702504302915}}
ChIJRQUYexrhYY0ROeejwN6iPuo;Macapá/AP;Pronto Atendimento Infantil - PAI;Avenida Fab, 80 - Central, Macapá;True;OPERATIONAL;0.0402277;-51.06052330000001;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': 0.04175483029150204, 'lng': -51.0589141197085}, 'southwest': {'lat': 0.03905686970849797, 'lng': -51.0616120802915}}
