id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJYXj_t9tcMpIR8x_oKRdvooo;Porto Velho/RO;Avenida Carlos Gomes, 952, Caiari, Porto Velho - RO, 78900-030, Brasil;Brazil;False;OPERATIONAL;-8.7614474;-63.9039308;"[""Não disponível""]";"[""transit_station"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.760127469708499, 'lng': -63.90257581970849}, 'southwest': {'lat': -8.762825430291503, 'lng': -63.9052737802915}}
ChIJxVQPuNtcMpIRqEhn3PPfzOM;Porto Velho/RO;Ponto De Ônibus;Avenida Carlos Gomes, 791-901 - São Cristóvão, Porto Velho;True;OPERATIONAL;-8.7614886;-63.9039194;"[""segunda-feira: 08:00 – 00:00"", ""terça-feira: 08:00 – 00:00"", ""quarta-feira: 08:00 – 00:00"", ""quinta-feira: 08:00 – 00:00"", ""sexta-feira: 08:00 – 00:00"", ""sábado: 08:00 – 00:00"", ""domingo: 08:00 – 00:00""]";"[""travel_agency"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.760126969708496, 'lng': -63.90257301970849}, 'southwest': {'lat': -8.762824930291501, 'lng': -63.9052709802915}}
ChIJj_V56sdcMpIR4j_UOgpq8Lk;Porto Velho/RO;Kicão Lanches;Avenida Carlos Gomes - Centro, Porto Velho;False;OPERATIONAL;-8.761351399999999;-63.9036248;"[""segunda-feira: Fechado"", ""terça-feira: 17:30 – 23:30"", ""quarta-feira: 17:30 – 23:30"", ""quinta-feira: 17:30 – 23:30"", ""sexta-feira: 17:30 – 23:30"", ""sábado: 17:30 – 23:30"", ""domingo: 17:30 – 23:30""]";"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.760048769708497, 'lng': -63.90226616970849}, 'southwest': {'lat': -8.762746730291502, 'lng': -63.9049641302915}}
ChIJIcSA-p9dMpIRfR8hQivRRvM;Porto Velho/RO;Complexo Esportivo 17° Batalhão Logístico de Selva;Rua José Bonifácio, 495 - Caiari, Porto Velho;False;OPERATIONAL;-8.7609644;-63.90425239999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.759666869708498, 'lng': -63.90314656970849}, 'southwest': {'lat': -8.762364830291503, 'lng': -63.9058445302915}}
ChIJr1odxdtcMpIR04WSoFk5OFA;Porto Velho/RO;Kuka Neném;Avenida Carlos Gomes, 969 - Centro, Porto Velho;True;OPERATIONAL;-8.761327099999997;-63.90346210000001;"[""segunda-feira: 09:30 – 18:00"", ""terça-feira: 09:30 – 18:00"", ""quarta-feira: 09:30 – 18:00"", ""quinta-feira: 09:30 – 18:00"", ""sexta-feira: 09:30 – 18:00"", ""sábado: 09:30 – 18:00"", ""domingo: Fechado""]";"[""clothing_store"", ""store"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.760020219708496, 'lng': -63.9021043197085}, 'southwest': {'lat': -8.7627181802915, 'lng': -63.90480228029151}}
ChIJr1odxdtcMpIRe0dRcrFtpH0;Porto Velho/RO;Advocacia Carlos Troncoso Naza Pereira e Advogados Associados;Avenida Carlos Gomes, 969 - andar 1 - Centro, Porto Velho;True;OPERATIONAL;-8.761327099999997;-63.90346210000001;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""lawyer"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.760020219708496, 'lng': -63.9021043197085}, 'southwest': {'lat': -8.7627181802915, 'lng': -63.90480228029151}}
ChIJ5ze8s9tcMpIRmHKbhZ64_8E;Porto Velho/RO;Dr. Greico Fabio Camurça Grabner;Rua Gonçalves Dias, 438 - Centro, Porto Velho;False;OPERATIONAL;-8.7609973;-63.90346690000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.759674069708497, 'lng': -63.90223881970849}, 'southwest': {'lat': -8.762372030291502, 'lng': -63.90493678029151}}
ChIJXQiGsINdMpIRVOacaBOzwkA;Porto Velho/RO;Dra. Scrubs e Jalecos;Avenida Carlos Gomes, 971 - Centro, Porto Velho;True;OPERATIONAL;-8.761194699999999;-63.90341180000001;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: 09:30 – 13:00"", ""domingo: Fechado""]";"[""clothing_store"", ""store"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.759946419708497, 'lng': -63.90204181970851}, 'southwest': {'lat': -8.7626443802915, 'lng': -63.90473978029151}}
ChIJlxV9nfFcMpIRojZJIX1v8mQ;Porto Velho/RO;Arquidiocese de Porto Velho;Avenida Carlos Gomes, 964 - Centro, Porto Velho;False;OPERATIONAL;-8.761679599999999;-63.9037788;"[""Não disponível""]";"[""place_of_worship"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.7602344197085, 'lng': -63.90244971970849}, 'southwest': {'lat': -8.762932380291504, 'lng': -63.90514768029151}}
ChIJL-rks9tcMpIRPJ6qWddI0pw;Porto Velho/RO;Infinita Saúde - Porto Velho;Rua Gonçalves Dias, 438 - Centro, Porto Velho;True;OPERATIONAL;-8.7609801;-63.90343480000001;"[""segunda-feira: 07:00 – 19:00"", ""terça-feira: 07:00 – 19:00"", ""quarta-feira: 07:00 – 19:00"", ""quinta-feira: 07:00 – 19:00"", ""sexta-feira: 07:00 – 19:00"", ""sábado: 07:00 – 11:30"", ""domingo: Fechado""]";"[""doctor"", ""health"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.759649369708496, 'lng': -63.9022262697085}, 'southwest': {'lat': -8.762347330291501, 'lng': -63.90492423029151}}
ChIJufWgfEpdMpIR8jlEjgveHyA;Porto Velho/RO;Doutor Hérnia - Unidade Porto Velho;Avenida Carlos Gomes, 981 - Centro, Porto Velho;True;OPERATIONAL;-8.7612092;-63.90334249999999;"[""segunda-feira: 08:00 – 20:00"", ""terça-feira: 08:00 – 20:00"", ""quarta-feira: 08:00 – 20:00"", ""quinta-feira: 08:00 – 20:00"", ""sexta-feira: 08:00 – 20:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""physiotherapist"", ""health"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.759947219708497, 'lng': -63.90197536970848}, 'southwest': {'lat': -8.762645180291502, 'lng': -63.90467333029149}}
ChIJjxxViZpdMpIRWodzJYKBMvM;Porto Velho/RO;Ybirá Digital;Avenida Carlos Gomes, 981 - Sala 3 - Centro, Porto Velho;True;OPERATIONAL;-8.7612092;-63.90334249999999;"[""segunda-feira: 08:00 – 18:30"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.759947219708497, 'lng': -63.90197536970848}, 'southwest': {'lat': -8.762645180291502, 'lng': -63.90467333029149}}
ChIJq6q6sdtcMpIRf4bz01Vx5y8;Porto Velho/RO;Instituto VIVA Porto Velho;Avenida Carlos Gomes, 981 - Centro, Porto Velho;True;OPERATIONAL;-8.7612092;-63.90334249999999;"[""segunda-feira: 14:00 – 18:00"", ""terça-feira: 14:00 – 18:00"", ""quarta-feira: 14:00 – 18:00"", ""quinta-feira: 14:00 – 18:00"", ""sexta-feira: 14:00 – 18:00"", ""sábado: 14:00 – 22:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.759947219708497, 'lng': -63.90197536970848}, 'southwest': {'lat': -8.762645180291502, 'lng': -63.90467333029149}}
ChIJlyu_GwBdMpIRjUr3oSQyoMM;Porto Velho/RO;Morena shay;Avenida Carlos Gomes, 991 - São Cristóvão, Porto Velho;False;OPERATIONAL;-8.761180999999999;-63.90332600000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.759930919708497, 'lng': -63.9019564197085}, 'southwest': {'lat': -8.762628880291501, 'lng': -63.9046543802915}}
ChIJixAPuNtcMpIRSsOnC46i0zA;Porto Velho/RO;Centro Odontologico;Avenida Carlos Gomes, 991 - Centro, Porto Velho;False;OPERATIONAL;-8.761180999999999;-63.90332600000001;"[""Não disponível""]";"[""dentist"", ""health"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.759930919708497, 'lng': -63.9019564197085}, 'southwest': {'lat': -8.762628880291501, 'lng': -63.9046543802915}}
ChIJ0_9vdtNdMpIRo_V5INDcgBI;Porto Velho/RO;Igreja VIVA;Avenida Carlos Gomes, 981 - Centro, Porto Velho;False;OPERATIONAL;-8.7612644;-63.9033107;"[""segunda-feira: Fechado"", ""terça-feira: Fechado"", ""quarta-feira: Fechado"", ""quinta-feira: Fechado"", ""sexta-feira: Fechado"", ""sábado: Fechado"", ""domingo: 18:30 – 20:00""]";"[""church"", ""place_of_worship"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -8.759972669708498, 'lng': -63.90194906970849}, 'southwest': {'lat': -8.762670630291503, 'lng': -63.9046470302915}}
