id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ3xlyUKWLpJIRNe6yGNkp3WA;Belém/PA;Rg Produtora Audiovisual;Alameda Cristal - Sacramenta, Belém;False;OPERATIONAL;-1.4160255;-48.47261679999999;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -1.414678469708498, 'lng': -48.4712704697085}, 'southwest': {'lat': -1.417376430291502, 'lng': -48.47396843029149}}
ChIJST0ILZGNpJIRTqFGm9p-bxg;Belém/PA;Conselho Setorial Audiovisual;Passagem Professora Antônia Nunes, 310 - Fátima, Belém;False;OPERATIONAL;-1.4454515;-48.4747887;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -1.444106419708498, 'lng': -48.4734270197085}, 'southwest': {'lat': -1.446804380291502, 'lng': -48.47612498029149}}
ChIJQemiixaLpJIRkfGIYr09Sqw;Belém/PA;UCI Cinemas;Shopping Bosque Grão-Pará, Avenida Mangueirão, 1986 - Loja 2001 - Val-de-Cans, Belém;False;OPERATIONAL;-1.3890015;-48.4646693;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -1.387494869708498, 'lng': -48.46336581970849}, 'southwest': {'lat': -1.390192830291502, 'lng': -48.46606378029149}}
ChIJjUTnlpeOpJIRqWf76KjDvxE;Belém/PA;Cinépolis;Avenida Visconde de Souza Franco, 776 - 501 - Reduto, Belém;False;OPERATIONAL;-1.4460113;-48.4893188;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -1.444754019708498, 'lng': -48.4878610197085}, 'southwest': {'lat': -1.447451980291502, 'lng': -48.4905589802915}}
ChIJBfY_k5eOpJIRKDa3KH_FlI4;Belém/PA;FastFrame | Moldura na Hora - Belém II;Avenida Visconde de Souza Franco, 776 - Umarizal, Belém;True;OPERATIONAL;-1.4461566;-48.4893587;"[""segunda-feira: 10:00 – 22:00"", ""terça-feira: 10:00 – 22:00"", ""quarta-feira: 10:00 – 22:00"", ""quinta-feira: 10:00 – 22:00"", ""sexta-feira: 10:00 – 22:00"", ""sábado: 10:00 – 22:00"", ""domingo: 14:00 – 21:00""]";"[""store"", ""movie_theater"", ""home_goods_store"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -1.444864219708498, 'lng': -48.4879022197085}, 'southwest': {'lat': -1.447562180291502, 'lng': -48.49060018029149}}
ChIJE1n1tZyOpJIRHU7RgTXOiwI;Belém/PA;Cine Ópera;Avenida Nª Senhora de Nazaré, 1167 - Nazaré, Belém;True;OPERATIONAL;-1.4520422;-48.48238669999999;"[""segunda-feira: 13:00 – 20:00"", ""terça-feira: 13:00 – 20:00"", ""quarta-feira: 13:00 – 20:00"", ""quinta-feira: 13:00 – 20:00"", ""sexta-feira: 13:00 – 20:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -1.450778419708498, 'lng': -48.4810360197085}, 'southwest': {'lat': -1.453476380291502, 'lng': -48.4837339802915}}
ChIJFyzDmgaLpJIR_Nq-R6SWi2c;Belém/PA;Moviecom Cinemas;BR-316, km01 - Castanheira, Belém;True;OPERATIONAL;-1.4027608;-48.43057990000001;"[""segunda-feira: 12:00 – 22:00"", ""terça-feira: 12:00 – 22:00"", ""quarta-feira: 12:00 – 22:00"", ""quinta-feira: 12:00 – 22:00"", ""sexta-feira: 12:00 – 22:00"", ""sábado: 12:00 – 22:00"", ""domingo: 12:00 – 22:00""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -1.401409619708498, 'lng': -48.42896141970851}, 'southwest': {'lat': -1.404107580291502, 'lng': -48.43165938029151}}
ChIJr5r9kzSMpJIRN6jgGkLPGws;Belém/PA;Matheus Souza Fotografia - Foto e Vídeo - Belém;CJ Alacid Nunes, SN - Guamá, Belém;True;OPERATIONAL;-1.4571043;-48.4629126;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -1.455760419708498, 'lng': -48.4616016197085}, 'southwest': {'lat': -1.458458380291502, 'lng': -48.46429958029149}}
ChIJw6W_y1KPpJIRU03lm7pcnsc;Belém/PA;Pub Cine Aventura;Avenida Gentil Bittencourt, 1041 - Nazaré, Belém;True;OPERATIONAL;-1.455198;-48.483142;"[""segunda-feira: 13:00 – 22:00"", ""terça-feira: 13:00 – 22:00"", ""quarta-feira: 13:00 – 22:00"", ""quinta-feira: 13:00 – 22:00"", ""sexta-feira: 13:00 – 22:00"", ""sábado: 13:00 – 22:00"", ""domingo: Fechado""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -1.453920619708498, 'lng': -48.48178221970851}, 'southwest': {'lat': -1.456618580291502, 'lng': -48.4844801802915}}
ChIJq2vvfoaOpJIR4CGj6ceUZns;Belém/PA;Cine Líbero Luxardo;Avenida Gentil Bittencourt, 650 - Nazaré, Belém;False;OPERATIONAL;-1.4559334;-48.4864809;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -1.454533319708498, 'lng': -48.4851394197085}, 'southwest': {'lat': -1.457231280291502, 'lng': -48.4878373802915}}
