id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJH3xXNIkQbJIRwah8bJyyW-g;Manaus/AM;Euros;Rua C 1, 367 - Alvorada, Manaus;False;OPERATIONAL;-3.0644009;-60.0415774;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -3.063050669708498, 'lng': -60.0402274197085}, 'southwest': {'lat': -3.065748630291501, 'lng': -60.04292538029151}}
ChIJPXq_AvMRbJIReVrABqjP1Hs;Manaus/AM;Museu Internacional do Esporte;Rua Jornalista Flaviano Limongi - Flores, Manaus;False;OPERATIONAL;-3.083794399999999;-60.02916010000001;"[""segunda-feira: 13:00 – 17:00"", ""terça-feira: 13:00 – 17:00"", ""quarta-feira: 13:00 – 17:00"", ""quinta-feira: 13:00 – 17:00"", ""sexta-feira: 13:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -3.082445369708498, 'lng': -60.0278448697085}, 'southwest': {'lat': -3.085143330291502, 'lng': -60.03054283029151}}
ChIJiWFyJr8PbJIRLDIsW7KgxSc;Manaus/AM;Antiga Represa da Cachoeira Grande;São Geraldo, Manaus;False;OPERATIONAL;-3.1054471;-60.0290544;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -3.104310269708498, 'lng': -60.02746756970849}, 'southwest': {'lat': -3.107008230291502, 'lng': -60.0301655302915}}
ChIJLfg9mEQPbJIRczJDpjttXZg;Manaus/AM;RODRIGO BRINQUEDOS;Rua Solimões - São Raimundo, Manaus;True;OPERATIONAL;-3.119046999999999;-60.0388295;"[""segunda-feira: 07:00 – 21:00"", ""terça-feira: 07:00 – 20:00"", ""quarta-feira: 07:00 – 21:00"", ""quinta-feira: 07:00 – 21:00"", ""sexta-feira: 07:00 – 21:00"", ""sábado: 07:00 – 21:00"", ""domingo: 07:00 – 20:30""]";"[""museum"", ""store"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -3.117751819708498, 'lng': -60.03749056970849}, 'southwest': {'lat': -3.120449780291501, 'lng': -60.0401885302915}}
ChIJ8cuiYG8FbJIRbdZc5gPTrsg;Manaus/AM;Museu das Ilusões - Manauara Shopping;Avenida Mário Ypiranga, 1300 - Adrianópolis, Manaus;True;OPERATIONAL;-3.1035827;-60.01282619999999;"[""segunda-feira: Fechado"", ""terça-feira: 10:00 – 22:00"", ""quarta-feira: 10:00 – 22:00"", ""quinta-feira: 10:00 – 22:00"", ""sexta-feira: 10:00 – 22:00"", ""sábado: 10:00 – 22:00"", ""domingo: 14:00 – 21:00""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -3.102628099999999, 'lng': -60.0088976}, 'southwest': {'lat': -3.1053677, 'lng': -60.01425439999998}}
ChIJMdFwTfwFbJIRpCxDrgmuVUc;Manaus/AM;Museu Amazônico - UFAM;Avenida Ramos Ferreira, 1036 - Centro, Manaus;False;OPERATIONAL;-3.1282518;-60.0222916;"[""segunda-feira: 08:00 – 12:00, 13:00 – 16:00"", ""terça-feira: 08:00 – 12:00, 13:00 – 16:00"", ""quarta-feira: 08:00 – 12:00, 13:00 – 16:00"", ""quinta-feira: 08:00 – 12:00, 13:00 – 16:00"", ""sexta-feira: 08:00 – 12:00, 13:00 – 16:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -3.126849119708499, 'lng': -60.02094181970849}, 'southwest': {'lat': -3.129547080291502, 'lng': -60.0236397802915}}
ChIJw5jiZ30FbJIRasC-aXLgMZI;Manaus/AM;Museu da Casa Eduardo Ribeiro;Rua José Clemente, 322 - Centro, Manaus;False;CLOSED_TEMPORARILY;-3.1307278;-60.02541220000001;"[""Não disponível""]";"[""museum"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -3.129331569708498, 'lng': -60.0240624197085}, 'southwest': {'lat': -3.132029530291502, 'lng': -60.02676038029151}}
ChIJA6UAZcYFbJIRfvtHwt4XP7o;Manaus/AM;Museu dos Capuchinhos do Amazonas e Roraima;Rua Tapajós, 64 - Centro, Manaus;False;CLOSED_TEMPORARILY;-3.129324;-60.022566;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -3.127971719708498, 'lng': -60.02131481970849}, 'southwest': {'lat': -3.130669680291502, 'lng': -60.02401278029151}}
ChIJeeVjfWIPbJIRQe3bYQskius;Manaus/AM;Centro Cultural Óscar Ramos;Rua Bernardo Ramos, 69 - e 77 - Centro, Manaus;True;OPERATIONAL;-3.1337116;-60.02965729999999;"[""segunda-feira: 09:00 – 16:00"", ""terça-feira: 09:00 – 16:00"", ""quarta-feira: 09:00 – 16:00"", ""quinta-feira: 09:00 – 16:00"", ""sexta-feira: 09:00 – 16:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -3.132399419708498, 'lng': -60.0283203197085}, 'southwest': {'lat': -3.135097380291501, 'lng': -60.03101828029151}}
ChIJd4cDVgAPbJIRihtyn0jkrHo;Manaus/AM;Casarão Thiago de Mello;Rua Bernardo Ramos, 66 - Centro, Manaus;True;OPERATIONAL;-3.1338819;-60.0297767;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -3.132475119708499, 'lng': -60.0284089197085}, 'southwest': {'lat': -3.135173080291502, 'lng': -60.03110688029151}}
ChIJHXuQ2YYPbJIRUxPoSx5vdYw;Manaus/AM;Instituto Geográfico e Histórico do Amazonas;Rua Frei José dos Inocentes, 132 - Centro, Manaus;False;OPERATIONAL;-3.1336344;-60.0290946;"[""segunda-feira: Fechado"", ""terça-feira: 10:00 – 16:00"", ""quarta-feira: Fechado"", ""quinta-feira: 10:00 – 16:00"", ""sexta-feira: Fechado"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""library"", ""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -3.132280719708498, 'lng': -60.0277407197085}, 'southwest': {'lat': -3.134978680291502, 'lng': -60.03043868029151}}
