id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJmZQCVAfhYY0RvT3KDZQzV4U;Macapá/AP;IEPA;Avenida Felíciano Coelho, 1509 - Trem, Macapá;False;OPERATIONAL;0.0290395;-51.06729790000001;"[""segunda-feira: 08:00 – 12:00"", ""terça-feira: 08:00 – 12:00"", ""quarta-feira: 08:00 – 12:00"", ""quinta-feira: 08:00 – 12:00"", ""sexta-feira: 08:00 – 12:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': 0.03060928029150204, 'lng': -51.06593176970851}, 'southwest': {'lat': 0.02791131970849798, 'lng': -51.0686297302915}}
ChIJDbn_2wnhYY0RDz1aO33IJqo;Macapá/AP;Museu Sacaca;Avenida Felíciano Coelho, 1509 - Trem, Macapá;True;OPERATIONAL;0.0288794;-51.0682359;"[""segunda-feira: Fechado"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: 09:00 – 17:00"", ""domingo: 09:00 – 17:00""]";"[""museum"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': 0.03056383029150203, 'lng': -51.0668693697085}, 'southwest': {'lat': 0.02786586970849797, 'lng': -51.0695673302915}}
ChIJoxzHbgDhYY0R-d4J02AqTKo;Macapá/AP;Museu de Artes, Culturas e Memórias Negras;esquina com - R. Eliezer Levy, Avenida Mendonça Furtado - Central, Macapá;True;OPERATIONAL;0.0373004;-51.05633279999999;"[""segunda-feira: Fechado"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: 09:00 – 17:00"", ""domingo: 09:00 – 17:00""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': 0.03859643029150203, 'lng': -51.05498731970849}, 'southwest': {'lat': 0.03589846970849797, 'lng': -51.05768528029149}}
ChIJVzsn0B_hYY0RZad-UfPN5k4;Macapá/AP;Banco da Amizade;Rua General Rondon, 920 - Laguinho, Macapá;True;OPERATIONAL;0.0442879;-51.0546211;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': 0.04563463029150203, 'lng': -51.0532378697085}, 'southwest': {'lat': 0.04293666970849797, 'lng': -51.0559358302915}}
ChIJ-_rpeiDhYY0RuyyBqsBg9F8;Macapá/AP;União dos Negros do Amapá - UNA;891, Rua General Rondon, 803 - Central, Macapá;True;OPERATIONAL;0.0448539;-51.0550845;"[""segunda-feira: 08:00 – 20:00"", ""terça-feira: 08:00 – 20:00"", ""quarta-feira: 08:00 – 20:00"", ""quinta-feira: 08:00 – 20:00"", ""sexta-feira: 08:00 – 20:00"", ""sábado: 08:00 – 20:00"", ""domingo: Fechado""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': 0.04618288029150203, 'lng': -51.0534515197085}, 'southwest': {'lat': 0.04348491970849796, 'lng': -51.0561494802915}}
ChIJc54XVOPhYY0RgbnGH9sjiHw;Macapá/AP;Museu de Arqueologia e Etnologia;Central, Macapá;False;CLOSED_TEMPORARILY;0.0399172;-51.0518044;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': 0.04125808029150203, 'lng': -51.0503583697085}, 'southwest': {'lat': 0.03856011970849797, 'lng': -51.0530563302915}}
ChIJ3VAbSePgYY0RZ5bg4Dvyp9c;Macapá/AP;Museu Histórico Joaquim Caetano da Silva;Avenida Mario Cruz, 0376 - Central, Macapá;True;OPERATIONAL;0.0366305;-51.05002700000001;"[""segunda-feira: Fechado"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: 09:00 – 13:00"", ""domingo: Fechado""]";"[""tourist_attraction"", ""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': 0.03803258029150203, 'lng': -51.0486757197085}, 'southwest': {'lat': 0.03533461970849797, 'lng': -51.0513736802915}}
ChIJ70_pTgDhYY0RuvtMj4Zor4E;Macapá/AP;FORTALEZA DE SÃO JOSÉ DE MACAPÁ;Rua Independência, 678 - Central, Macapá;False;OPERATIONAL;0.03709999999999999;-51.05;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': 0.03844383029150203, 'lng': -51.0485466197085}, 'southwest': {'lat': 0.03574586970849797, 'lng': -51.0512445802915}}
ChIJGaOx1v7gYY0RyjgimiaeEOE;Macapá/AP;Fortaleza de São José de Macapá;Rua Cândido Mendes, 1611 - Central, Macapá;True;OPERATIONAL;0.0310469;-51.04922319999999;"[""segunda-feira: Fechado"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: 08:00 – 17:00"", ""domingo: 08:00 – 17:00""]";"[""tourist_attraction"", ""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': 0.03267978029150203, 'lng': -51.0480751}, 'southwest': {'lat': 0.02998181970849796, 'lng': -51.05195550000001}}
ChIJy8jvWIrhYY0R2NA5y05_e8k;Macapá/AP;Laje da vans;Avenida dos Aimorés, 330 - Beirol, Macapá;False;OPERATIONAL;0.0172292;-51.0643366;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': 0.01848013029150203, 'lng': -51.0629939697085}, 'southwest': {'lat': 0.01578216970849797, 'lng': -51.0656919302915}}
