id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJZaDMNgCNf5ERj9Vi_4oTRrY;Rio Branco/AC;Terra Verde - Hotel e Eventos no Acre;Rua Marechal Deodoro, 221 - Centro, Rio Branco;False;OPERATIONAL;-9.974994599999999;-67.8071547;"[""Não disponível""]";"[""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.973625919708498, 'lng': -67.80575956970848}, 'southwest': {'lat': -9.976323880291503, 'lng': -67.8084575302915}}
ChIJOZx_T6ONf5ERkh6-NWb41fk;Rio Branco/AC;Kiosque do Açaí Centro;Rua Marechal Deodoro - Centro, Rio Branco;True;OPERATIONAL;-9.975290299999998;-67.8071013;"[""segunda-feira: 07:00 – 18:00"", ""terça-feira: 07:00 – 18:00"", ""quarta-feira: 07:00 – 18:00"", ""quinta-feira: 07:00 – 18:00"", ""sexta-feira: 07:00 – 18:00"", ""sábado: 07:00 – 18:00"", ""domingo: Fechado""]";"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.973907819708497, 'lng': -67.8056738197085}, 'southwest': {'lat': -9.976605780291502, 'lng': -67.80837178029151}}
ChIJN5G4M4qNf5ERfTHK-5AcQNk;Rio Branco/AC;Restaurante Pimenta de Cheiro;GALERIA META 2° PISO - Rua Marechal Deodoro, 279 - Centro, Rio Branco;True;OPERATIONAL;-9.975422799999999;-67.8069825;"[""segunda-feira: 11:00 – 14:30"", ""terça-feira: 11:00 – 14:30"", ""quarta-feira: 11:00 – 14:30"", ""quinta-feira: 11:00 – 14:30"", ""sexta-feira: 11:00 – 14:30"", ""sábado: 11:00 – 14:30"", ""domingo: Fechado""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.974051169708497, 'lng': -67.80558051970851}, 'southwest': {'lat': -9.976749130291502, 'lng': -67.80827848029152}}
ChIJNbsy6J6Nf5ERX-zAU_Kz6-A;Rio Branco/AC;Pipoca do Nogueira - aluguel de carros de pipoca;Rua Benjamin Constant, 991 - Centro, Rio Branco;True;OPERATIONAL;-9.9754326;-67.8087394;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.973983319708498, 'lng': -67.80743391970849}, 'southwest': {'lat': -9.976681280291503, 'lng': -67.8101318802915}}
ChIJN2mZQyyNf5ERFLYwSavmDR0;Rio Branco/AC;Léo Lanches;Avenida Epaminondas Jácome Centro, 2751 - Centro, Rio Branco;False;OPERATIONAL;-9.976287899999997;-67.8070278;"[""Não disponível""]";"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.974863919708497, 'lng': -67.8057106197085}, 'southwest': {'lat': -9.977561880291502, 'lng': -67.80840858029151}}
ChIJQ5GK9PSNf5ERlofPXhDa7Ug;Rio Branco/AC;H gelato sorvetes e pizza;Avenida Epaminondas Jácome Centro, 2797 - Centro, Rio Branco;False;OPERATIONAL;-9.976391900000001;-67.8074303;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.974994169708499, 'lng': -67.80610201970849}, 'southwest': {'lat': -9.977692130291501, 'lng': -67.8087999802915}}
ChIJbeQTIvGNf5ERYoE3ZkCfty4;Rio Branco/AC;Mercado Velho;Avenida Epaminondas Jácome Centro, 2813 - Centro, Rio Branco;True;OPERATIONAL;-9.976427300000001;-67.8075346;"[""segunda-feira: 08:00 – 00:00"", ""terça-feira: 08:00 – 00:00"", ""quarta-feira: 08:00 – 00:00"", ""quinta-feira: 08:00 – 00:00"", ""sexta-feira: 08:00 – 00:00"", ""sábado: 08:00 – 00:00"", ""domingo: 08:00 – 00:00""]";"[""restaurant"", ""bar"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.975032719708496, 'lng': -67.8062049697085}, 'southwest': {'lat': -9.9777306802915, 'lng': -67.80890293029151}}
ChIJdZQ3tt-Nf5ERg895O-0jQgY;Rio Branco/AC;Pensão da Mãezinha;Avenida Epaminondas Jácome Centro, Rio Branco;True;OPERATIONAL;-9.9764837;-67.8074321;"[""segunda-feira: 09:00 – 14:30"", ""terça-feira: 09:00 – 14:30"", ""quarta-feira: 09:00 – 14:30"", ""quinta-feira: 09:00 – 14:30"", ""sexta-feira: 09:00 – 14:30"", ""sábado: 09:00 – 14:00"", ""domingo: Fechado""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.975047169708498, 'lng': -67.8061202697085}, 'southwest': {'lat': -9.977745130291503, 'lng': -67.80881823029151}}
ChIJI1MsWbeNf5ERQeJY-5j-aR4;Rio Branco/AC;Restaurante. Sabor nordestinoc;Avenida Brasil - Centro, Rio Branco;False;OPERATIONAL;-9.973480799999999;-67.8083649;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.972090819708498, 'lng': -67.8070344197085}, 'southwest': {'lat': -9.974788780291503, 'lng': -67.8097323802915}}
ChIJCSIF3AKNf5ERIpTfQNZCkgo;Rio Branco/AC;elshaday;Avenida Brasil - Centro, Rio Branco;False;OPERATIONAL;-9.973480799999999;-67.8083649;"[""Não disponível""]";"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.972090819708498, 'lng': -67.8070344197085}, 'southwest': {'lat': -9.974788780291503, 'lng': -67.8097323802915}}
ChIJC54tRwCNf5ERu-EVLlQpc9A;Rio Branco/AC;Ponto do Café;Avenida Epaminondas Jácome Centro, 88 - Centro, Rio Branco;False;OPERATIONAL;-9.976518299999999;-67.8071746;"[""segunda-feira: 16:00 – 23:30"", ""terça-feira: Fechado"", ""quarta-feira: 16:00 – 23:30"", ""quinta-feira: 16:00 – 23:30"", ""sexta-feira: 16:00 – 23:30"", ""sábado: 16:00 – 23:30"", ""domingo: 16:00 – 23:30""]";"[""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.975058869708498, 'lng': -67.80586626970849}, 'southwest': {'lat': -9.977756830291503, 'lng': -67.8085642302915}}
ChIJdYUXXpWNf5ERHr_eAX2uaT8;Rio Branco/AC;Café do Mercado;Centro, Rio Branco;False;OPERATIONAL;-9.976588199999998;-67.80761799999999;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.975139769708496, 'lng': -67.80631121970849}, 'southwest': {'lat': -9.977837730291501, 'lng': -67.8090091802915}}
ChIJCVNVaQCNf5ERC7CnVj3325Q;Rio Branco/AC;Cantinho Lanche do Pastor;Avenida Epaminondas Jácome Centro, 2872 - Centro, Rio Branco;True;OPERATIONAL;-9.976504499999999;-67.80820349999999;"[""segunda-feira: 08:00 – 17:30"", ""terça-feira: 08:00 – 17:30"", ""quarta-feira: 08:00 – 17:30"", ""quinta-feira: 08:00 – 17:30"", ""sexta-feira: 08:00 – 17:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.975191369708497, 'lng': -67.80683991970848}, 'southwest': {'lat': -9.977889330291502, 'lng': -67.80953788029149}}
ChIJ40POWM2Nf5ERXj6o7k-Suq8;Rio Branco/AC;Pastelaria Chinesa Ruan Lynn;Avenida Getúlio Vargas, 20 - Centro, Rio Branco;False;OPERATIONAL;-9.976535300000002;-67.8082549;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.975217919708498, 'lng': -67.80689156970848}, 'southwest': {'lat': -9.977915880291503, 'lng': -67.8095895302915}}
ChIJXxUwxV6Mf5ER45OCof7483Y;Rio Branco/AC;Restaurante Bom Sabor;Rua Quintino Bocaiuva, 1732 - Centro, Rio Branco;False;OPERATIONAL;-9.9738847;-67.8061252;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.972503969708498, 'lng': -67.8047081197085}, 'southwest': {'lat': -9.975201930291501, 'lng': -67.8074060802915}}
ChIJiXbXSv6Mf5ERWCQEAX_6ZMs;Rio Branco/AC;Espaço Inspiração Gourmet;Rua Quintino Bocaiuva, 181 - Centro, Rio Branco;False;OPERATIONAL;-9.9732317;-67.8062648;"[""segunda-feira: 15:00 – 18:00"", ""terça-feira: 15:00 – 18:00"", ""quarta-feira: 15:00 – 18:00"", ""quinta-feira: 15:00 – 18:00"", ""sexta-feira: 15:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.971872269708498, 'lng': -67.8048916197085}, 'southwest': {'lat': -9.974570230291503, 'lng': -67.8075895802915}}
ChIJiXbXSv6Mf5ERgcHtgUTreUg;Rio Branco/AC;DELICIAS DO MASTER CHEFE DEOCLECIANO BRITO;Rua Quintino Bocaiuva, 181 - Centro, Rio Branco;False;OPERATIONAL;-9.9732317;-67.8062648;"[""Não disponível""]";"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.971872269708498, 'lng': -67.8048916197085}, 'southwest': {'lat': -9.974570230291503, 'lng': -67.8075895802915}}
ChIJj_ODXgiNf5ERWlcYfxKo7VE;Rio Branco/AC;Benedita lanchonete;R. Benjamin Constant - Centro, Rio Branco - AC, 69900-785;False;OPERATIONAL;-9.973726899999999;-67.8055853;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.972243069708497, 'lng': -67.8042860697085}, 'southwest': {'lat': -9.974941030291502, 'lng': -67.8069840302915}}
ChIJ1Y_FrT6Nf5ER2OTTLovzPdQ;Rio Branco/AC;Restaurante e lanchonete Rio Branco;Rua Quintino Bocaiuva, 260 - Centro, Rio Branco;False;OPERATIONAL;-9.9730346;-67.8061878;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.971708369708498, 'lng': -67.8049141697085}, 'southwest': {'lat': -9.974406330291503, 'lng': -67.8076121302915}}
ChIJSVrtG0uNf5ERAbZzErDwYME;Rio Branco/AC;Hamburgão do Paulão - Praça da Revolução;Praça da Revolução Box 03 Quiosque do Paulão - Centro, Rio Branco;False;OPERATIONAL;-9.973474099999999;-67.8094857;"[""segunda-feira: 17:30 – 22:00"", ""terça-feira: 17:30 – 22:00"", ""quarta-feira: Fechado"", ""quinta-feira: 17:30 – 22:00"", ""sexta-feira: 17:30 – 22:00"", ""sábado: 17:30 – 22:00"", ""domingo: 17:30 – 22:00""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -9.972072269708496, 'lng': -67.8080137197085}, 'southwest': {'lat': -9.974770230291501, 'lng': -67.8107116802915}}
