id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJB0jqdgBdMpIRBOHeO36Q1xE;Porto Velho/RO;Assembleia de Deus - Betesda 2;Rua Petrópolis, 2880 - Vila Eletronorte, Porto Velho;False;OPERATIONAL;-8.800165699999999;-63.89857679999999;"[""Não disponível""]";"[""church"", ""place_of_worship"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.798810319708497, 'lng': -63.89722771970849}, 'southwest': {'lat': -8.801508280291502, 'lng': -63.8999256802915}}
ChIJv5Rf1gJdMpIRZM9D4nW3Ybo;Porto Velho/RO;Assembleia de Deus Setor 58;Rua Petrópolis, 2891 - Vila Eletronorte, Porto Velho;False;OPERATIONAL;-8.79997;-63.8981865;"[""Não disponível""]";"[""church"", ""place_of_worship"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.798691169708498, 'lng': -63.8968267697085}, 'southwest': {'lat': -8.801389130291502, 'lng': -63.89952473029151}}
ChIJy47LZJxdMpIRTgLMd70Cx9Y;Porto Velho/RO;Mapinguari Comunicação;Rua João Paulo I, 2700 - Novo Horizonte, Porto Velho;False;OPERATIONAL;-8.800969499999999;-63.8991833;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.7996285697085, 'lng': -63.8977626697085}, 'southwest': {'lat': -8.802326530291504, 'lng': -63.90046063029151}}
ChIJ2y9SlUFdMpIRJHXkP1ajq2Y;Porto Velho/RO;Prorto;Rua João Paulo I, n° 2700 - Novo Horizonte, Porto Velho;True;OPERATIONAL;-8.800969499999999;-63.8991833;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.7996285697085, 'lng': -63.8977626697085}, 'southwest': {'lat': -8.802326530291504, 'lng': -63.90046063029151}}
ChIJL-JlgUVcMpIR0qvc2niweMQ;Porto Velho/RO;archibim;Rua João Paulo I, 2700 - Novo Horizonte, Porto Velho;False;OPERATIONAL;-8.800969499999999;-63.8991833;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.7996285697085, 'lng': -63.8977626697085}, 'southwest': {'lat': -8.802326530291504, 'lng': -63.90046063029151}}
ChIJUSXZkGddMpIRWtEaExm-DJ0;Porto Velho/RO;Consultoria e auditoria educacional;Rua João Paulo I, 2700, C4, Q4 - Novo Horizonte, Porto Velho;True;OPERATIONAL;-8.800969499999999;-63.8991833;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.7996285697085, 'lng': -63.8977626697085}, 'southwest': {'lat': -8.802326530291504, 'lng': -63.90046063029151}}
ChIJiXVsaZ5dMpIRaIk87LYqZ6c;Porto Velho/RO;Condomínio Areia Branca;Rua João Paulo I, 2700 - Novo Horizonte, Porto Velho;False;OPERATIONAL;-8.8005259;-63.8976595;"[""Não disponível""]";"[""lodging"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.799161669708498, 'lng': -63.8963071197085}, 'southwest': {'lat': -8.801859630291503, 'lng': -63.8990050802915}}
ChIJ0abiBhNdMpIRygtu-HKdLv0;Porto Velho/RO;Residencial Areia Branca;Rua Areia Branca - Novo Horizonte, Porto Velho;False;OPERATIONAL;-8.8009843;-63.89780039999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.799643469708496, 'lng': -63.89638936970848}, 'southwest': {'lat': -8.8023414302915, 'lng': -63.89908733029149}}
ChIJQ8I9-jGxnZMR9r9Yb62ZkEY;Porto Velho/RO;Residencial Imola;157, Rua Seis, 1, Porto Velho;False;OPERATIONAL;-8.7998949;-63.89976729999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.798549219708498, 'lng': -63.89838751970849}, 'southwest': {'lat': -8.801247180291503, 'lng': -63.9010854802915}}
ChIJWYoF9U9cMpIR1bgTRB7I20A;Porto Velho/RO;Mega Pizza;Rua Seis, s/n - Vila Eletronorte, Porto Velho;False;OPERATIONAL;-8.799396699999999;-63.8996496;"[""segunda-feira: 16:00 – 23:30"", ""terça-feira: 16:00 – 23:30"", ""quarta-feira: 16:00 – 23:30"", ""quinta-feira: 16:00 – 23:30"", ""sexta-feira: 16:00 – 23:30"", ""sábado: 16:00 – 23:30"", ""domingo: 16:00 – 23:30""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -8.798046119708498, 'lng': -63.89833246970849}, 'southwest': {'lat': -8.800744080291503, 'lng': -63.9010304302915}}
