id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJxQ6a3n7hYY0Rz4UIZQwNiK0;Macapá/AP;VINTADIH ®;Rua Manoel Eudóxio Pereira, 1688 A - Central, Macapá;True;OPERATIONAL;0.0349913;-51.06652159999999;"[""segunda-feira: 10:00 – 19:00"", ""terça-feira: 10:00 – 19:00"", ""quarta-feira: 10:00 – 19:00"", ""quinta-feira: 10:00 – 19:00"", ""sexta-feira: 10:00 – 19:00"", ""sábado: 10:00 – 19:00"", ""domingo: Fechado""]";"[""clothing_store"", ""store"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': 0.03633623029150203, 'lng': -51.06511851970849}, 'southwest': {'lat': 0.03363826970849797, 'lng': -51.06781648029149}}
ChIJr0HJrw_hYY0Rd2NGZuEXs3s;Macapá/AP;Cardoso Imóveis AP;Rua Manoel Eudóxio Pereira, 1714 A - Centro, Macapá;True;OPERATIONAL;0.0349173;-51.0666014;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 13:00"", ""domingo: Fechado""]";"[""real_estate_agency"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': 0.03625943029150203, 'lng': -51.0651614197085}, 'southwest': {'lat': 0.03356146970849797, 'lng': -51.0678593802915}}
ChIJ-TSueTnhYY0RFfnoIxPtRkE;Macapá/AP;Dezenove Onze LTDA;Rua Manoel Eudóxio Pereira, 1688 C - Central, Macapá;True;OPERATIONAL;0.0350017;-51.0666074;"[""segunda-feira: 09:00 – 12:00, 14:00 – 18:00"", ""terça-feira: 09:00 – 12:00, 14:00 – 18:00"", ""quarta-feira: 09:00 – 12:00, 14:00 – 18:00"", ""quinta-feira: 09:00 – 12:00, 14:00 – 18:00"", ""sexta-feira: 09:00 – 12:00, 14:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': 0.03634338029150203, 'lng': -51.0651612697085}, 'southwest': {'lat': 0.03364541970849796, 'lng': -51.0678592302915}}
ChIJRyFWmfbhYY0RDQrA1IlmaGg;Macapá/AP;Olimaq;Rua Manoel Eudóxio Pereira, 1734 - Trem, Macapá;True;OPERATIONAL;0.0347124;-51.0665372;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 13:00"", ""domingo: Fechado""]";"[""electronics_store"", ""store"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': 0.03605753029150204, 'lng': -51.06513671970851}, 'southwest': {'lat': 0.03335956970849797, 'lng': -51.0678346802915}}
ChIJn5nEsA_hYY0RoQrk9_f7SoY;Macapá/AP;24 Horas Loja de Conveniência;Avenida Padre Júlio Maria Lombaerd, 1951a - Central, Macapá;False;CLOSED_TEMPORARILY;0.0351165;-51.0665809;"[""Não disponível""]";"[""convenience_store"", ""grocery_or_supermarket"", ""store"", ""food"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': 0.03655993029150204, 'lng': -51.0652256197085}, 'southwest': {'lat': 0.03386196970849797, 'lng': -51.0679235802915}}
ChIJ47K1sA_hYY0RFhbwRz0CxhE;Macapá/AP;Expresso Imóveis;Avenida Padre Júlio Maria Lombaerd, 1951A - Central, Macapá;False;OPERATIONAL;0.0351484;-51.0665364;"[""Não disponível""]";"[""real_estate_agency"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': 0.03657448029150203, 'lng': -51.0651822697085}, 'southwest': {'lat': 0.03387651970849797, 'lng': -51.0678802302915}}
ChIJKUHPsA_hYY0R8Vu6OajVGJM;Macapá/AP;Farmácia Popular do Trabalhador;Avenida Padre Júlio Maria Lombaerd, 1951 - Central, Macapá;True;OPERATIONAL;0.0351484;-51.0665364;"[""segunda-feira: 07:00 – 00:00"", ""terça-feira: 07:00 – 00:00"", ""quarta-feira: 07:00 – 00:00"", ""quinta-feira: 07:00 – 00:00"", ""sexta-feira: 07:00 – 00:00"", ""sábado: 07:00 – 00:00"", ""domingo: 09:00 – 00:00""]";"[""pharmacy"", ""store"", ""health"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': 0.03657448029150203, 'lng': -51.0651822697085}, 'southwest': {'lat': 0.03387651970849797, 'lng': -51.0678802302915}}
ChIJ3c_0w7zhYY0RU87UH39pS5Y;Macapá/AP;Conveniência retrô mix;Avenida Padre Júlio Maria Lombaerd - Central, Macapá;False;OPERATIONAL;0.0351671;-51.0667157;"[""segunda-feira: 18:00 – 06:00"", ""terça-feira: 18:00 – 06:00"", ""quarta-feira: 18:00 – 06:00"", ""quinta-feira: 18:00 – 06:00"", ""sexta-feira: 18:00 – 06:00"", ""sábado: 18:00 – 06:00"", ""domingo: 18:00 – 06:00""]";"[""convenience_store"", ""store"", ""food"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': 0.03658983029150203, 'lng': -51.0653617697085}, 'southwest': {'lat': 0.03389186970849797, 'lng': -51.0680597302915}}
ChIJU8G-CwXhYY0RvZnYYnmavzc;Macapá/AP;suzuki tomi;Avenida Padre Júlio Maria Lombaerd, 1950 - Centro, Macapá;False;CLOSED_TEMPORARILY;0.0352804;-51.0662064;"[""Não disponível""]";"[""car_repair"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': 0.03659798029150203, 'lng': -51.0648596697085}, 'southwest': {'lat': 0.03390001970849797, 'lng': -51.0675576302915}}
ChIJByc42gjhYY0RLQ81F-e0zKk;Macapá/AP;Igreja Batista Central de Macapá;Rua Manoel Eudóxio Pereira, 1754 - *Central*, Macapá;False;OPERATIONAL;0.0344654;-51.06656230000001;"[""Não disponível""]";"[""church"", ""place_of_worship"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': 0.03581028029150204, 'lng': -51.06515846970851}, 'southwest': {'lat': 0.03311231970849797, 'lng': -51.06785643029151}}
ChIJFXGcBw_hYY0RxLODPnTdnPY;Macapá/AP;Vinicius Matheus;Brasil;False;OPERATIONAL;0.03450529999999999;-51.0666685;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': 0.03576288029150202, 'lng': -51.0653256697085}, 'southwest': {'lat': 0.03306491970849796, 'lng': -51.0680236302915}}
ChIJA6WPlsjhYY0RKYRtjvFAS9o;Macapá/AP;Pet Shop Dog Brother - Matriz;Avenida Padre Júlio Maria Lombaerd - Central, Macapá;True;OPERATIONAL;0.0352902;-51.06669650000001;"[""segunda-feira: 08:00 – 18:40"", ""terça-feira: 08:00 – 18:40"", ""quarta-feira: 08:00 – 18:40"", ""quinta-feira: 08:00 – 18:40"", ""sexta-feira: 08:00 – 18:40"", ""sábado: 08:00 – 18:00"", ""domingo: Fechado""]";"[""pet_store"", ""store"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': 0.03663143029150202, 'lng': -51.0653480197085}, 'southwest': {'lat': 0.03393346970849796, 'lng': -51.0680459802915}}
