id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ4UTiNo-OpJIRuCH6ZS2agnA;Belém/PA;Quatipuru PA;Belém;False;OPERATIONAL;-1.4557549;-48.4901799;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -1.454303319708498, 'lng': -48.4886971197085}, 'southwest': {'lat': -1.457001280291502, 'lng': -48.4913950802915}}
ChIJ4UTiNo-OpJIRNIg_5VJIJzo;Belém/PA;Escola Frei Daniel;Travessa Doutor Moraes, 254 - Nazaré, Belém;False;OPERATIONAL;-1.4557549;-48.4901799;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -1.454303319708498, 'lng': -48.4886971197085}, 'southwest': {'lat': -1.457001280291502, 'lng': -48.4913950802915}}
ChIJWRiAvYyPpJIRv5TYVtuwpoI;Belém/PA;Advanced Cursos de Formação de Vigilantes;Avenida Comandante Brás de Aguiar, 18-192 - Nazaré, Belém;False;OPERATIONAL;-1.4557292;-48.4901785;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -1.454139519708498, 'lng': -48.4888808697085}, 'southwest': {'lat': -1.456837480291502, 'lng': -48.4915788302915}}
ChIJuawQsoiOpJIRB80nJnvk8OQ;Belém/PA;J Carvalho Cei;Avenida Gentil Bittencourt, 344 - Batista Campos, Belém;False;CLOSED_TEMPORARILY;-1.4563744;-48.48943789999999;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -1.454975519708498, 'lng': -48.48812501970849}, 'southwest': {'lat': -1.457673480291502, 'lng': -48.49082298029148}}
ChIJK1ADvumPpJIRBAdURZVttfs;Belém/PA;Cubo Oficial;Nazaré, Belém;False;OPERATIONAL;-1.4550138;-48.48963390000001;"[""segunda-feira: 08:00 – 12:00, 14:00 – 18:00"", ""terça-feira: 08:00 – 12:00, 14:00 – 18:00"", ""quarta-feira: 08:00 – 12:00, 14:00 – 18:00"", ""quinta-feira: 08:00 – 12:00, 14:00 – 18:00"", ""sexta-feira: 08:00 – 12:00, 14:00 – 18:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -1.453703069708498, 'lng': -48.48827566970851}, 'southwest': {'lat': -1.456401030291502, 'lng': -48.49097363029151}}
ChIJwaxxMVyPpJIReFUy3KmOACg;Belém/PA;Pratico Vestibuleres Unidade Gentil;Avenida Gentil Bittencourt, 383 - Batista Campos, Belém;True;OPERATIONAL;-1.4560409;-48.48900059999999;"[""segunda-feira: 07:00 – 21:00"", ""terça-feira: 07:00 – 21:00"", ""quarta-feira: 07:00 – 21:00"", ""quinta-feira: 07:00 – 21:00"", ""sexta-feira: 07:00 – 21:00"", ""sábado: 07:45 – 12:00"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -1.454754019708498, 'lng': -48.4876409197085}, 'southwest': {'lat': -1.457451980291502, 'lng': -48.4903388802915}}
ChIJ8f562IiOpJIRw3C5QPm_1QY;Belém/PA;Lar Montessoriano;Avenida Serzedelo Corrêa, 332 - Batista Campos, Belém;True;OPERATIONAL;-1.4567145;-48.4911836;"[""segunda-feira: 07:30 – 18:00"", ""terça-feira: 07:30 – 18:00"", ""quarta-feira: 07:30 – 18:00"", ""quinta-feira: 07:30 – 18:00"", ""sexta-feira: 07:30 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -1.455323419708498, 'lng': -48.48979376970851}, 'southwest': {'lat': -1.458021380291502, 'lng': -48.4924917302915}}
ChIJl2FXr4iOpJIRUdCtidon4Zs;Belém/PA;Delma Mendes;Travessa Doutor Moraes, 360 - Nazaré, Belém;True;OPERATIONAL;-1.4564761;-48.4889952;"[""segunda-feira: Fechado"", ""terça-feira: 09:00 – 19:00"", ""quarta-feira: 09:00 – 19:00"", ""quinta-feira: 09:00 – 19:00"", ""sexta-feira: 09:00 – 19:00"", ""sábado: 09:00 – 20:00"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -1.455191219708498, 'lng': -48.4877396697085}, 'southwest': {'lat': -1.457889180291502, 'lng': -48.4904376302915}}
ChIJr50IZ4-OpJIRZqpBfIcEdOM;Belém/PA;Treide - Treinamento e Desenvolvimento;Avenida Comandante Brás de Aguiar, 322 - Nazaré, Belém;True;OPERATIONAL;-1.4550791;-48.4888594;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -1.453651919708498, 'lng': -48.48752736970851}, 'southwest': {'lat': -1.456349880291502, 'lng': -48.49022533029151}}
ChIJRwQouIWOpJIR-pOaWFJwGKI;Belém/PA;Exactus - Curso de Matemática;Avenida Comandante Brás de Aguiar, 322 - Nazaré, Belém;False;OPERATIONAL;-1.4550765;-48.4888591;"[""segunda-feira: 14:00 – 20:00"", ""terça-feira: 14:00 – 20:00"", ""quarta-feira: 14:00 – 20:00"", ""quinta-feira: 14:00 – 20:00"", ""sexta-feira: 14:00 – 20:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -1.453650569708498, 'lng': -48.4875267697085}, 'southwest': {'lat': -1.456348530291502, 'lng': -48.4902247302915}}
