id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJg8TgYBMfnpIRn_PUByYdZ8A;Macapá/AP;AV TELECOM LTDA;Canal das Pedrinhas, 2023, Macapá;False;OPERATIONAL;-0.0046232;-51.0638162;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -0.00327676970849797, 'lng': -51.0624900197085}, 'southwest': {'lat': -0.00597473029150203, 'lng': -51.0651879802915}}
ChIJj1sqSpofnpIRCnlPCHuyV8k;Macapá/AP;IASMIN BELAS CAIXAS PERSONALIZADOS;Canal das Pedrinhas, 1200 - Jardim Marco Zero, Macapá;True;OPERATIONAL;-0.0045432;-51.0637996;"[""segunda-feira: 08:00 – 20:00"", ""terça-feira: 08:30 – 20:30"", ""quarta-feira: 08:30 – 20:00"", ""quinta-feira: 08:30 – 20:00"", ""sexta-feira: 08:30 – 20:00"", ""sábado: 09:00 – 18:00"", ""domingo: 09:30 – 14:00""]";"[""point_of_interest"", ""store"", ""establishment""]";shop;{'northeast': {'lat': -0.00319871970849797, 'lng': -51.06249031970849}, 'southwest': {'lat': -0.005896680291502029, 'lng': -51.06518828029149}}
ChIJm2fYTy8enpIRVCGPlFuAM3A;Macapá/AP;Posto Ipiranga;Canal das Pedrinhas, 2033, Macapá;False;OPERATIONAL;-0.0048112;-51.06393180000001;"[""Não disponível""]";"[""gas_station"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -0.00341576970849797, 'lng': -51.06254701970851}, 'southwest': {'lat': -0.006113730291502029, 'lng': -51.06524498029151}}
ChIJ-Q3Jj94fnpIRm3TKiUaBOEQ;Macapá/AP;Barbudo 24 horas;Rua Nova Esperança, 370 - Araxá, Macapá;False;OPERATIONAL;-0.0017062;-51.0622723;"[""Não disponível""]";"[""hair_care"", ""health"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -0.0003574697084979696, 'lng': -51.0609250197085}, 'southwest': {'lat': -0.00305543029150203, 'lng': -51.06362298029149}}
ChIJvZ5_fZ8fnpIRpTg0JSajww0;Macapá/AP;Fogão elétrico vulcão;Tv Nossa Senhora De Nazaré - Passagem Nazaré - Araxá, Macapá;False;OPERATIONAL;-0.0007245999999999998;-51.06151680000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': 0.0006496302915020301, 'lng': -51.0601630197085}, 'southwest': {'lat': -0.00204833029150203, 'lng': -51.0628609802915}}
ChIJuVl74tofnpIRFAPZk9Y6FHw;Macapá/AP;CLICK XEROX;Rua Nova Esperança, N° 171 - Araxá, Macapá;True;OPERATIONAL;-0.0016164;-51.06228360000001;"[""segunda-feira: 08:00 – 19:00"", ""terça-feira: 08:00 – 19:00"", ""quarta-feira: 08:00 – 19:00"", ""quinta-feira: 08:00 – 19:00"", ""sexta-feira: 08:00 – 19:00"", ""sábado: 08:00 – 19:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""store"", ""establishment""]";shop;{'northeast': {'lat': -0.00026741970849797, 'lng': -51.0609343697085}, 'southwest': {'lat': -0.00296538029150203, 'lng': -51.0636323302915}}
ChIJEVxBgQMfnpIRHTF8iJObMcc;Macapá/AP;Mini box e confeitaria VANESSA;Ramal, Rua Amapá, 350 - Araxá;False;OPERATIONAL;-0.0013386;-51.06215399999999;"[""Não disponível""]";"[""local_government_office"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -1.45697084979703e-05, 'lng': -51.0608039197085}, 'southwest': {'lat': -0.00271253029150203, 'lng': -51.0635018802915}}
ChIJdVH4o70fnpIRmqs5m3jr2Ns;Macapá/AP;Porto F/B Sempre com Deus VII;Canal das Pedrinhas, 20 - Araxá, Macapá;False;OPERATIONAL;-0.0048333;-51.0642909;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 12:00"", ""quinta-feira: Fechado"", ""sexta-feira: Fechado"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -0.00343221970849797, 'lng': -51.0629150697085}, 'southwest': {'lat': -0.00613018029150203, 'lng': -51.0656130302915}}
ChIJzVucEUMfnpIRqN0GlFyz6XI;Macapá/AP;Balsa Sempre com Deus VI;Canal das Pedrinhas, 2084 - Araxá, Macapá;True;OPERATIONAL;-0.003804400000000001;-51.0638694;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""travel_agency"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -0.00245481970849797, 'lng': -51.0625250197085}, 'southwest': {'lat': -0.005152780291502029, 'lng': -51.06522298029149}}
ChIJF1IaGAAfnpIRpI3obBa_4HQ;Macapá/AP;Balsa Berlinda de maria;Canal das Pedrinhas, 970-1074 - Araxá, Macapá;True;OPERATIONAL;-0.0045651;-51.0642288;"[""segunda-feira: 07:00 – 18:00"", ""terça-feira: 07:00 – 18:00"", ""quarta-feira: 07:00 – 18:00"", ""quinta-feira: 07:00 – 18:00"", ""sexta-feira: 07:00 – 18:00"", ""sábado: 07:00 – 18:00"", ""domingo: 07:00 – 18:00""]";"[""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -0.00321496970849797, 'lng': -51.0628628697085}, 'southwest': {'lat': -0.00591293029150203, 'lng': -51.0655608302915}}
