id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJHQAAQAKNf5ERNc3YMaCPRiE;Rio Branco/AC;Centro de Lazer Rio Branco;Estrada da Floresta, KM 08, nº 315 - Ramal do Sinteac, Rio Branco;False;OPERATIONAL;-9.9757;-67.80183600000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.974565169708496, 'lng': -67.8004426197085}, 'southwest': {'lat': -9.977263130291501, 'lng': -67.80314058029153}}
ChIJHQAAQAKNf5ERlmaolWqVl9g;Rio Branco/AC;Equilibrium Assessoria de Crédito;RUA CORONEL ALEXANDRINO NÚMERO 589 GALERIA ÁRABE SALA 05 - Bosque, Rio Branco;True;OPERATIONAL;-9.9757;-67.80183600000001;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""finance"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.974565169708496, 'lng': -67.8004426197085}, 'southwest': {'lat': -9.977263130291501, 'lng': -67.80314058029153}}
ChIJ____PwKNf5ERpH8GO4gc6W8;Rio Branco/AC;Robô na Nuvem;Av. Brasil, 303 – Sl 03 69900-000 Xavier Branco;False;OPERATIONAL;-9.9757;-67.80183629999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.974565219708499, 'lng': -67.80044291970849}, 'southwest': {'lat': -9.977263180291503, 'lng': -67.8031408802915}}
ChIJ____PwKNf5ERyYaF7TQcBbU;Rio Branco/AC;João Batista de Moura Transporte Coletivo;Rodovia AC 40 2154;False;OPERATIONAL;-9.9757;-67.80183629999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.974565219708499, 'lng': -67.80044291970849}, 'southwest': {'lat': -9.977263180291503, 'lng': -67.8031408802915}}
ChIJ____PwKNf5ERlQ1wE8xJc5E;Rio Branco/AC;Madegran;etr Transacreana Km 07 100;False;OPERATIONAL;-9.9757;-67.80183629999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.974565219708499, 'lng': -67.80044291970849}, 'southwest': {'lat': -9.977263180291503, 'lng': -67.8031408802915}}
ChIJ____PwKNf5ER__apdeS3clM;Rio Branco/AC;Clinica - Rio Branco;rua Maj Ladislau Ferreira 1427;False;OPERATIONAL;-9.9757;-67.80183629999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.974565219708499, 'lng': -67.80044291970849}, 'southwest': {'lat': -9.977263180291503, 'lng': -67.8031408802915}}
ChIJ7QvsxqqNf5ERAsVi93Puq-0;Rio Branco/AC;Diamont - Trib. de Justiça Acre - Solução Ar condicionado de Precisão Datacenter;6 de Agosto, Rio Branco;False;OPERATIONAL;-9.9757;-67.80183629999999;"[""Não disponível""]";"[""general_contractor"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.974565219708499, 'lng': -67.80044291970849}, 'southwest': {'lat': -9.977263180291503, 'lng': -67.8031408802915}}
ChIJgX_it_2Mf5ERsRbZyCh4XkU;Rio Branco/AC;Depilação em Rio Branco - Cadeia Velha - Acre - Feminina, Masculina, Depilar;Avenida Ceará, 388, Rio Branco;False;OPERATIONAL;-9.9757;-67.80183629999999;"[""Não disponível""]";"[""beauty_salon"", ""hair_care"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.974565219708499, 'lng': -67.80044291970849}, 'southwest': {'lat': -9.977263180291503, 'lng': -67.8031408802915}}
ChIJKaiq2vaMf5ERbtjKAzGaWqQ;Rio Branco/AC;Lan House Conection;6 de Agosto, Rio Branco;True;OPERATIONAL;-9.9757;-67.80183629999999;"[""segunda-feira: 08:00 – 19:00"", ""terça-feira: 08:00 – 19:00"", ""quarta-feira: 08:00 – 19:00"", ""quinta-feira: 08:00 – 19:00"", ""sexta-feira: 08:00 – 19:00"", ""sábado: 08:00 – 19:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.974565219708499, 'lng': -67.80044291970849}, 'southwest': {'lat': -9.977263180291503, 'lng': -67.8031408802915}}
ChIJDXcFw_-Mf5ERooKJc48Do9A;Rio Branco/AC;Serralheria União;Est S Francisco, 2605 - 6 de Agosto, Rio Branco;False;CLOSED_TEMPORARILY;-9.9757;-67.80183629999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.974565219708499, 'lng': -67.80044291970849}, 'southwest': {'lat': -9.977263180291503, 'lng': -67.8031408802915}}
ChIJKwRqgnaMf5ERSIePDvo1b2o;Rio Branco/AC;Distribuidora Belco;Rua Placas, 2075 - 6 de Agosto, Rio Branco;False;OPERATIONAL;-9.9757;-67.80183629999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.974565219708499, 'lng': -67.80044291970849}, 'southwest': {'lat': -9.977263180291503, 'lng': -67.8031408802915}}
ChIJlcIIXMyNf5ERfZfa83xkUD0;Rio Branco/AC;Refrigel Ar Condicionado;Est Placas, 212 - Placas, Rio Branco;True;OPERATIONAL;-9.9757;-67.80183629999999;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:30"", ""sexta-feira: 08:00 – 17:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.974565219708499, 'lng': -67.80044291970849}, 'southwest': {'lat': -9.977263180291503, 'lng': -67.8031408802915}}
ChIJDXcFw_-Mf5ERu2uPXEXlOEc;Rio Branco/AC;jogos ps2;6 de Agosto, Rio Branco;True;OPERATIONAL;-9.9757;-67.80183629999999;"[""segunda-feira: 09:00 – 17:00"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: 09:00 – 17:00"", ""domingo: 09:00 – 17:00""]";"[""car_repair"", ""electronics_store"", ""point_of_interest"", ""store"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.974565219708499, 'lng': -67.80044291970849}, 'southwest': {'lat': -9.977263180291503, 'lng': -67.8031408802915}}
ChIJDXcFw_-Mf5EReNMsbag_YWI;Rio Branco/AC;Saulo & CIA;6 de Agosto, Rio Branco;False;OPERATIONAL;-9.9757;-67.80183629999999;"[""Não disponível""]";"[""point_of_interest"", ""store"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.974565219708499, 'lng': -67.80044291970849}, 'southwest': {'lat': -9.977263180291503, 'lng': -67.8031408802915}}
ChIJq7gieFOMf5ERk0zKUSqZhcs;Rio Branco/AC;Rio Seguro Dpvat;Rua Primeiro de Maio, 499 - 6 de Agosto, Rio Branco;False;OPERATIONAL;-9.9762437;-67.8019122;"[""segunda-feira: 08:00 – 12:00, 14:00 – 18:00"", ""terça-feira: 08:00 – 12:00, 14:00 – 18:00"", ""quarta-feira: 08:00 – 12:00, 14:00 – 18:00"", ""quinta-feira: 08:00 – 12:00, 14:00 – 18:00"", ""sexta-feira: 08:00 – 12:00, 14:00 – 18:00"", ""sábado: 08:00 – 12:00, 14:00 – 18:00"", ""domingo: Fechado""]";"[""insurance_agency"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.974855219708497, 'lng': -67.80057141970849}, 'southwest': {'lat': -9.977553180291501, 'lng': -67.8032693802915}}
ChIJ05XKTwKNf5ER-PxKInax7Io;Rio Branco/AC;ESQUINA do Eleuterio;Brazil;False;OPERATIONAL;-9.9764684;-67.80117969999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.975118269708496, 'lng': -67.7998261697085}, 'southwest': {'lat': -9.9778162302915, 'lng': -67.80252413029152}}
ChIJaxPxTQKNf5ERs1D8V3ojtGQ;Rio Branco/AC;House Sushi;Rua Edson Mendes, 66 - 6 de Agosto, Rio Branco;False;OPERATIONAL;-9.9766982;-67.8011616;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -9.975340869708496, 'lng': -67.79977556970849}, 'southwest': {'lat': -9.978038830291501, 'lng': -67.80247353029151}}
