id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJOXx5perMJJMRdVR1ICHoQFg;Palmas/TO;AGETO (Agência de Transportes, Obras e Infraestrutura - Tocantins);TO;False;OPERATIONAL;-10.1775188;-48.29837489999999;"[""segunda-feira: 08:00 – 14:00"", ""terça-feira: 08:00 – 14:00"", ""quarta-feira: 08:00 – 14:00"", ""quinta-feira: 08:00 – 14:00"", ""sexta-feira: 08:00 – 14:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""local_government_office"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -10.1761738197085, 'lng': -48.2971466697085}, 'southwest': {'lat': -10.1788717802915, 'lng': -48.2998446302915}}
ChIJc7ETxFLNJJMR3I2WBYJnwPQ;Palmas/TO;Secretaria Estadual da Infraestrutura, Cidades e Habitação do Tocantins;TO-010, KM 1 Lote 11 Maginal Leste;False;OPERATIONAL;-10.177341;-48.2987125;"[""segunda-feira: 08:00 – 14:00"", ""terça-feira: 08:00 – 14:00"", ""quarta-feira: 08:00 – 14:00"", ""quinta-feira: 08:00 – 14:00"", ""sexta-feira: 08:00 – 14:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""local_government_office"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -10.1760026197085, 'lng': -48.2973296697085}, 'southwest': {'lat': -10.1787005802915, 'lng': -48.3000276302915}}
ChIJf-_kwVrNJJMRkjVsBbTzPmw;Palmas/TO;Araguaia Suplementos;LOT AREA VERDE DE PALMAS, TO-010, CHACARA 12, Palmas;True;OPERATIONAL;-10.1762025;-48.2986195;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Fechado""]";"[""store"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -10.1750167197085, 'lng': -48.29727966970851}, 'southwest': {'lat': -10.1777146802915, 'lng': -48.2999776302915}}
ChIJiWmpZAI1O5MRqKOLJlBG70A;Palmas/TO;Top Logística;Área Verde de Palmas - Rodovia To, 01 - Quadra 112 Norte Lote 12 B Galpão 04 Sala 1 - Área Rural de Palmas, Palmas;True;OPERATIONAL;-10.1763048;-48.299265;"[""segunda-feira: 07:30 – 18:00"", ""terça-feira: 07:30 – 18:00"", ""quarta-feira: 07:30 – 18:00"", ""quinta-feira: 07:30 – 18:00"", ""sexta-feira: 07:30 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -10.1750507697085, 'lng': -48.2979202197085}, 'southwest': {'lat': -10.1777487302915, 'lng': -48.30061818029149}}
ChIJM0Aw5ILNJJMRqy94cx1y9l8;Palmas/TO;MIRA TRANSPORTES;Palmas;False;OPERATIONAL;-10.1762076;-48.2980121;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -10.1750357197085, 'lng': -48.2966730697085}, 'southwest': {'lat': -10.1777336802915, 'lng': -48.2993710302915}}
ChIJexYjAYczO5MR5v2ld-uh8b8;Palmas/TO;Transul Encomendas Ltda;Área Verde de Palmas/TO Chácara 12 Rodovia TO 010 12B, Km 01, Galpão 08 ao 10, Sala 01 Ponto de referência: Galpão da Ferragista Negrão ao lado da Destaque Distribuidora ao final da Pista dupla sentido à Miracema - Plano Diretor Norte, Palmas;True;OPERATIONAL;-10.1761782;-48.2989105;"[""segunda-feira: 08:00 – 12:00, 14:00 – 18:00"", ""terça-feira: 08:00 – 12:00, 14:00 – 18:00"", ""quarta-feira: 08:00 – 12:00, 14:00 – 18:00"", ""quinta-feira: 08:00 – 12:00, 14:00 – 18:00"", ""sexta-feira: 08:00 – 12:00, 14:00 – 18:00"", ""sábado: 08:00 – 11:45"", ""domingo: Fechado""]";"[""moving_company"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -10.1749966197085, 'lng': -48.2975709197085}, 'southwest': {'lat': -10.1776945802915, 'lng': -48.3002688802915}}
ChIJKZo7BIczO5MRXru33RmuBYM;Palmas/TO;Braspress Transportes Urgentes | Palmas - PMW;TO-010, Km 01 - S/N, Lote 12B, Galpão 01 - Área verde de palmas, Palmas;True;OPERATIONAL;-10.1761863;-48.29906769999999;"[""segunda-feira: 07:00 – 18:00"", ""terça-feira: 07:00 – 18:00"", ""quarta-feira: 07:00 – 18:00"", ""quinta-feira: 07:00 – 18:00"", ""sexta-feira: 07:00 – 17:00"", ""sábado: 07:00 – 11:00"", ""domingo: Fechado""]";"[""moving_company"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -10.1749964197085, 'lng': -48.2977276697085}, 'southwest': {'lat': -10.1776943802915, 'lng': -48.3004256302915}}
ChIJY2C4ZgDNJJMR_TSRlEk_OP8;Palmas/TO;Coopercarga | Tocantins;Área Verde de Palmas/TO Chácara 12 Rodovia TO 010 12B, Km 01, Galpão 08 ao 10, Sala 05 Ponto de referência: Galpão da Ferragista Negrão ao lado da Destaque Distribuidora ao final da Pista dupla sentido à Miracema - Plano Diretor Norte, Palmas;False;OPERATIONAL;-10.1761408;-48.2989249;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -10.1746406697085, 'lng': -48.2975804197085}, 'southwest': {'lat': -10.1773386302915, 'lng': -48.30027838029149}}
ChIJoWw0ewDNJJMRnx0oTuE8PYg;Palmas/TO;Belcar Caminhões Distribuidora - Palmas-TO;Rodovia TO, 01 - quadra 112 Norte lote 12 B Galpão 04 Sala 1 - Palmas;True;OPERATIONAL;-10.1759934;-48.2987627;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""car_repair"", ""store"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -10.1745645697085, 'lng': -48.2974160697085}, 'southwest': {'lat': -10.1772625302915, 'lng': -48.3001140302915}}
ChIJ9_6RI5XMJJMRjQkaf04BIQU;Palmas/TO;Ferragens Negrao Comercial Ltda;to 010 km, TO-010, 1 - 1, Palmas;False;OPERATIONAL;-10.1761569;-48.29955289999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -10.1748311697085, 'lng': -48.2983023697085}, 'southwest': {'lat': -10.1775291302915, 'lng': -48.3010003302915}}
ChIJDxOyuVrNJJMRlF3sDh5KsX8;Palmas/TO;TSV Transportes (transul encomendas);TO-050, 4414-4462, Palmas;False;OPERATIONAL;-10.1760468;-48.2995677;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -10.1746624697085, 'lng': -48.29828171970851}, 'southwest': {'lat': -10.1773604302915, 'lng': -48.3009796802915}}
ChIJrfmthLrNJJMR-JRwSmTwVbU;Palmas/TO;Petroforte Distribuidora - LUBRAX;ROD TO-010 KM 01 CHACARA 12-B LOTEAMENTO AREA VERDE DE PALMAS AREA RURAL DE, Palmas;True;OPERATIONAL;-10.1759759;-48.2995533;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -10.1745839697085, 'lng': -48.29822606970851}, 'southwest': {'lat': -10.1772819302915, 'lng': -48.3009240302915}}
ChIJWSQVEJXMJJMRA9hwnYXmgIA;Palmas/TO;Secretaria de Estado de Transportes e Obras;Rodovia TO 010 - s/n Km 1;False;OPERATIONAL;-10.1767233;-48.3008915;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -10.1753654197085, 'lng': -48.2995453197085}, 'southwest': {'lat': -10.1780633802915, 'lng': -48.30224328029149}}
ChIJWSQVEJXMJJMRdhDkrIpMQRQ;Palmas/TO;Rivoli do Brasil Spa;Rodovia TO 010 - s/n Km 7;False;OPERATIONAL;-10.1767233;-48.3008915;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -10.1753654197085, 'lng': -48.2995453197085}, 'southwest': {'lat': -10.1780633802915, 'lng': -48.30224328029149}}
