id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJZcy_uxLhYY0RvLVsrXh6Dfs;Macapá/AP;MrScienceLab (Sede);Rua Professor Tostes, 1579 - Buritizal, Macapá;False;OPERATIONAL;0.03483510000000001;-51.0683282;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': 0.03618993029150203, 'lng': -51.0670686697085}, 'southwest': {'lat': 0.03349196970849797, 'lng': -51.0697666302915}}
ChIJD4NWgy7hYY0Rlhsfd_lD3lw;Macapá/AP;Secretaria de Cultura - SECULT;Rua Professor Tostes, 1579 - Central, Macapá;True;OPERATIONAL;0.03469049999999999;-51.0683611;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""local_government_office"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': 0.03604453029150202, 'lng': -51.0670898697085}, 'southwest': {'lat': 0.03334656970849796, 'lng': -51.0697878302915}}
ChIJl0FXNA7hYY0RrZi1mGofJjA;Macapá/AP;Posto Petrobras;Avenida Padre Júlio Maria Lombaerd, 2143 - Santa Rita, Macapá;False;OPERATIONAL;0.0351889;-51.0682813;"[""Não disponível""]";"[""gas_station"", ""car_repair"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': 0.03655358029150203, 'lng': -51.0670332197085}, 'southwest': {'lat': 0.03385561970849797, 'lng': -51.06973118029149}}
ChIJGxLvbg7hYY0RNbsQDsyzFSA;Macapá/AP;Amazon Center;Avenida Padre Júlio Maria Lombaerd, 2205 - Central, Macapá;True;OPERATIONAL;0.0350781;-51.06885800000001;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: 08:00 – 17:00"", ""domingo: Fechado""]";"[""store"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': 0.03661678029150204, 'lng': -51.06749591970851}, 'southwest': {'lat': 0.03391881970849797, 'lng': -51.07019388029151}}
ChIJITFMD3TnYY0R5toF4QYVBYs;Macapá/AP;Equinócio Informática - Venda, locação e manutenção de impressoras;Rua Professor Tostes, 1616 - Central, Macapá;True;OPERATIONAL;0.0342895;-51.06866309999999;"[""segunda-feira: 08:00 – 12:00, 13:30 – 17:30"", ""terça-feira: 08:00 – 12:00, 13:30 – 17:30"", ""quarta-feira: 08:00 – 12:00, 13:30 – 17:30"", ""quinta-feira: 08:00 – 12:00, 13:30 – 17:30"", ""sexta-feira: 08:00 – 12:00, 13:30 – 17:30"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""electronics_store"", ""store"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': 0.03563203029150204, 'lng': -51.0672555697085}, 'southwest': {'lat': 0.03293406970849797, 'lng': -51.0699535302915}}
ChIJvdO4C2ThYY0RnzX6BMvgJEM;Macapá/AP;IMV Associados e Negócios;Avenida Mendonça Júnior, 2019 D - Central, Macapá;False;OPERATIONAL;0.0343027;-51.06825059999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': 0.03571413029150203, 'lng': -51.0668974697085}, 'southwest': {'lat': 0.03301616970849797, 'lng': -51.0695954302915}}
ChIJUzjewK_hYY0Rwlj7fdmYFqs;Macapá/AP;Companhia da Moda Macapá;Rua Professor Tostes, 1616c - Santa Rita, Macapá;True;OPERATIONAL;0.03429349999999999;-51.068769;"[""segunda-feira: 10:00 – 19:00"", ""terça-feira: 10:00 – 19:00"", ""quarta-feira: 10:00 – 19:00"", ""quinta-feira: 10:00 – 19:00"", ""sexta-feira: 10:00 – 19:00"", ""sábado: 10:00 – 14:00"", ""domingo: Fechado""]";"[""clothing_store"", ""store"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': 0.03563403029150203, 'lng': -51.0673085197085}, 'southwest': {'lat': 0.03293606970849797, 'lng': -51.0700064802915}}
ChIJZZuD9A7hYY0RBTHCop6XXQs;Macapá/AP;Queiroz Imóveis;Avenida Mendonça Júnior, 2019 C - Central, Macapá;True;OPERATIONAL;0.0342628;-51.06828830000001;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""real_estate_agency"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': 0.03569533029150204, 'lng': -51.06693371970851}, 'southwest': {'lat': 0.03299736970849797, 'lng': -51.06963168029151}}
ChIJUYorg9ThYY0RceSOq3dQVKM;Macapá/AP;Trevo Gráfica & Comunicação Visual;Rua Professor Tostes, 1620 - Santa Rita, Macapá;True;OPERATIONAL;0.034234;-51.0686602;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: 09:00 – 12:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': 0.03557933029150204, 'lng': -51.0672560197085}, 'southwest': {'lat': 0.03288136970849797, 'lng': -51.0699539802915}}
ChIJQ9h9SMPhYY0Ry6SuBe2b2kw;Macapá/AP;Trevo comércios e serviços;Rua Professor Tostes, 1620 - Central, Macapá;True;OPERATIONAL;0.034234;-51.0686602;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""storage"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': 0.03557883029150203, 'lng': -51.0672560197085}, 'southwest': {'lat': 0.03288086970849797, 'lng': -51.0699539802915}}
