id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ054eSQCPpJIRtuc3mNR_3es;Belém/PA;Siepa;Belém;False;OPERATIONAL;-1.4562684;-48.5012565;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.454936319708498, 'lng': -48.49989766970851}, 'southwest': {'lat': -1.457634280291502, 'lng': -48.50259563029151}}
ChIJw_DPs4-PpJIRhD0VaDB8EnE;Belém/PA;UNP Catedral Pará;Cidade Velha, Belém;False;OPERATIONAL;-1.4562684;-48.5012565;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.454936319708498, 'lng': -48.49989766970851}, 'southwest': {'lat': -1.457634280291502, 'lng': -48.50259563029151}}
ChIJ2Xcd22yPpJIR6uI4ZCzExmo;Belém/PA;"Dissertação; Mestrado; Projeto de Pesquisa; Artigo";Tv Padre Eut[iquio 2212, Rua Treze de Maio, 191 - Sala 908 - Batista Campos, Belém;False;OPERATIONAL;-1.4534326;-48.5011836;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.452111669708498, 'lng': -48.4997974197085}, 'southwest': {'lat': -1.454809630291502, 'lng': -48.5024953802915}}
ChIJI8M33QuPpJIRq1dYiuGzJYs;Belém/PA;UNIFACEAR - Polo Belém;Rua Avertano Rocha, 192 - Campina, Belém;True;OPERATIONAL;-1.4573873;-48.4993701;"[""segunda-feira: 09:00 – 17:00"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.455982969708498, 'lng': -48.4980652197085}, 'southwest': {'lat': -1.458680930291502, 'lng': -48.5007631802915}}
ChIJV5AFAL6NpJIRXHcX4f_wbqo;Belém/PA;CONEXA SERVIÇOS LTDA;Rua Avertano Rocha, 192 - Campina, Belém;False;OPERATIONAL;-1.4572687;-48.49924910000001;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.455871169708498, 'lng': -48.49793881970851}, 'southwest': {'lat': -1.458569130291502, 'lng': -48.50063678029151}}
ChIJrVqDIsOPpJIRkHTlTuXqN6Q;Belém/PA;Convento dos Mercedários - UFPA;Portão 1, Boulevard Castilhos França, s/n - Campina, Belém;True;OPERATIONAL;-1.4502537;-48.5008799;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.448831569708498, 'lng': -48.49959511970849}, 'southwest': {'lat': -1.451529530291502, 'lng': -48.50229308029149}}
ChIJTx11IQCPpJIRYGXrnu9i09k;Belém/PA;Mercedários UFPA - PORTÃO 3 (Estacionamento);Rua Padre Prudêncio - Campina, Belém;False;OPERATIONAL;-1.4501581;-48.5003235;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.448801419708498, 'lng': -48.4989809697085}, 'southwest': {'lat': -1.451499380291502, 'lng': -48.5016789302915}}
ChIJ45sN7SGPpJIRUNoKpnGvS2g;Belém/PA;Mercedários UFPA - PORTÃO 3;Travessa Padre Prudêncio - Campina, Belém;False;OPERATIONAL;-1.4500925;-48.5003043;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.448765919708498, 'lng': -48.49898346970851}, 'southwest': {'lat': -1.451463880291502, 'lng': -48.50168143029151}}
ChIJ4SDEJwCPpJIRhLc2WxrSeSw;Belém/PA;LACORE UFPA;Boulevard Castilhos França - Campina, Belém;False;OPERATIONAL;-1.4498951;-48.5005311;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.448537319708498, 'lng': -48.4991710697085}, 'southwest': {'lat': -1.451235280291502, 'lng': -48.50186903029149}}
ChIJlS3FqsaPpJIRR7I6PvOZxu4;Belém/PA;EAD Laureate - Belém - Campina;Avenida Almirante Tamandaré, 1005 - Campina, Belém;True;OPERATIONAL;-1.456804;-48.49650500000001;"[""segunda-feira: 09:00 – 20:00"", ""terça-feira: 09:00 – 20:00"", ""quarta-feira: 09:00 – 20:00"", ""quinta-feira: 09:00 – 20:00"", ""sexta-feira: Fechado"", ""sábado: 08:00 – 13:30"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.455529669708498, 'lng': -48.4951093697085}, 'southwest': {'lat': -1.458227630291502, 'lng': -48.4978073302915}}
ChIJUQ6qC_GPpJIRXv16-6Ja_Dc;Belém/PA;Wyden EaD - Polo Belém Batista Campos;Travessa São Pedro, 400 - Batista Campos, Belém;False;OPERATIONAL;-1.4578641;-48.4966951;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.456457919708498, 'lng': -48.49529156970851}, 'southwest': {'lat': -1.459155880291502, 'lng': -48.4979895302915}}
ChIJZW6VBouOpJIRzPv3FZgAhM8;Belém/PA;Anhanguera São Pedro - Polo Belém II;Travessa São Pedro, 417 - Batista Campos, Belém;True;OPERATIONAL;-1.4577746;-48.4964427;"[""segunda-feira: 08:00 – 22:00"", ""terça-feira: 08:00 – 22:00"", ""quarta-feira: 08:00 – 22:00"", ""quinta-feira: 08:00 – 22:00"", ""sexta-feira: 08:00 – 22:00"", ""sábado: 08:00 – 22:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.456454819708498, 'lng': -48.4951222697085}, 'southwest': {'lat': -1.459152780291502, 'lng': -48.4978202302915}}
ChIJq2J-UIWOpJIR8Ln_F1rnBpQ;Belém/PA;Unopar;Travessa São Pedro, 417 - Batista Campos, Belém;True;OPERATIONAL;-1.4577504;-48.4964163;"[""segunda-feira: 08:00 – 23:00"", ""terça-feira: 08:00 – 23:00"", ""quarta-feira: 08:00 – 23:00"", ""quinta-feira: 08:00 – 23:00"", ""sexta-feira: 08:00 – 23:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.456443419708498, 'lng': -48.49510836970851}, 'southwest': {'lat': -1.459141380291502, 'lng': -48.49780633029151}}
ChIJvXH3ewCPpJIRsdoUFmMIl0k;Belém/PA;Ginásio de Fisioterapia;Travessa São Pedro, 544 - Campina, Belém;False;OPERATIONAL;-1.4587232;-48.4957718;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.457325919708498, 'lng': -48.49437796970851}, 'southwest': {'lat': -1.460023880291502, 'lng': -48.4970759302915}}
ChIJ1Tgr3L2OpJIRrgcsPot8Vso;Belém/PA;UNIESAMAZ - Centro Universitário da Amazônia;Travessa São Pedro, 544 - Campina, Belém;True;OPERATIONAL;-1.4587232;-48.4957718;"[""segunda-feira: 07:00 – 22:30"", ""terça-feira: 07:00 – 22:30"", ""quarta-feira: 07:00 – 22:30"", ""quinta-feira: 07:00 – 22:30"", ""sexta-feira: 07:00 – 22:30"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.457325919708498, 'lng': -48.49437796970851}, 'southwest': {'lat': -1.460023880291502, 'lng': -48.4970759302915}}
ChIJa1kIdoqOpJIRd8Wv5kIh7r0;Belém/PA;Fael Assistência;Rua Veiga Cabral, 1055 - Cidade Velha, Belém;False;OPERATIONAL;-1.4598382;-48.4952924;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.458499219708498, 'lng': -48.4939317697085}, 'southwest': {'lat': -1.461197180291502, 'lng': -48.4966297302915}}
ChIJNbso9I2OpJIRBRTXqthl9rE;Belém/PA;ICA UFPA - Instituto de Ciências de Arte;Avenida Presidente Vargas, S/N - Campina, Belém;True;OPERATIONAL;-1.4526318;-48.4946386;"[""segunda-feira: 07:00 – 19:00"", ""terça-feira: 07:00 – 19:00"", ""quarta-feira: 07:00 – 19:00"", ""quinta-feira: 07:00 – 19:00"", ""sexta-feira: 07:00 – 19:00"", ""sábado: 07:00 – 16:00"", ""domingo: 07:00 – 12:00""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.451439369708498, 'lng': -48.4933863197085}, 'southwest': {'lat': -1.454137330291502, 'lng': -48.4960842802915}}
ChIJw8o1FZ-PpJIRvhPKcujUdkY;Belém/PA;Polo Estácio EAD;Avenida 16 de Novembro, 805 - B2 - PA, Belém;True;OPERATIONAL;-1.4621307;-48.4966413;"[""segunda-feira: 09:00 – 12:00, 13:00 – 18:00"", ""terça-feira: 09:00 – 12:00, 13:00 – 18:00"", ""quarta-feira: 09:00 – 12:00, 13:00 – 18:00"", ""quinta-feira: 09:00 – 12:00, 13:00 – 18:00"", ""sexta-feira: 09:00 – 12:00, 13:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.460822469708498, 'lng': -48.4953455197085}, 'southwest': {'lat': -1.463520430291502, 'lng': -48.4980434802915}}
ChIJ2RU82B-PpJIRcGqrvqg8Mgk;Belém/PA;MENTORIA ACADEMICA;Travessa Monte Alegre - Cidade Velha, Belém;True;OPERATIONAL;-1.4649087;-48.4997931;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -1.463541369708498, 'lng': -48.4984160197085}, 'southwest': {'lat': -1.466239330291502, 'lng': -48.5011139802915}}
