id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJAQAAAE3iYY0RuI4X1gQAGow;Macapá/AP;FATECH - Faculdade de Teologia e Ciências Humanas;Avenida Professora Cora de Carvalho, 1628 - Central, Macapá;True;OPERATIONAL;0.036107;-51.06355689999999;"[""segunda-feira: 14:00 – 21:00"", ""terça-feira: 14:00 – 21:00"", ""quarta-feira: 14:00 – 21:00"", ""quinta-feira: 14:00 – 21:00"", ""sexta-feira: 14:00 – 21:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': 0.03739413029150203, 'lng': -51.06221216970849}, 'southwest': {'lat': 0.03469616970849797, 'lng': -51.06491013029149}}
ChIJBRc3DxDhYY0RJWQpCz9H5VE;Macapá/AP;Universidade Vale Do Acaraú;Avenida Almirante Barroso, 861 - Central, Macapá;False;OPERATIONAL;0.03677439999999999;-51.0649358;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': 0.03819248029150203, 'lng': -51.0635808697085}, 'southwest': {'lat': 0.03549451970849796, 'lng': -51.06627883029149}}
ChIJu7t4vgPhYY0RI-gJC8BOxUY;Macapá/AP;IMES-Instituto Macapaense de Ensino Superior;Avenida Mendonça Júnior, 1105 - Central, Macapá;False;OPERATIONAL;0.0336463;-51.0600976;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': 0.03511438029150202, 'lng': -51.0587419197085}, 'southwest': {'lat': 0.03241641970849796, 'lng': -51.0614398802915}}
ChIJYUePON7hYY0RqNH2knFIcq0;Macapá/AP;Claretiano - Centro Universitário;Avenida Duque de Caxias, 907 - Centro, Macapá;False;OPERATIONAL;0.03923719999999999;-51.0643669;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': 0.04070463029150202, 'lng': -51.0630086197085}, 'southwest': {'lat': 0.03800666970849796, 'lng': -51.0657065802915}}
ChIJTW-v1SPhYY0RzcxZ9XDCrvs;Macapá/AP;Cartografias do Patrimônio;Avenida Felíciano Coelho - Trem, Macapá;False;OPERATIONAL;0.0293275;-51.0625876;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': 0.03064973029150203, 'lng': -51.0612403197085}, 'southwest': {'lat': 0.02795176970849797, 'lng': -51.0639382802915}}
ChIJnSLP_sXhYY0R7jfiHW_7ICo;Macapá/AP;Unigran;Rua Jovino Dinoá, 1601 - Centro, Macapá;False;OPERATIONAL;0.0375167;-51.059942;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': 0.03886803029150204, 'lng': -51.05862931970849}, 'southwest': {'lat': 0.03617006970849797, 'lng': -51.06132728029149}}
ChIJ30xoNuDgYY0ReyX9veRMa80;Macapá/AP;UNIFATECIE MEGA POLO MACAPÁ;Avenida Machado de Assis, 333 - Central, Macapá;True;OPERATIONAL;0.0399647;-51.0629369;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': 0.04144543029150204, 'lng': -51.0615795197085}, 'southwest': {'lat': 0.03874746970849797, 'lng': -51.0642774802915}}
ChIJKQiy_2XhYY0R0pGIh6h68nw;Macapá/AP;FCA - Faculdade de Ciências da Amazônia;Avenida Maria Quitéria, 358 - Buritizal, Macapá;True;OPERATIONAL;0.0281367;-51.0660538;"[""segunda-feira: 15:00 – 21:00"", ""terça-feira: 15:00 – 21:00"", ""quarta-feira: 15:00 – 21:00"", ""quinta-feira: 15:00 – 21:00"", ""sexta-feira: 15:00 – 21:00"", ""sábado: 14:00 – 18:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': 0.02948568029150203, 'lng': -51.0647048197085}, 'southwest': {'lat': 0.02678771970849797, 'lng': -51.06740278029149}}
ChIJj025BbHhYY0RO75c-flwdHU;Macapá/AP;EAD Laureate - Macapá Centro;Avenida Fab, 1525-B - Centro, Macapá;True;OPERATIONAL;0.0408264;-51.06358760000001;"[""segunda-feira: 08:00 – 12:00, 14:00 – 20:00"", ""terça-feira: 08:00 – 12:00, 14:00 – 20:00"", ""quarta-feira: 08:00 – 12:00, 14:00 – 20:00"", ""quinta-feira: 08:00 – 12:00, 14:00 – 20:00"", ""sexta-feira: 08:00 – 12:00, 14:00 – 20:00"", ""sábado: 08:00 – 14:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': 0.04228973029150203, 'lng': -51.06223336970851}, 'southwest': {'lat': 0.03959176970849797, 'lng': -51.06493133029151}}
ChIJGwXlPhjhYY0RBGi4_xMtA3g;Macapá/AP;EDUCAP;Avenida Presidente Vargas, 1076 - Centro, Macapá;True;OPERATIONAL;0.0383457;-51.0595113;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 18:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': 0.03962848029150203, 'lng': -51.0581684197085}, 'southwest': {'lat': 0.03693051970849796, 'lng': -51.0608663802915}}
