id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJO_s7M3c9uAARBpkJuBJDYVM;Vitória/ES;RODOVIÁRIA DE VITÓRIA ViX;Rua Rosilda Falcão dos Anjos, 1-29 - Ilha do Príncipe, Vitória;False;OPERATIONAL;-20.3206286;-40.3519274;"[""Não disponível""]";"[""bus_station"", ""transit_station"", ""travel_agency"", ""point_of_interest"", ""establishment""]";bus_station;{'northeast': {'lat': -20.3190828197085, 'lng': -40.3505264197085}, 'southwest': {'lat': -20.3217807802915, 'lng': -40.3532243802915}}
ChIJU0tiDcs9uAAR5PfbuIYJ8QQ;Vitória/ES;Terminal da Esso;Vila Velha;False;OPERATIONAL;-20.3307444;-40.3477664;"[""Não disponível""]";"[""bus_station"", ""transit_station"", ""point_of_interest"", ""establishment""]";bus_station;{'northeast': {'lat': -20.3295798697085, 'lng': -40.3464615197085}, 'southwest': {'lat': -20.3322778302915, 'lng': -40.3491594802915}}
ChIJKT_ScTQ8uAARSZK1RliAbrE;Vitória/ES;Terminal São Torquato;Rua Doutor Francisco Lacerda de Aguiar - São Torquato, Vila Velha;False;OPERATIONAL;-20.3299726;-40.3530179;"[""Não disponível""]";"[""bus_station"", ""transit_station"", ""point_of_interest"", ""establishment""]";bus_station;{'northeast': {'lat': -20.3286362197085, 'lng': -40.3516594197085}, 'southwest': {'lat': -20.3313341802915, 'lng': -40.3543573802915}}
ChIJnW4PWec9uAARPSJxI0dj4jQ;Vitória/ES;Terminal Urbano Do Ibes;R. Mahatma Gandhi - Santa Inês, Vila Velha;False;OPERATIONAL;-20.3463883;-40.3154281;"[""Não disponível""]";"[""bus_station"", ""transit_station"", ""point_of_interest"", ""establishment""]";bus_station;{'northeast': {'lat': -20.3450325197085, 'lng': -40.3140843697085}, 'southwest': {'lat': -20.3477304802915, 'lng': -40.3167823302915}}
ChIJ332fEzc9uAARzp28akMCzJ0;Vitória/ES;Terminal Rodoviario - Visão Transportes;rua Central 386 - qd C lt 4 Civit II, Serra;False;OPERATIONAL;-20.2809515;-40.3327086;"[""Não disponível""]";"[""bus_station"", ""transit_station"", ""point_of_interest"", ""establishment""]";bus_station;{'northeast': {'lat': -20.2796068697085, 'lng': -40.33135821970851}, 'southwest': {'lat': -20.2823048302915, 'lng': -40.3340561802915}}
ChIJvYM4FB08uAARI9owLLldU_A;Vitória/ES;Terminal Rodoviário - Izamar Badi;rod BR 262 4 - s 04, Cariacica;False;OPERATIONAL;-20.3362799;-40.37861229999999;"[""Não disponível""]";"[""bus_station"", ""transit_station"", ""point_of_interest"", ""establishment""]";bus_station;{'northeast': {'lat': -20.33511476970849, 'lng': -40.37724051970849}, 'southwest': {'lat': -20.3378127302915, 'lng': -40.37993848029149}}
ChIJwUxhKVU5uAARMazDQpkhxmA;Vitória/ES;Terminal Rodoviário - Transperes Transportes;rua Itamarati 3 - s 102, Cariacica;False;OPERATIONAL;-20.3370728;-40.3908263;"[""Não disponível""]";"[""bus_station"", ""transit_station"", ""point_of_interest"", ""establishment""]";bus_station;{'northeast': {'lat': -20.3357369697085, 'lng': -40.38946436970851}, 'southwest': {'lat': -20.3384349302915, 'lng': -40.3921623302915}}
ChIJfUCk3zs-uAARdr6OWaBnPg4;Vitória/ES;Terminal Rodoviário - Jtb Transporte e Turismo;Rua José Joaquim Santana Rosa, 18 - Jardim Guaranhuns, Vila Velha;False;OPERATIONAL;-20.3791891;-40.32407069999999;"[""Não disponível""]";"[""bus_station"", ""transit_station"", ""point_of_interest"", ""establishment""]";bus_station;{'northeast': {'lat': -20.3778294697085, 'lng': -40.3227438197085}, 'southwest': {'lat': -20.3805274302915, 'lng': -40.3254417802915}}
ChIJk2nQiFI5uAARlLlbm3YFNaE;Vitória/ES;Cariacica;s/n 080, Rua Dom Pedro II - Cruzeiro do Sul, Cariacica;False;OPERATIONAL;-20.3461965;-40.3960888;"[""Não disponível""]";"[""bus_station"", ""transit_station"", ""point_of_interest"", ""establishment""]";bus_station;{'northeast': {'lat': -20.3448752697085, 'lng': -40.39474841970851}, 'southwest': {'lat': -20.3475732302915, 'lng': -40.39744638029151}}
ChIJUxAH_E45uAARYAykgLQDAWQ;Vitória/ES;Terminal de Campo Grande;Rua Dom Pedro II, s/n - Cruzeiro do Sul, Cariacica;False;OPERATIONAL;-20.3459097;-40.3966642;"[""Não disponível""]";"[""bus_station"", ""transit_station"", ""point_of_interest"", ""establishment""]";bus_station;{'northeast': {'lat': -20.3445110697085, 'lng': -40.39595901970851}, 'southwest': {'lat': -20.3472090302915, 'lng': -40.39865698029151}}
