id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJuRICoi2ZpgAR9J8jedogQ2w;Belo Horizonte/MG;School Box;Santa Cruz do Sul, Santa Bárbara do Sul;True;OPERATIONAL;-19.9167;-43.93450000000001;"[""segunda-feira: Fechado"", ""terça-feira: Fechado"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -19.9153478197085, 'lng': -43.93316761970849}, 'southwest': {'lat': -19.9180457802915, 'lng': -43.93586558029149}}
ChIJzw0oSYuQpgARO3wj1ILTnz8;Belo Horizonte/MG;GMMLE - Grêmio Mínero-Metalúrgico da UFMG;Avenida Presidente Antônio Carlos, 6627 - Centro, Belo Horizonte;True;OPERATIONAL;-19.9166988;-43.9344984;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 13:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -19.9153464197085, 'lng': -43.9331673197085}, 'southwest': {'lat': -19.9180443802915, 'lng': -43.93586528029149}}
ChIJOVAho1KZpgARm-tcjoEYbeQ;Belo Horizonte/MG;Camila Messeder, Psicólogo;Online, Belo Horizonte;False;OPERATIONAL;-19.9166813;-43.934494;"[""Não disponível""]";"[""health"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -19.9153278197085, 'lng': -43.93316331970851}, 'southwest': {'lat': -19.9180257802915, 'lng': -43.9358612802915}}
ChIJvSe87h-ZpgARfWIKBc8GVVY;Belo Horizonte/MG;Erick Pereira Costa, Psicólogo;Avenida Assis Chateaubriand, 127 - Floresta, Belo Horizonte;True;OPERATIONAL;-19.9166813;-43.934494;"[""segunda-feira: 09:00 – 20:00"", ""terça-feira: 09:00 – 20:00"", ""quarta-feira: 09:00 – 20:00"", ""quinta-feira: 09:00 – 21:00"", ""sexta-feira: 09:00 – 20:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -19.9153278197085, 'lng': -43.93316331970851}, 'southwest': {'lat': -19.9180257802915, 'lng': -43.9358612802915}}
ChIJ-ev_-tiXpgARdgRC6g3Um58;Belo Horizonte/MG;Atelier Lia Otone;Belo Horizonte;True;OPERATIONAL;-19.9166813;-43.9344931;"[""segunda-feira: 10:30 – 15:30"", ""terça-feira: 10:30 – 15:30"", ""quarta-feira: 10:30 – 15:30"", ""quinta-feira: 10:30 – 15:30"", ""sexta-feira: 10:30 – 15:30"", ""sábado: 10:30 – 15:30"", ""domingo: Fechado""]";"[""clothing_store"", ""point_of_interest"", ""store"", ""establishment""]";business;{'northeast': {'lat': -19.9153278197085, 'lng': -43.93316331970851}, 'southwest': {'lat': -19.9180257802915, 'lng': -43.9358612802915}}
ChIJvyVz4GWFu5QRl7xJ9LSCr3s;Belo Horizonte/MG;Santo Italiano;Belo Horizonte;True;OPERATIONAL;-19.9166813;-43.9344931;"[""segunda-feira: 10:00 – 20:00"", ""terça-feira: 10:00 – 20:00"", ""quarta-feira: 10:00 – 20:00"", ""quinta-feira: 10:00 – 20:00"", ""sexta-feira: 10:00 – 20:00"", ""sábado: 10:00 – 20:00"", ""domingo: 10:00 – 18:00""]";"[""food"", ""point_of_interest"", ""store"", ""establishment""]";business;{'northeast': {'lat': -19.9153278197085, 'lng': -43.93316331970851}, 'southwest': {'lat': -19.9180257802915, 'lng': -43.9358612802915}}
ChIJiXxoidKZpgARm-SGpKiO5_8;Belo Horizonte/MG;VUTS;Belo Horizonte;False;OPERATIONAL;-19.9166813;-43.9344931;"[""Não disponível""]";"[""lodging"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -19.9153278197085, 'lng': -43.93316331970851}, 'southwest': {'lat': -19.9180257802915, 'lng': -43.9358612802915}}
ChIJe3UFQESZpgARpvEm_bKXnkU;Belo Horizonte/MG;Dinomark;Rua Belo Horizonte, 364B - Cidade Jardim, Belo Horizonte;False;OPERATIONAL;-19.9166813;-43.9344931;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -19.9153278197085, 'lng': -43.93316331970851}, 'southwest': {'lat': -19.9180257802915, 'lng': -43.9358612802915}}
ChIJ3Zoen8GZpgARL3U_K0B3DI0;Belo Horizonte/MG;Igreja Dos Cantores;Belo Horizonte;False;OPERATIONAL;-19.9166813;-43.9344931;"[""Não disponível""]";"[""church"", ""place_of_worship"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -19.9153278197085, 'lng': -43.93316331970851}, 'southwest': {'lat': -19.9180257802915, 'lng': -43.9358612802915}}
ChIJafsGo1ybpgARuiz6VVYBwyU;Belo Horizonte/MG;Arrozeria Mineira;Belo Horizonte;False;CLOSED_TEMPORARILY;-19.9166813;-43.9344931;"[""Não disponível""]";"[""meal_delivery"", ""food"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -19.9153278197085, 'lng': -43.93316331970851}, 'southwest': {'lat': -19.9180257802915, 'lng': -43.9358612802915}}
