id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJE5ekfwBZzpQRUOU7JqWsZJA;São Paulo/SP;Ponto inicial;Sé, São Paulo;False;OPERATIONAL;-23.5505;-46.6333;"[""Não disponível""]";"[""store"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -23.54893571970849, 'lng': -46.6317538697085}, 'southwest': {'lat': -23.5516336802915, 'lng': -46.6344518302915}}
ChIJ_TQOeQBZzpQRT1-UikWpL34;São Paulo/SP;Etec;Sé, São Paulo;False;OPERATIONAL;-23.5505;-46.6333;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -23.54893571970849, 'lng': -46.6317538697085}, 'southwest': {'lat': -23.5516336802915, 'lng': -46.6344518302915}}
ChIJKT0xXKpZzpQRBVMxnDs6RfA;São Paulo/SP;SUED;av amador bueno da veiga 2521 bx:00 - penha, São Paulo;False;CLOSED_TEMPORARILY;-23.55052;-46.633304;"[""Não disponível""]";"[""store"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -23.5494873197085, 'lng': -46.6319620197085}, 'southwest': {'lat': -23.5521852802915, 'lng': -46.6346599802915}}
ChIJhc_rMk1ZzpQR4iJDp0bar5w;São Paulo/SP;Camilla Gonçalves Campos, Psicóloga;Rua Tamôio, 252, Americana;False;OPERATIONAL;-23.5505199;-46.63330839999999;"[""Não disponível""]";"[""health"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -23.5489357697085, 'lng': -46.6317561697085}, 'southwest': {'lat': -23.5516337302915, 'lng': -46.63445413029149}}
ChIJF-vd6P5ZzpQR-WXYRAMXdHY;São Paulo/SP;Dr. Marcos de Souza Garcia, Cardiologista;Rua Joaquim Azevedo Figueira, 30, Lorena;False;OPERATIONAL;-23.5505199;-46.63330839999999;"[""Não disponível""]";"[""doctor"", ""health"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -23.5489357697085, 'lng': -46.6317561697085}, 'southwest': {'lat': -23.5516337302915, 'lng': -46.63445413029149}}
ChIJ2bdMTUJZzpQROP9wxh2QR4c;São Paulo/SP;Dra. Antonieta Ozzetti, Geriatra;GRANDE SÃO PAULO E ABC PAULISTA, São Paulo;False;OPERATIONAL;-23.5505199;-46.63330839999999;"[""Não disponível""]";"[""doctor"", ""health"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -23.5489357697085, 'lng': -46.6317561697085}, 'southwest': {'lat': -23.5516337302915, 'lng': -46.63445413029149}}
ChIJWZIJJLxZzpQRz0NXP-Kr3k8;São Paulo/SP;Dr. Rafael Albino Lencioni, Cirurgião cardiovascular;Rua Maestro Cardim 769 - 2º subsolo - sala 9, São Paulo;False;OPERATIONAL;-23.55052;-46.63330839999999;"[""Não disponível""]";"[""doctor"", ""health"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -23.5489358197085, 'lng': -46.6317561697085}, 'southwest': {'lat': -23.5516337802915, 'lng': -46.63445413029149}}
ChIJA9y9agdZzpQROYVvpW_Q4Nw;São Paulo/SP;Isabele Sartori;Atendimento on-line - Para agendar envie mensagem por Whatsapp;False;OPERATIONAL;-23.55052;-46.63330839999999;"[""Não disponível""]";"[""health"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -23.5489358197085, 'lng': -46.6317561697085}, 'southwest': {'lat': -23.5516337802915, 'lng': -46.63445413029149}}
ChIJ-VAQ_0RZzpQRNAiTXKNvfj0;São Paulo/SP;Dr. André Felix Gentil, Neurocirurgião;Hospital Albert Einstein - Unidade Morumbi, Bloco A1, 5 andar, Sala 520;False;OPERATIONAL;-23.55052;-46.63330839999999;"[""Não disponível""]";"[""doctor"", ""health"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -23.5489358197085, 'lng': -46.6317561697085}, 'southwest': {'lat': -23.5516337802915, 'lng': -46.63445413029149}}
ChIJ3ewUYoJZzpQRCxrEgMFumzg;São Paulo/SP;Angela Teresa Bacelar Albuquerque Bampi;Avenida Doutor Enéas Carvalho de Aguiar, 44 - Pacaembu, São Paulo;False;OPERATIONAL;-23.55052;-46.63330839999999;"[""Não disponível""]";"[""doctor"", ""health"", ""point_of_interest"", ""establishment""]";business;{'northeast': {'lat': -23.5489358197085, 'lng': -46.6317561697085}, 'southwest': {'lat': -23.5516337802915, 'lng': -46.63445413029149}}
