id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJd50u8ZcXuAAR8XOv3fVgCr8;Vitória/ES;Palácio dos Brinquedos;Avenida Rio Branco, 1357 - Loja 2 - Praia do Canto, Vitória;True;OPERATIONAL;-20.297081;-40.2956736;"[""segunda-feira: 09:00 – 18:30"", ""terça-feira: 09:00 – 18:30"", ""quarta-feira: 09:00 – 18:30"", ""quinta-feira: 09:00 – 18:30"", ""sexta-feira: 09:00 – 18:30"", ""sábado: 08:30 – 18:00"", ""domingo: Fechado""]";"[""store"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.2957742697085, 'lng': -40.2942568197085}, 'southwest': {'lat': -20.2984722302915, 'lng': -40.2969547802915}}
ChIJZYnWXO4XuAARjo-AngfwNc4;Vitória/ES;Ctrl+Play Vitória Praia do Canto;Avenida Rio Branco, 1357 - Sala 02 - Praia do Canto, Vitória;True;OPERATIONAL;-20.297081;-40.2956736;"[""segunda-feira: 08:00 – 21:00"", ""terça-feira: 08:00 – 21:00"", ""quarta-feira: 08:00 – 21:00"", ""quinta-feira: 08:00 – 21:00"", ""sexta-feira: 08:00 – 21:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.2957742697085, 'lng': -40.2942568197085}, 'southwest': {'lat': -20.2984722302915, 'lng': -40.2969547802915}}
ChIJpVJoRrgXuAARWhlEILpYCpA;Vitória/ES;CNA Vitória - Praia do Canto;Avenida Rio Branco, 1357 - Praia do Canto, Vitória;True;OPERATIONAL;-20.297081;-40.2956736;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 20:30"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 20:30"", ""sexta-feira: 08:00 – 17:00"", ""sábado: 09:00 – 16:30"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.2957743197085, 'lng': -40.2942568197085}, 'southwest': {'lat': -20.2984722802915, 'lng': -40.2969547802915}}
ChIJty9AoA0ZuAAR_QeqJu8Ym0U;Vitória/ES;VolksGrillVix - Praia do Canto;Esquina Banco do Brasil - Avenida Rio Branco, 1340 - Praia do Canto, Vitória;False;OPERATIONAL;-20.2974042;-40.2954633;"[""segunda-feira: 17:00 – 23:00"", ""terça-feira: 17:00 – 23:00"", ""quarta-feira: 17:00 – 23:00"", ""quinta-feira: 17:00 – 23:00"", ""sexta-feira: 17:00 – 23:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.2960381197085, 'lng': -40.29414316970851}, 'southwest': {'lat': -20.2987360802915, 'lng': -40.2968411302915}}
ChIJY9qDzu4XuAARSSG9M7cSh5A;Vitória/ES;Caribbean Island;Avenida Rio Branco, 1384 - Praia do Canto, Vitória;False;OPERATIONAL;-20.29723109999999;-40.2952601;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.2958466697085, 'lng': -40.2939708697085}, 'southwest': {'lat': -20.2985446302915, 'lng': -40.2966688302915}}
ChIJNTlazu4XuAARBH08yjszHVw;Vitória/ES;Construtora e Incorporadora Viga;Avenida Rio Branco, 1384 - Praia do Canto, Vitória;False;OPERATIONAL;-20.2972295;-40.2952579;"[""Não disponível""]";"[""general_contractor"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.2958458197085, 'lng': -40.2939697197085}, 'southwest': {'lat': -20.29854378029151, 'lng': -40.2966676802915}}
ChIJwZfk9PcXuAARbbnMIq2_UGw;Vitória/ES;Edifício Montparnasse;Avenida Rio Branco, 1400 - Praia do Canto, Vitória;False;OPERATIONAL;-20.2971203;-40.2951801;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.2957348197085, 'lng': -40.2938928697085}, 'southwest': {'lat': -20.2984327802915, 'lng': -40.2965908302915}}
ChIJzQBsitIXuAARtIlAZtgMGwg;Vitória/ES;Edifício Morena Da Praia;Avenida Rio Branco, 1401 - Praia do Canto, Vitória;False;OPERATIONAL;-20.2968899;-40.2955607;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.2955873697085, 'lng': -40.2941358697085}, 'southwest': {'lat': -20.2982853302915, 'lng': -40.2968338302915}}
ChIJkx7wY9gXuAARZof9_T9WX-0;Vitória/ES;Automat;Avenida Rio Branco, 1383 - Praia do Canto, Vitória;True;OPERATIONAL;-20.2968863;-40.29556709999999;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.2955856697085, 'lng': -40.2941391697085}, 'southwest': {'lat': -20.2982836302915, 'lng': -40.2968371302915}}
ChIJ36nbrHoXuAARtmPbD3vcUdw;Vitória/ES;NaCapital Rio Branco;Avenida Rio Branco, 1383 - Praia do Canto, Vitória;True;OPERATIONAL;-20.2968863;-40.29556709999999;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -20.2955856697085, 'lng': -40.2941391697085}, 'southwest': {'lat': -20.2982836302915, 'lng': -40.2968371302915}}
