id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJW4FYT5CTpgARql19aarWNbI;Belo Horizonte/MG;Concelho do tutelar Vargem das flores;Rua Antônio Dias de Menezes Filho, 325 - Nacional, Contagem;False;OPERATIONAL;-19.8409676;-44.0244753;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -19.8395385197085, 'lng': -44.0231294697085}, 'southwest': {'lat': -19.8422364802915, 'lng': -44.02582743029149}}
ChIJtzg-7iuSpgARxCcWRoR79xk;Belo Horizonte/MG;Esf 21 - Caiapós;Rua Lúcia Muniz, n° 476 - n° 476 - Nacional, Contagem;False;OPERATIONAL;-19.8427334;-44.02401919999999;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -19.8413495197085, 'lng': -44.0226388697085}, 'southwest': {'lat': -19.8440474802915, 'lng': -44.0253368302915}}
ChIJz6t77iuSpgAR7Er53KBO8IE;Belo Horizonte/MG;Ubs Joaquim Murtinho;Rua Lúcia Muniz, n° 476 - n° 476 - Nacional, Contagem;True;OPERATIONAL;-19.8428028;-44.023959;"[""segunda-feira: 08:00 – 16:30"", ""terça-feira: 08:00 – 16:30"", ""quarta-feira: 08:00 – 16:30"", ""quinta-feira: 08:00 – 16:30"", ""sexta-feira: 08:00 – 16:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -19.84141536970849, 'lng': -44.0225715197085}, 'southwest': {'lat': -19.8441133302915, 'lng': -44.0252694802915}}
ChIJH2eYLTCSpgARKLy-3bW6lrA;Belo Horizonte/MG;Esf 18 Liberdade;Rua Capitolio, n° 72 - Parque Xangri-Lá, Contagem;False;OPERATIONAL;-19.8376078;-44.0299613;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -19.8362100197085, 'lng': -44.0285924197085}, 'southwest': {'lat': -19.8389079802915, 'lng': -44.0312903802915}}
ChIJVVVhzdOTpgARZhJzZrhNpWA;Belo Horizonte/MG;Ursf Nacional;Rua Marechal Floriano Peixoto, n° 645 - Nacional, Contagem;False;OPERATIONAL;-19.8498042;-44.0269687;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -19.8483628697085, 'lng': -44.0256580197085}, 'southwest': {'lat': -19.85106083029151, 'lng': -44.0283559802915}}
ChIJVVVhzdOTpgARJobWtGpELK0;Belo Horizonte/MG;Nasf Nacional;Rua Marechal Floriano Peixoto, n° 645 - Nacional, Contagem;False;OPERATIONAL;-19.8498042;-44.0269687;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -19.8483628697085, 'lng': -44.0256580197085}, 'southwest': {'lat': -19.85106083029151, 'lng': -44.0283559802915}}
ChIJubK509OTpgAR0ilF_hDpeEw;Belo Horizonte/MG;ESF 23 - Nacional 2;Rua Benjamin Constant, n° 701 - Nacional, Contagem;True;OPERATIONAL;-19.8500498;-44.026848;"[""segunda-feira: 07:00 – 17:00"", ""terça-feira: 07:00 – 17:00"", ""quarta-feira: 07:00 – 17:00"", ""quinta-feira: 07:00 – 17:00"", ""sexta-feira: 07:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""local_government_office"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -19.8487808697085, 'lng': -44.0254609697085}, 'southwest': {'lat': -19.8514788302915, 'lng': -44.0281589302915}}
ChIJ2Sjy09OTpgARpP8hr4-6IFw;Belo Horizonte/MG;P. A. Zoonoses Nacional;Rua Benjamin Constant, n° 701 - Nacional, Contagem;False;OPERATIONAL;-19.8501323;-44.0268209;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -19.84882386970849, 'lng': -44.02545171970851}, 'southwest': {'lat': -19.8515218302915, 'lng': -44.02814968029151}}
ChIJ_fv7cuCRpgARck0rcARp4sI;Belo Horizonte/MG;Controle de Zoonoses;Rua Elpidio Pereira Pires, 56 - Céu Azul, Belo Horizonte;True;OPERATIONAL;-19.8209765;-44.0059725;"[""segunda-feira: Fechado"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -19.8196553197085, 'lng': -44.0046352197085}, 'southwest': {'lat': -19.82235328029151, 'lng': -44.0073331802915}}
ChIJ62m5neaRpgARBjI8Fs8IWwo;Belo Horizonte/MG;Centro de Saúde Lagoa 2;Céu Azul, Belo Horizonte;False;OPERATIONAL;-19.82101159999999;-44.0055321;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -19.8197468697085, 'lng': -44.00421856970851}, 'southwest': {'lat': -19.8224448302915, 'lng': -44.00691653029151}}
ChIJ08V8Pd-RpgARrCtctSWxKiM;Belo Horizonte/MG;Roberta Aueroz Odontologia;Rua Antônio José dos Santos, 833 - Céu Azul, Belo Horizonte;True;OPERATIONAL;-19.8205333;-43.9971802;"[""segunda-feira: 08:00 – 19:00"", ""terça-feira: 08:00 – 19:00"", ""quarta-feira: 08:00 – 19:00"", ""quinta-feira: 08:00 – 19:00"", ""sexta-feira: 08:00 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -19.81917641970849, 'lng': -43.99577171970849}, 'southwest': {'lat': -19.8218743802915, 'lng': -43.99846968029149}}
ChIJo1RwjsiTpgARERNt3tFsbnk;Belo Horizonte/MG;Unidade Básica de Saúde Vale das Amendoeiras;Rua Seis, 52 - Vale das Amendoeiras, Contagem;True;OPERATIONAL;-19.8515468;-44.0360548;"[""segunda-feira: 07:00 – 19:00"", ""terça-feira: 07:00 – 19:00"", ""quarta-feira: 07:00 – 19:00"", ""quinta-feira: 07:00 – 19:00"", ""sexta-feira: 07:00 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -19.8501699697085, 'lng': -44.03470351970849}, 'southwest': {'lat': -19.8528679302915, 'lng': -44.03740148029149}}
ChIJw2ICYvuTpgARfGlvjFq97P4;Belo Horizonte/MG;Zoonose Nacional coordenação;Rua Ametista, 383 - Pedra Azul, Contagem;True;OPERATIONAL;-19.855899;-44.0313264;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -19.8545548197085, 'lng': -44.0299895697085}, 'southwest': {'lat': -19.8572527802915, 'lng': -44.0326875302915}}
ChIJ4f6N48STpgAR1xD0h6g8dGU;Belo Horizonte/MG;Coordenação Do Distrito Sanitário Nacional;Rua Ametista, n° 383 - Pedra Azul, Contagem;False;OPERATIONAL;-19.855899;-44.0313264;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -19.8545548197085, 'lng': -44.0299895697085}, 'southwest': {'lat': -19.8572527802915, 'lng': -44.0326875302915}}
ChIJCw23joCNpgARECabc-Xful4;Belo Horizonte/MG;Hospício do Jardim de Ala;Rua Suaçuí, 444 - Jardim de Ala (Justinopolis), Ribeirão das Neves;False;OPERATIONAL;-19.8088516;-44.0218559;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -19.8075172697085, 'lng': -44.0204672697085}, 'southwest': {'lat': -19.8102152302915, 'lng': -44.0231652302915}}
ChIJ___QG9yTpgARM-sbgMT5Zwk;Belo Horizonte/MG;P. A. Zoonoses Estrela Dalva;Rua do Luar, n° 349 - Estrela Dalva, Contagem;False;OPERATIONAL;-19.8612312;-44.0250935;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -19.8598113697085, 'lng': -44.0237164697085}, 'southwest': {'lat': -19.8625093302915, 'lng': -44.0264144302915}}
