id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ3w3U5FMNlwARrE3wSAi4eFA;Rio de Janeiro/RJ;PSF Vila Nova;Cidade Nova, Rio de Janeiro;False;OPERATIONAL;-22.91339100000001;-43.2006954;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -22.91203926970851, 'lng': -43.19939546970851}, 'southwest': {'lat': -22.91473723029151, 'lng': -43.20209343029151}}
ChIJUVDg8GV_mQARqfZZuzA9DEQ;Rio de Janeiro/RJ;Para Mamis;Rua Senhor de Matosinhos, 361 - Cidade Nova, Rio de Janeiro;True;OPERATIONAL;-22.9133315;-43.1999387;"[""segunda-feira: 10:00 – 18:00"", ""terça-feira: 10:00 – 18:00"", ""quarta-feira: 10:00 – 18:00"", ""quinta-feira: 10:00 – 18:00"", ""sexta-feira: 10:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -22.9119124697085, 'lng': -43.1985885697085}, 'southwest': {'lat': -22.9146104302915, 'lng': -43.2012865302915}}
ChIJDU6Xagl_mQARMdHDME3pqLE;Rio de Janeiro/RJ;Instituto de Pericias Heitor Carrilho;Rua Frei Caneca, 401 - Estácio, Rio de Janeiro;True;OPERATIONAL;-22.9152808;-43.1998797;"[""segunda-feira: 09:00 – 17:00"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -22.9138856197085, 'lng': -43.1984695697085}, 'southwest': {'lat': -22.9165835802915, 'lng': -43.2011675302915}}
ChIJQSG9ngh_mQAR2wSUsg3fbV0;Rio de Janeiro/RJ;Hospital Central da Polícia Militar;Rua Estácio de Sá, 20 - Estácio, Rio de Janeiro;True;OPERATIONAL;-22.9130438;-43.2038574;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: 00:00 – 23:59""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -22.9120816697085, 'lng': -43.2024023197085}, 'southwest': {'lat': -22.91477963029151, 'lng': -43.2051002802915}}
ChIJgwQOTQ5_mQARFDaFX_Rok_o;Rio de Janeiro/RJ;Maternidade Thompson Motta;Rua Afonso Cavalcanti, s/n - Centro, Rio de Janeiro;False;OPERATIONAL;-22.90969;-43.2011632;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -22.9082522197085, 'lng': -43.1998455197085}, 'southwest': {'lat': -22.91095018029151, 'lng': -43.2025434802915}}
ChIJ9ZKVSA5_mQARIXmjyVG9X1Y;Rio de Janeiro/RJ;Cms Marcolino Candau;Rua Laura de Araújo, 36 - Cidade Nova, Rio de Janeiro;True;OPERATIONAL;-22.909567;-43.2008398;"[""segunda-feira: 07:00 – 17:00"", ""terça-feira: 07:00 – 17:00"", ""quarta-feira: 07:00 – 17:00"", ""quinta-feira: 07:00 – 17:00"", ""sexta-feira: 07:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -22.9081815197085, 'lng': -43.1994373697085}, 'southwest': {'lat': -22.9108794802915, 'lng': -43.2021353302915}}
ChIJC1SkuQ9_mQARADID-sGMtFU;Rio de Janeiro/RJ;Hospital Escola São Francisco de Assis;Avenida Presidente Vargas, 2863 - Centro, Rio de Janeiro;True;OPERATIONAL;-22.9091861;-43.2017892;"[""segunda-feira: 07:00 – 17:00"", ""terça-feira: 07:00 – 17:00"", ""quarta-feira: 07:00 – 17:00"", ""quinta-feira: 07:00 – 17:00"", ""sexta-feira: 07:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -22.90771681970849, 'lng': -43.2004897697085}, 'southwest': {'lat': -22.9104147802915, 'lng': -43.2031877302915}}
ChIJ2x_lgNF_mQARUfWG7DQiOZs;Rio de Janeiro/RJ;Unidade Avançada Cidade Nova | Hapvida NotreDame Intermédica;Rua Pinto de Azevedo, 105 - Cidade Nova, Rio de Janeiro;True;OPERATIONAL;-22.9108192;-43.20448469999999;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -22.9094790197085, 'lng': -43.20316546970851}, 'southwest': {'lat': -22.9121769802915, 'lng': -43.20586343029151}}
ChIJVf-FFAt_mQARaMgqCehAb2A;Rio de Janeiro/RJ;Avenida 31 de Março terreno da chaminé;Rua do Catumbi - Catumbi, Rio de Janeiro;True;OPERATIONAL;-22.91592210000001;-43.19548589999999;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: 08:00 – 22:45"", ""quinta-feira: Fechado"", ""sexta-feira: Fechado"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -22.9145873697085, 'lng': -43.1941771697085}, 'southwest': {'lat': -22.9172853302915, 'lng': -43.1968751302915}}
ChIJcxRJy2HVmwARX_rppLhIzto;Rio de Janeiro/RJ;Pronep Life Care - Sede Rio de Janeiro;Rua Dom Marcos Barbosa, 2 - Cidade Nova, Rio de Janeiro;True;OPERATIONAL;-22.9121773;-43.2063739;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";hospital;{'northeast': {'lat': -22.91080711970849, 'lng': -43.2050759197085}, 'southwest': {'lat': -22.9135050802915, 'lng': -43.2077738802915}}
