id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJoWUwWLA9uAARVeHxAdF_PfI;Vitória/ES;Cinerótico;Avenida República, 142 - Centro, Vitória;True;OPERATIONAL;-20.3204139;-40.34118060000001;"[""segunda-feira: 10:00 – 17:30"", ""terça-feira: 10:00 – 17:30"", ""quarta-feira: 10:00 – 17:30"", ""quinta-feira: 10:00 – 17:30"", ""sexta-feira: 10:00 – 17:30"", ""sábado: 10:00 – 17:30"", ""domingo: 10:00 – 17:30""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.3190610697085, 'lng': -40.3398823697085}, 'southwest': {'lat': -20.32175903029151, 'lng': -40.3425803302915}}
ChIJpc_8r1Y8uAAR4xwillyKpKk;Vitória/ES;Ponto de Cultura Emparede Arte Cultura Meio Ambiente;Rua Albuquerque Tovar, 41 - Santo Antônio, Vitória;True;OPERATIONAL;-20.30975;-40.3553884;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: 09:30 – 16:00"", ""domingo: Fechado""]";"[""art_gallery"", ""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.3084229697085, 'lng': -40.3540789697085}, 'southwest': {'lat': -20.3111209302915, 'lng': -40.3567769302915}}
ChIJ8YhnHwA9uAARXvqtqmAC-uA;Vitória/ES;Cinemais;Santa Inês, Vila Velha;True;OPERATIONAL;-20.3433522;-40.3115975;"[""segunda-feira: 10:00 – 21:00"", ""terça-feira: 10:00 – 21:00"", ""quarta-feira: 10:00 – 21:00"", ""quinta-feira: 10:00 – 21:00"", ""sexta-feira: 10:00 – 21:00"", ""sábado: 10:00 – 21:00"", ""domingo: 10:00 – 21:00""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.3418010197085, 'lng': -40.3103890197085}, 'southwest': {'lat': -20.3444989802915, 'lng': -40.31308698029149}}
ChIJ_b1-nDoXuAARZlRE0wcQC5s;Vitória/ES;Cineteatro das Artes;Avenida Jerônimo Monteiro, 1690 - 2o andar - Lojas 51-53 - Centro de Vila Velha, Vila Velha;True;OPERATIONAL;-20.335064;-40.29813559999999;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: 09:00 – 22:00"", ""domingo: Fechado""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.3337716697085, 'lng': -40.2967942697085}, 'southwest': {'lat': -20.3364696302915, 'lng': -40.2994922302915}}
ChIJWZErlsEXuAARHlLjDw4op9g;Vitória/ES;Cinemark;Avenida Américo Buaiz, 200 - Loja 15 - Enseada do Suá, Vitória;True;OPERATIONAL;-20.3136846;-40.288646;"[""segunda-feira: 11:00 – 23:00"", ""terça-feira: 11:00 – 23:00"", ""quarta-feira: 11:00 – 23:00"", ""quinta-feira: 11:00 – 23:00"", ""sexta-feira: 11:00 – 23:00"", ""sábado: 11:00 – 23:00"", ""domingo: 11:00 – 23:00""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.3120173197085, 'lng': -40.28734701970851}, 'southwest': {'lat': -20.3147152802915, 'lng': -40.2900449802915}}
ChIJ2buzARAWuAARX4XXMzh3zm4;Vitória/ES;Cinema Cinemark;Avenida Luciano das Neves, 2418 - Divino Espírito Santo, Vila Velha;True;OPERATIONAL;-20.3505778;-40.2982976;"[""segunda-feira: 11:00 – 23:00"", ""terça-feira: 11:00 – 23:00"", ""quarta-feira: 11:00 – 23:00"", ""quinta-feira: 11:00 – 23:00"", ""sexta-feira: 11:00 – 23:00"", ""sábado: 11:00 – 23:00"", ""domingo: 11:00 – 23:00""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.34953699999999, 'lng': -40.29755281970849}, 'southwest': {'lat': -20.3537002, 'lng': -40.30025078029149}}
ChIJ6Wc7C0AWuAAR36HUJtRmSRI;Vitória/ES;Kinoplex Praia da Costa;L3 RUA DR. OLIVIO Rua Joaquim Lira, 353 - Praia da Costa, Vila Velha;False;OPERATIONAL;-20.342062;-40.28823849999999;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.3408075197085, 'lng': -40.2865743697085}, 'southwest': {'lat': -20.3435054802915, 'lng': -40.2892723302915}}
ChIJPW7m7_MXuAAR-ofvhfhK0ks;Vitória/ES;Cine Jardins;Rua Carlos Eduardo Monteiro de Lemos, 262 - Jardim da Penha, Vitória;True;OPERATIONAL;-20.2891059;-40.2931555;"[""segunda-feira: 14:00 – 23:00"", ""terça-feira: 14:00 – 23:00"", ""quarta-feira: 14:00 – 23:00"", ""quinta-feira: 14:00 – 23:00"", ""sexta-feira: 14:00 – 23:00"", ""sábado: 14:00 – 23:00"", ""domingo: 14:00 – 23:00""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.2878661197085, 'lng': -40.29171866970849}, 'southwest': {'lat': -20.29056408029151, 'lng': -40.29441663029149}}
ChIJ5X2gXicWuAARam18Y3Ebfj8;Vitória/ES;CULT Espaço Cultural I Escola de Teatro I Canto I Violão e Guitarra I Outros;Praia Center - Rua Henrique Moscoso, 221 - Sala 3 - Praia da Costa, Vila Velha;True;OPERATIONAL;-20.3363342;-40.283874;"[""segunda-feira: 14:00 – 21:00"", ""terça-feira: 09:00 – 21:00"", ""quarta-feira: 14:00 – 21:00"", ""quinta-feira: 14:00 – 21:00"", ""sexta-feira: Fechado"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.3349228197085, 'lng': -40.2825166197085}, 'southwest': {'lat': -20.3376207802915, 'lng': -40.2852145802915}}
ChIJXQCUjMIXuAARd-Gm5zcsx1U;Vitória/ES;Oficina de Atores Abel Santana;Avenida Dante Michelini, 501 - Loja térreo - Jardim da Penha, Vitória;True;OPERATIONAL;-20.28979679999999;-40.2908633;"[""segunda-feira: 14:00 – 20:30"", ""terça-feira: 14:00 – 20:30"", ""quarta-feira: 14:00 – 20:30"", ""quinta-feira: 14:00 – 20:30"", ""sexta-feira: 13:30 – 20:30"", ""sábado: 08:00 – 16:00"", ""domingo: Fechado""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.2884313697085, 'lng': -40.2894287697085}, 'southwest': {'lat': -20.2911293302915, 'lng': -40.29212673029149}}
ChIJm7GAuAMYuAARNVxvHPVopJg;Vitória/ES;Cine Metrópolis;Avenida Fernando Ferrari, 514, UFES - Goiabeiras, Vitória;True;OPERATIONAL;-20.277755;-40.3023879;"[""segunda-feira: 16:00 – 22:00"", ""terça-feira: 08:00 – 22:00"", ""quarta-feira: 08:00 – 22:00"", ""quinta-feira: 08:00 – 22:00"", ""sexta-feira: 08:00 – 22:00"", ""sábado: 08:00 – 22:00"", ""domingo: 16:00 – 22:00""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.2764961697085, 'lng': -40.3010067697085}, 'southwest': {'lat': -20.2791941302915, 'lng': -40.3037047302915}}
ChIJWzsncL0VuAAR0CFQombL4Hg;Vitória/ES;REALIZADORES DE CINEMA DO ES.;Avenida Estudante José Júlio de Souza, 1008 - Praia de Itaparica, Vila Velha;True;OPERATIONAL;-20.3632675;-40.29773329999999;"[""segunda-feira: 14:00 – 18:00"", ""terça-feira: 14:00 – 18:00"", ""quarta-feira: 14:00 – 18:00"", ""quinta-feira: 14:00 – 18:00"", ""sexta-feira: Fechado"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.3619703197085, 'lng': -40.29631431970849}, 'southwest': {'lat': -20.3646682802915, 'lng': -40.29901228029149}}
ChIJYS-uiU85uAAR2_GTasrUSEE;Vitória/ES;Cinépolis Moxuara;Rodovia BR-262, Km 5, 6555, salão comercial NE 401A , Piso I4 - Campo Grande, Cariacica;False;OPERATIONAL;-20.3443013;-40.39997260000001;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.3430692197085, 'lng': -40.3988097197085}, 'southwest': {'lat': -20.3457671802915, 'lng': -40.40150768029149}}
ChIJ537iABIYuAARjqaDOQAkATc;Vitória/ES;Tella Vídeo;Avenida Jerônimo Vervloet, 442 - Maria Ortiz, Vitória;True;OPERATIONAL;-20.261864;-40.298898;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.2605138697085, 'lng': -40.2976337697085}, 'southwest': {'lat': -20.2632118302915, 'lng': -40.3003317302915}}
ChIJGboHeC0-uAARxzdsNmhFJDA;Vitória/ES;Cinesystem;Boulevard Shopping End, Rodovia do Sol, 5000 - Jockey de Itaparica, Vila Velha;False;OPERATIONAL;-20.3917296;-40.31841;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.3907208197085, 'lng': -40.3174033697085}, 'southwest': {'lat': -20.3934187802915, 'lng': -40.3201013302915}}
ChIJL1M5rOI5uAARNkT06QuVVoQ;Vitória/ES;Espaço Cultural Kasa Raiz;Rua São José dos Campos, 38 - Marcílio de Noronha, Viana;False;OPERATIONAL;-20.3475936;-40.4286183;"[""segunda-feira: Fechado"", ""terça-feira: Fechado"", ""quarta-feira: Fechado"", ""quinta-feira: 17:00 – 22:00"", ""sexta-feira: 17:00 – 22:00"", ""sábado: 16:30 – 22:00"", ""domingo: Fechado""]";"[""movie_theater"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.3462439197085, 'lng': -40.4273086697085}, 'southwest': {'lat': -20.3489418802915, 'lng': -40.43000663029149}}
ChIJ51TJ6VUYuAARVDApjwJpKjA;Vitória/ES;Cine A Vitória;Avenida José Maria Vivacqua Santos, 400 - Jardim Camburi, Vitória;False;OPERATIONAL;-20.25088509999999;-40.27207829999999;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.2497063197085, 'lng': -40.2705245697085}, 'southwest': {'lat': -20.2524042802915, 'lng': -40.2732225302915}}
ChIJI3W5KPsYuAARzG0JjVRq2hc;Vitória/ES;Cine Araújo - Multiplex Shopping Mestre Álvaro;Avenida João Palácio, 300 - Eurico Salles, Serra;False;OPERATIONAL;-20.2399292;-40.2747764;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.2385813197085, 'lng': -40.2735863697085}, 'southwest': {'lat': -20.2412792802915, 'lng': -40.2762843302915}}
ChIJU1VV2N8euAARA8CWUTjCjEo;Vitória/ES;Cinesercla;Shopping Montserrat, Avenida Eldes Scherrer Souza, 2162 - Colina de Laranjeiras, Serra;False;OPERATIONAL;-20.1928462;-40.2662849;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -20.19140506970849, 'lng': -40.2651250697085}, 'southwest': {'lat': -20.1941030302915, 'lng': -40.2678230302915}}
