id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ91guiiEZuAARjf6Eh3IeuIU;Vitória/ES;Mosaico Fotogaleria;Shopping Victoria Mall - Rua Aristóbulo Barbosa Leão, 500 - Loja 18 - Mata da Praia, Vitória;True;OPERATIONAL;-20.2794003;-40.293266;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: 09:00 – 17:00"", ""domingo: Fechado""]";"[""art_gallery"", ""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -20.27817821970849, 'lng': -40.2919972697085}, 'southwest': {'lat': -20.2808761802915, 'lng': -40.2946952302915}}
ChIJfUu1wAMYuAARlO2HA3QKbOo;Vitória/ES;Museu de Ciências da Vida - MCV;UFES Campus de Goiabeiras, Centro de - Goiabeiras, Vitória;True;OPERATIONAL;-20.2774143;-40.3024234;"[""segunda-feira: Fechado"", ""terça-feira: 08:30 – 12:00, 14:00 – 17:30"", ""quarta-feira: 08:30 – 12:00, 14:00 – 17:30"", ""quinta-feira: 08:30 – 12:00, 14:00 – 17:30"", ""sexta-feira: 08:30 – 12:00, 14:00 – 17:30"", ""sábado: 09:00 – 13:00"", ""domingo: Fechado""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -20.2758715697085, 'lng': -40.3011725697085}, 'southwest': {'lat': -20.27856953029151, 'lng': -40.3038705302915}}
ChIJnSCNA30XuAARl8N-X8c258U;Vitória/ES;Montagem e manutenção de Museu Institucional | Museu corporativo | Centro de memória | Inventário arquivístico.;Rua Comissário Octávio Queiroz, 44 - Jardim da Penha, Vitória;True;OPERATIONAL;-20.28171889999999;-40.30124429999999;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -20.2802572697085, 'lng': -40.2998787197085}, 'southwest': {'lat': -20.2829552302915, 'lng': -40.30257668029149}}
ChIJ4WLdWAAXuAARr6REKRMF5hQ;Vitória/ES;Casa Senac;Avenida Saturnino de Brito, 1240 - Praia do Canto, Vitória;True;OPERATIONAL;-20.29748039999999;-40.29115609999999;"[""segunda-feira: Fechado"", ""terça-feira: Fechado"", ""quarta-feira: 10:00 – 19:00"", ""quinta-feira: 10:00 – 19:00"", ""sexta-feira: 10:00 – 19:00"", ""sábado: 10:00 – 18:00"", ""domingo: 10:00 – 16:00""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -20.29608336970849, 'lng': -40.28988176970849}, 'southwest': {'lat': -20.2987813302915, 'lng': -40.29257973029149}}
ChIJCZyrHcgXuAAR6tHHvFYwNN8;Vitória/ES;MCC - Museu Capixaba do Computador;Ed. Palácio Enseada - Rua Abiail do Amaral Carneiro, 41 - 5º andar - Ensedada do Suá, Vitória;True;OPERATIONAL;-20.3157584;-40.2940912;"[""segunda-feira: 09:00 – 17:30"", ""terça-feira: 09:00 – 17:30"", ""quarta-feira: 09:00 – 17:30"", ""quinta-feira: 09:00 – 17:30"", ""sexta-feira: 09:00 – 17:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -20.3144065197085, 'lng': -40.2926370697085}, 'southwest': {'lat': -20.3171044802915, 'lng': -40.2953350302915}}
ChIJC4UnVHMXuAARPbFbPL4W1iE;Vitória/ES;Instituto Baleia Jubarte;Rua Judite Maria Tovar Varejão, 1 - Enseada do Suá, Vitória;True;OPERATIONAL;-20.3175732;-40.293792;"[""segunda-feira: Fechado"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: 09:00 – 17:00"", ""domingo: 09:00 – 17:00""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -20.3161560197085, 'lng': -40.2924432197085}, 'southwest': {'lat': -20.3188539802915, 'lng': -40.2951411802915}}
ChIJ2SHNc1YXuAARVVpFgtcyqDM;Vitória/ES;Espaço Baleia Jubarte Vitória;Praça do Papa - Enseada do Suá, Vitória;True;OPERATIONAL;-20.31778;-40.29348339999999;"[""segunda-feira: Fechado"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: 09:00 – 17:00"", ""domingo: 09:00 – 17:00""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -20.3162590197085, 'lng': -40.2921349197085}, 'southwest': {'lat': -20.3189569802915, 'lng': -40.29483288029149}}
ChIJRcDzObUXuAARmLh4f0BdrY0;Vitória/ES;Forte São Francisco Xavier da Barra;Alameda Soldado Adenilton Miranda, 1 - Centro de Vila Velha, Vila Velha;False;OPERATIONAL;-20.3237265;-40.286868;"[""segunda-feira: Fechado"", ""terça-feira: 14:30 – 20:00"", ""quarta-feira: 14:30 – 20:00"", ""quinta-feira: 14:30 – 20:00"", ""sexta-feira: 14:30 – 20:00"", ""sábado: 14:30 – 20:00"", ""domingo: 14:30 – 20:00""]";"[""museum"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -20.3224250197085, 'lng': -40.2855975697085}, 'southwest': {'lat': -20.3251229802915, 'lng': -40.2882955302915}}
ChIJ964aQwA9uAARbPk1kPFJ6oI;Vitória/ES;Anexo do Museu do Pescador;Rua Felicidade Corrêa dos Santos, 1085 - Ilha das Caieiras, Vitória;False;OPERATIONAL;-20.27799539999999;-40.3365904;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -20.2766659697085, 'lng': -40.3353372197085}, 'southwest': {'lat': -20.2793639302915, 'lng': -40.3380351802915}}
ChIJK3S4CDE9uAARCDU3Vt1J0z0;Vitória/ES;Museu Histórico Ilha das Caieiras (Museu do Pescador);Ilha das Caieiras, Vitória;True;OPERATIONAL;-20.2781111;-40.33666119999999;"[""segunda-feira: 08:00 – 16:00"", ""terça-feira: 08:00 – 16:00"", ""quarta-feira: 08:00 – 16:00"", ""quinta-feira: 08:00 – 16:00"", ""sexta-feira: 08:00 – 16:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -20.27676816970849, 'lng': -40.3353626697085}, 'southwest': {'lat': -20.2794661302915, 'lng': -40.3380606302915}}
