id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJlcF-EgCBmQARMAJECdRNd6I;Rio de Janeiro/RJ;Point do espetinho;Rio doce, Rio de Janeiro;False;OPERATIONAL;-22.9068467;-43.17289650000001;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -22.90550426970849, 'lng': -43.1715693197085}, 'southwest': {'lat': -22.9082022302915, 'lng': -43.1742672802915}}
ChIJ8f4SEQCBmQARe8hQpSDhugI;Rio de Janeiro/RJ;Restaurante Oliva;Rio de Janeiro;False;OPERATIONAL;-22.9068467;-43.17289650000001;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -22.90550426970849, 'lng': -43.1715693197085}, 'southwest': {'lat': -22.9082022302915, 'lng': -43.1742672802915}}
ChIJxfACTwCBmQARCzggSn301oM;Rio de Janeiro/RJ;Praca de alimentação;Rio de Janeiro;False;OPERATIONAL;-22.9068467;-43.17289650000001;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -22.90550426970849, 'lng': -43.1715693197085}, 'southwest': {'lat': -22.9082022302915, 'lng': -43.1742672802915}}
ChIJOzoKfgCBmQARroMcO2Cr9Ps;Rio de Janeiro/RJ;Check. E. Cheese;Rio de Janeiro;False;OPERATIONAL;-22.9068467;-43.17289650000001;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -22.90550426970849, 'lng': -43.1715693197085}, 'southwest': {'lat': -22.9082022302915, 'lng': -43.1742672802915}}
ChIJ_QuRBJSBmQARs4VVb92DJvk;Rio de Janeiro/RJ;Pit Stop conveniência;posto shell - Rod profe Haroldo Fernandes Duarte km 493 s/n, Rio de Janeiro;False;OPERATIONAL;-22.9068467;-43.17289650000001;"[""Não disponível""]";"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -22.90550426970849, 'lng': -43.1715693197085}, 'southwest': {'lat': -22.9082022302915, 'lng': -43.1742672802915}}
ChIJYa0CWwCBmQARYG6B-olVYQ4;Rio de Janeiro/RJ;Ramires Santos;Rio de Janeiro;False;OPERATIONAL;-22.9068467;-43.17289650000001;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -22.90550426970849, 'lng': -43.1715693197085}, 'southwest': {'lat': -22.9082022302915, 'lng': -43.1742672802915}}
ChIJIeeWsWbhmwAR-Upl8o5iVYY;Rio de Janeiro/RJ;Açaí skull sorvetes açaí self service;Estrada João Melo, 117 - loja a - Mendanha, Rio de Janeiro;False;OPERATIONAL;-22.9068467;-43.17289650000001;"[""segunda-feira: 15:00 – 23:00"", ""terça-feira: Fechado"", ""quarta-feira: 15:00 – 23:00"", ""quinta-feira: 15:00 – 23:00"", ""sexta-feira: 15:00 – 23:00"", ""sábado: 15:00 – 23:00"", ""domingo: 15:00 – 23:00""]";"[""restaurant"", ""food"", ""store"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -22.90550426970849, 'lng': -43.1715693197085}, 'southwest': {'lat': -22.9082022302915, 'lng': -43.1742672802915}}
ChIJi93JKZh3mQARKqGJY-6z8sk;Rio de Janeiro/RJ;BIQUINHA CALDOS E SOPAS;R. Anajamirim - Tauá, Rio de Janeiro;False;CLOSED_TEMPORARILY;-22.9068467;-43.17289650000001;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -22.90550426970849, 'lng': -43.1715693197085}, 'southwest': {'lat': -22.9082022302915, 'lng': -43.1742672802915}}
ChIJR5C6kgpimQARqV5qe8JYPVE;Rio de Janeiro/RJ;Lucas dogao /feitoc,/carinho,acessórios para loja pet;Rua Capitão Rubéns, 1 Avenida osvaldo Cordeiro de farias n418 marechalhermes RJ Matriz rua capitao rubens e felial, Avenida General Osvaldo Cordeiro de Farias - Marechal Hermes, Rio de Janeiro;True;OPERATIONAL;-22.9068467;-43.17289650000001;"[""segunda-feira: 07:00 – 18:00"", ""terça-feira: 07:00 – 18:00"", ""quarta-feira: 07:00 – 18:00"", ""quinta-feira: 07:00 – 18:00"", ""sexta-feira: 07:00 – 18:00"", ""sábado: 07:00 – 18:00"", ""domingo: Fechado""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -22.90550426970849, 'lng': -43.1715693197085}, 'southwest': {'lat': -22.9082022302915, 'lng': -43.1742672802915}}
ChIJbV98HOCBmQARB7eeaTXYGRU;Rio de Janeiro/RJ;Mix Brasil;Avenida Almirante Barroso, 139A - Centro, Rio de Janeiro;True;OPERATIONAL;-22.90669690000001;-43.1739549;"[""segunda-feira: 07:30 – 16:30"", ""terça-feira: 07:30 – 16:30"", ""quarta-feira: 07:30 – 16:30"", ""quinta-feira: 07:30 – 16:30"", ""sexta-feira: 07:30 – 16:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -22.9054209197085, 'lng': -43.1728352197085}, 'southwest': {'lat': -22.9081188802915, 'lng': -43.1755331802915}}
