id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ00DXhgFYzpQRNObntnr2_vA;São Paulo/SP;Cotação Distribuidora de Títulos e Valores Mobs Sa;Brazil;False;OPERATIONAL;-23.5271157;-46.6678969;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -23.5255731697085, 'lng': -46.6664996697085}, 'southwest': {'lat': -23.5282711302915, 'lng': -46.6691976302915}}
ChIJUyeDxQNYzpQR-PrPgEonm4s;São Paulo/SP;UNINOVE - Campus Memorial (Prédio D);Rua Deputado Salvador Julianelli, s/n - Barra Funda, São Paulo;False;OPERATIONAL;-23.5270852;-46.6678732;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -23.5255584197085, 'lng': -46.6661850697085}, 'southwest': {'lat': -23.5282563802915, 'lng': -46.6688830302915}}
ChIJVbAZUgRYzpQRSBXkIgAbRVc;São Paulo/SP;Chiaroscuro Studios;Avenida Mário de Andrade, 664 - Barra Funda, São Paulo;False;OPERATIONAL;-23.5269653;-46.6677467;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -23.5254966197085, 'lng': -46.6664245697085}, 'southwest': {'lat': -23.5281945802915, 'lng': -46.6691225302915}}
ChIJt6CdcP9XzpQRZidkufG-i7o;São Paulo/SP;Viação Motta;Avenida Mário de Andrade, 664 - Barra Funda, São Paulo;False;OPERATIONAL;-23.5269653;-46.6677467;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -23.5254966197085, 'lng': -46.6664228197085}, 'southwest': {'lat': -23.5281945802915, 'lng': -46.6691207802915}}
ChIJ1WOotgNYzpQRFN5MOvw7tFU;São Paulo/SP;Espaço Unimed;Rua Tagipuru, 795 - Barra Funda, São Paulo;False;OPERATIONAL;-23.5277386;-46.6678303;"[""segunda-feira: Fechado"", ""terça-feira: 13:30 – 22:00"", ""quarta-feira: 13:30 – 22:00"", ""quinta-feira: 13:30 – 22:00"", ""sexta-feira: 13:30 – 22:00"", ""sábado: 13:30 – 22:00"", ""domingo: 13:30 – 22:00""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -23.52632261970849, 'lng': -46.66650671970849}, 'southwest': {'lat': -23.5290205802915, 'lng': -46.66920468029149}}
ChIJV1WZvANYzpQRiDCIig6osc8;São Paulo/SP;NAMASTE TURISMO;Rua Tagipuru, 795 - Barra Funda, São Paulo;False;OPERATIONAL;-23.527805;-46.66780929999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -23.5263558197085, 'lng': -46.6664962197085}, 'southwest': {'lat': -23.5290537802915, 'lng': -46.6691941802915}}
ChIJr6vSrfZZzpQRVWaoyhBok6Q;São Paulo/SP;Medicina Nove de Julho - Vergueiro;Segundo Andar, Rua Vergueiro, 240 - Liberdade, São Paulo;False;OPERATIONAL;-23.526785;-46.6677244;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -23.5254032197085, 'lng': -46.6663847197085}, 'southwest': {'lat': -23.5281011802915, 'lng': -46.6690826802915}}
ChIJx_gCgp9ZzpQRtyyac1p2rsw;São Paulo/SP;Marcos Rogerio Vieira Avelino;Rua Tagipuru, 795 - Barra Funda, São Paulo;False;OPERATIONAL;-23.5279779;-46.66798769999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -23.5264404197085, 'lng': -46.66657266970849}, 'southwest': {'lat': -23.5291383802915, 'lng': -46.66927063029149}}
ChIJRRiefgBZzpQR85pW1X_qCeE;São Paulo/SP;concierto;Rua Tagipuru, 795 - Barra Funda, São Paulo;False;OPERATIONAL;-23.52797850000001;-46.6679161;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -23.5264425697085, 'lng': -46.6665310697085}, 'southwest': {'lat': -23.52914053029151, 'lng': -46.6692290302915}}
ChIJT3VJhgFYzpQR3NUZwUI9hjA;São Paulo/SP;Rápido Fênix;Avenida Mário de Andrade, 664 - Barra Funda, São Paulo;True;OPERATIONAL;-23.5268149;-46.6675964;"[""segunda-feira: 07:00 – 21:00"", ""terça-feira: 07:00 – 21:00"", ""quarta-feira: 07:00 – 21:00"", ""quinta-feira: 07:00 – 21:00"", ""sexta-feira: 07:00 – 21:00"", ""sábado: 07:00 – 21:00"", ""domingo: 07:00 – 21:00""]";"[""travel_agency"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -23.52541576970849, 'lng': -46.6663476697085}, 'southwest': {'lat': -23.5281137302915, 'lng': -46.6690456302915}}
